,pageviews
2007-12-31,4741
2008-01-31,8210
2008-02-29,7979
2008-03-31,8194
2008-04-30,9183
2008-05-31,8598
2008-06-30,8581
2008-07-31,3025
2008-08-31,7646
2008-09-30,7760
2008-10-31,8078
2008-11-30,7921
2008-12-31,6918
2009-01-31,8234
2009-02-28,7831
2009-03-31,9002
2009-04-30,8157
2009-05-31,8948
2009-06-30,8796
2009-07-31,8780
2009-08-31,8882
2009-09-30,9377
2009-10-31,8818
2009-11-30,11045
2009-12-31,8995
2010-01-31,9454
2010-02-28,9244
2010-03-31,12638
2010-04-30,15297
2010-05-31,10880
2010-06-30,7790
2010-07-31,8969
2010-08-31,13011
2010-09-30,13478
2010-10-31,13039
2010-11-30,11703
2010-12-31,10885
2011-01-31,12269
2011-02-28,13118
2011-03-31,12885
2011-04-30,9721
2011-05-31,10981
2011-06-30,10899
2011-07-31,10445
2011-08-31,12030
2011-09-30,10305
2011-10-31,12536
2011-11-30,13006
2011-12-31,10678
2012-01-31,12205
2012-02-29,11640
2012-03-31,12114
2012-04-30,10069
2012-05-31,10847
2012-06-30,10485
2012-07-31,11762
2012-08-31,11217
2012-09-30,11900
2012-10-31,13995
2012-11-30,13295
2012-12-31,12129
2013-01-31,13227
2013-02-28,12497
2013-03-31,15372
2013-04-30,15507
2013-05-31,15827
2013-06-30,13211
2013-07-31,12674
2013-08-31,12389
2013-09-30,12245
2013-10-31,12876
2013-11-30,12352
2013-12-31,10019
2014-01-31,10169
2014-02-28,11478
2014-03-31,11512
2014-04-30,10628
2014-05-31,9817
2014-06-30,8370
2014-07-31,8243
2014-08-31,8162
2014-09-30,10333
2014-10-31,9284
2014-11-30,9756
2014-12-31,10958
2015-01-31,8404
2015-02-28,15373
2015-03-31,8944
