,pageviews
2007-12-10,457.0
2007-12-17,2190.0
2007-12-24,1507.0
2007-12-31,1144.0
2008-01-07,1769.0
2008-01-14,2232.0
2008-01-21,2634.0
2008-01-28,2557.0
2008-02-04,2218.0
2008-02-11,2653.0
2008-02-18,2790.0
2008-02-25,2994.0
2008-03-03,1726.0
2008-03-10,2413.0
2008-03-17,2876.0
2008-03-24,2637.0
2008-03-31,2752.0
2008-04-07,2859.0
2008-04-14,3089.0
2008-04-21,3030.0
2008-04-28,3060.0
2008-05-05,2858.0
2008-05-12,2916.0
2008-05-19,3004.0
2008-05-26,2723.0
2008-06-02,2187.0
2008-06-09,2658.0
2008-06-16,2651.0
2008-06-23,2461.0
2008-06-30,2379.0
2008-07-07,1765.0
2008-07-14,1707.0
2008-07-21,
2008-07-28,
2008-08-04,1056.0
2008-08-11,2161.0
2008-08-18,2064.0
2008-08-25,2318.0
2008-09-01,2401.0
2008-09-08,2607.0
2008-09-15,2622.0
2008-09-22,2839.0
2008-09-29,3074.0
2008-10-06,2943.0
2008-10-13,2977.0
2008-10-20,3301.0
2008-10-27,2204.0
2008-11-03,3203.0
2008-11-10,3405.0
2008-11-17,3045.0
2008-11-24,3187.0
2008-12-01,2800.0
2008-12-08,3225.0
2008-12-15,3040.0
2008-12-22,2982.0
2008-12-29,1589.0
2009-01-05,1850.0
2009-01-12,2762.0
2009-01-19,3251.0
2009-01-26,3093.0
2009-02-02,3503.0
2009-02-09,3622.0
2009-02-16,3570.0
2009-02-23,3476.0
2009-03-02,3688.0
2009-03-09,3663.0
2009-03-16,3509.0
2009-03-23,3431.0
2009-03-30,3656.0
2009-04-06,3427.0
2009-04-13,3219.0
2009-04-20,3486.0
2009-04-27,3285.0
2009-05-04,3182.0
2009-05-11,3187.0
2009-05-18,3426.0
2009-05-25,3111.0
2009-06-01,3119.0
2009-06-08,3190.0
2009-06-15,3202.0
2009-06-22,2819.0
2009-06-29,2757.0
2009-07-06,2659.0
2009-07-13,2893.0
2009-07-20,2927.0
2009-07-27,2972.0
2009-08-03,2789.0
2009-08-10,2659.0
2009-08-17,2793.0
2009-08-24,2887.0
2009-08-31,2983.0
2009-09-07,3115.0
2009-09-14,3221.0
2009-09-21,3468.0
2009-09-28,2109.0
2009-10-05,3772.0
2009-10-12,3990.0
2009-10-19,2026.0
2009-10-26,4085.0
2009-11-02,3938.0
2009-11-09,4271.0
2009-11-16,3621.0
2009-11-23,3141.0
2009-11-30,2987.0
2009-12-07,3265.0
2009-12-14,3351.0
2009-12-21,2733.0
2009-12-28,1941.0
2010-01-04,2025.0
2010-01-11,3126.0
2010-01-18,3447.0
2010-01-25,3124.0
2010-02-01,3577.0
2010-02-08,3232.0
2010-02-15,3507.0
2010-02-22,3574.0
2010-03-01,3276.0
2010-03-08,3824.0
2010-03-15,3739.0
2010-03-22,3779.0
2010-03-29,3470.0
2010-04-05,3405.0
2010-04-12,3550.0
2010-04-19,3923.0
2010-04-26,3825.0
2010-05-03,3738.0
2010-05-10,3808.0
2010-05-17,3257.0
2010-05-24,3105.0
2010-05-31,2896.0
2010-06-07,3223.0
2010-06-14,1971.0
2010-06-21,2345.0
2010-06-28,1614.0
2010-07-05,2138.0
2010-07-12,874.0
2010-07-19,2193.0
2010-07-26,2843.0
2010-08-02,3344.0
2010-08-09,3524.0
2010-08-16,3430.0
2010-08-23,3468.0
2010-08-30,3518.0
2010-09-06,3633.0
2010-09-13,4042.0
2010-09-20,4148.0
2010-09-27,4319.0
2010-10-04,4286.0
2010-10-11,4661.0
2010-10-18,4943.0
2010-10-25,4889.0
2010-11-01,4790.0
2010-11-08,4527.0
2010-11-15,4458.0
2010-11-22,4371.0
2010-11-29,4130.0
2010-12-06,4301.0
2010-12-13,4551.0
2010-12-20,4187.0
2010-12-27,2940.0
2011-01-03,2678.0
2011-01-10,4135.0
2011-01-17,4265.0
2011-01-24,4759.0
2011-01-31,4125.0
2011-02-07,3946.0
2011-02-14,3945.0
2011-02-21,4080.0
2011-02-28,3972.0
2011-03-07,4315.0
2011-03-14,3909.0
2011-03-21,3699.0
2011-03-28,3696.0
2011-04-04,3880.0
2011-04-11,3852.0
2011-04-18,4027.0
2011-04-25,3485.0
2011-05-02,3678.0
2011-05-09,3877.0
2011-05-16,3640.0
2011-05-23,3502.0
2011-05-30,3242.0
2011-06-06,3335.0
2011-06-13,3559.0
2011-06-20,3203.0
2011-06-27,3094.0
2011-07-04,2670.0
2011-07-11,2922.0
2011-07-18,2945.0
2011-07-25,2816.0
2011-08-01,2919.0
2011-08-08,3009.0
2011-08-15,2831.0
2011-08-22,2657.0
2011-08-29,2729.0
2011-09-05,2326.0
2011-09-12,3003.0
2011-09-19,3183.0
2011-09-26,3332.0
2011-10-03,3539.0
2011-10-10,3900.0
2011-10-17,4267.0
2011-10-24,3978.0
2011-10-31,4220.0
2011-11-07,4343.0
2011-11-14,4249.0
2011-11-21,4442.0
2011-11-28,3949.0
2011-12-05,4068.0
2011-12-12,4277.0
2011-12-19,3625.0
2011-12-26,1568.0
2012-01-02,2455.0
2012-01-09,3464.0
2012-01-16,3880.0
2012-01-23,3853.0
2012-01-30,4206.0
2012-02-06,4190.0
2012-02-13,4737.0
2012-02-20,4417.0
2012-02-27,4377.0
2012-03-05,4387.0
2012-03-12,4369.0
2012-03-19,4057.0
2012-03-26,3963.0
2012-04-02,3720.0
2012-04-09,3427.0
2012-04-16,4010.0
2012-04-23,4152.0
2012-04-30,3314.0
2012-05-07,4151.0
2012-05-14,4063.0
2012-05-21,3743.0
2012-05-28,3671.0
2012-06-04,3721.0
2012-06-11,3559.0
2012-06-18,3458.0
2012-06-25,3316.0
2012-07-02,3093.0
2012-07-09,3192.0
2012-07-16,3254.0
2012-07-23,3141.0
2012-07-30,3308.0
2012-08-06,3252.0
2012-08-13,3221.0
2012-08-20,2829.0
2012-08-27,3123.0
2012-09-03,3213.0
2012-09-10,3648.0
2012-09-17,3778.0
2012-09-24,4071.0
2012-10-01,4257.0
2012-10-08,4319.0
2012-10-15,4549.0
2012-10-22,4546.0
2012-10-29,4530.0
2012-11-05,4680.0
2012-11-12,4594.0
2012-11-19,4542.0
2012-11-26,3908.0
2012-12-03,5860.0
2012-12-10,4869.0
2012-12-17,4137.0
2012-12-24,3177.0
2012-12-31,2345.0
2013-01-07,3440.0
2013-01-14,4147.0
2013-01-21,4586.0
2013-01-28,5282.0
2013-02-04,4697.0
2013-02-11,4912.0
2013-02-18,4581.0
2013-02-25,5138.0
2013-03-04,5248.0
2013-03-11,4979.0
2013-03-18,5030.0
2013-03-25,4908.0
2013-04-01,4224.0
2013-04-08,4872.0
2013-04-15,4898.0
2013-04-22,5025.0
2013-04-29,5077.0
2013-05-06,4622.0
2013-05-13,4460.0
2013-05-20,4334.0
2013-05-27,4235.0
2013-06-03,4279.0
2013-06-10,4348.0
2013-06-17,4549.0
2013-06-24,4002.0
2013-07-01,3808.0
2013-07-08,3743.0
2013-07-15,3780.0
2013-07-22,3568.0
2013-07-29,2205.0
2013-08-05,2926.0
2013-08-12,3136.0
2013-08-19,3306.0
