,pageviews
2007-12-31,562
2008-01-31,971
2008-02-29,1087
2008-03-31,1117
2008-04-30,1108
2008-05-31,1028
2008-06-30,1261
2008-07-31,317
2008-08-31,1198
2008-09-30,1605
2008-10-31,1298
2008-11-30,2278
2008-12-31,1405
2009-01-31,2162
2009-02-28,1794
2009-03-31,2061
2009-04-30,1979
2009-05-31,2322
2009-06-30,1880
2009-07-31,1834
2009-08-31,2020
2009-09-30,2442
2009-10-31,2421
2009-11-30,2392
2009-12-31,2174
2010-01-31,2366
2010-02-28,2331
2010-03-31,2892
2010-04-30,2936
2010-05-31,3047
2010-06-30,2055
2010-07-31,1834
2010-08-31,3093
2010-09-30,3603
2010-10-31,3442
2010-11-30,3706
2010-12-31,3189
2011-01-31,3587
2011-02-28,3101
2011-03-31,3734
2011-04-30,2904
2011-05-31,3085
2011-06-30,2709
2011-07-31,2795
2011-08-31,4276
2011-09-30,3042
2011-10-31,3798
2011-11-30,3847
2011-12-31,3034
2012-01-31,3684
2012-02-29,4090
2012-03-31,4376
2012-04-30,3031
2012-05-31,3373
2012-06-30,3119
2012-07-31,2800
2012-08-31,3085
2012-09-30,9707
2012-10-31,4264
2012-11-30,4192
2012-12-31,3565
2013-01-31,4231
2013-02-28,4317
2013-03-31,4583
2013-04-30,1804
2013-05-31,2897
2013-06-30,3798
2013-07-31,3385
2013-08-31,3021
2013-09-30,3559
2013-10-31,3715
2013-11-30,3688
2013-12-31,3539
2014-01-31,3050
2014-02-28,3731
2014-03-31,3788
2014-04-30,3853
2014-05-31,3535
2014-06-30,3609
2014-07-31,3176
2014-08-31,3162
2014-09-30,4052
2014-10-31,3548
2014-11-30,3381
2014-12-31,4179
2015-01-31,5496
2015-02-28,3504
2015-03-31,3774
