,pageviews
2007-12-31,21284
2008-01-31,42180
2008-02-29,42011
2008-03-31,38291
2008-04-30,42228
2008-05-31,41982
2008-06-30,44092
2008-07-31,12705
2008-08-31,33276
2008-09-30,45360
2008-10-31,42360
2008-11-30,43277
2008-12-31,35879
2009-01-31,47412
2009-02-28,48295
2009-03-31,51333
2009-04-30,40713
2009-05-31,41947
2009-06-30,52496
2009-07-31,36753
2009-08-31,38276
2009-09-30,44428
2009-10-31,44798
2009-11-30,45894
2009-12-31,38718
2010-01-31,49347
2010-02-28,49488
2010-03-31,64715
2010-04-30,63130
2010-05-31,57983
2010-06-30,46234
2010-07-31,37750
2010-08-31,59148
2010-09-30,70001
2010-10-31,65767
2010-11-30,66288
2010-12-31,56696
2011-01-31,71530
2011-02-28,51364
2011-03-31,53874
2011-04-30,39548
2011-05-31,43198
2011-06-30,57747
2011-07-31,41411
2011-08-31,42358
2011-09-30,44148
2011-10-31,48168
2011-11-30,58156
2011-12-31,39745
2012-01-31,53477
2012-02-29,53308
2012-03-31,47453
2012-04-30,33880
2012-05-31,40056
2012-06-30,69849
2012-07-31,40449
2012-08-31,44078
2012-09-30,52358
2012-10-31,55912
2012-11-30,57950
2012-12-31,44382
2013-01-31,63912
2013-02-28,66821
2013-03-31,60804
2013-04-30,56728
2013-05-31,55811
2013-06-30,76117
2013-07-31,44027
2013-08-31,41067
2013-09-30,43981
2013-10-31,52567
2013-11-30,54472
2013-12-31,36390
2014-01-31,35414
2014-02-28,35117
2014-03-31,36653
2014-04-30,31131
2014-05-31,30298
2014-06-30,30012
2014-07-31,23365
2014-08-31,24755
2014-09-30,35473
2014-10-31,30785
2014-11-30,31901
2014-12-31,23150
2015-01-31,29135
2015-02-28,25205
2015-03-31,21689
