,pageviews
2007-12-10,1475.0
2007-12-17,8821.0
2007-12-24,6420.0
2007-12-31,4568.0
2008-01-07,7221.0
2008-01-14,10478.0
2008-01-21,9932.0
2008-01-28,10853.0
2008-02-04,8820.0
2008-02-11,10821.0
2008-02-18,10086.0
2008-02-25,10693.0
2008-03-03,6530.0
2008-03-10,8810.0
2008-03-17,10132.0
2008-03-24,8142.0
2008-03-31,9964.0
2008-04-07,9691.0
2008-04-14,10007.0
2008-04-21,9678.0
2008-04-28,9449.0
2008-05-05,9636.0
2008-05-12,9577.0
2008-05-19,9767.0
2008-05-26,9391.0
2008-06-02,7014.0
2008-06-09,9690.0
2008-06-16,11430.0
2008-06-23,12394.0
2008-06-30,10578.0
2008-07-07,7043.0
2008-07-14,5662.0
2008-07-21,
2008-07-28,
2008-08-04,3497.0
2008-08-11,7301.0
2008-08-18,7055.0
2008-08-25,8020.0
2008-09-01,8642.0
2008-09-08,10228.0
2008-09-15,10911.0
2008-09-22,10982.0
2008-09-29,10535.0
2008-10-06,10235.0
2008-10-13,10227.0
2008-10-20,10365.0
2008-10-27,6777.0
2008-11-03,10077.0
2008-11-10,10358.0
2008-11-17,11629.0
2008-11-24,10242.0
2008-12-01,8731.0
2008-12-08,9889.0
2008-12-15,9194.0
2008-12-22,8074.0
2008-12-29,5281.0
2009-01-05,7142.0
2009-01-12,10427.0
2009-01-19,11020.0
2009-01-26,11625.0
2009-02-02,12379.0
2009-02-09,12268.0
2009-02-16,11656.0
2009-02-23,12249.0
2009-03-02,12275.0
2009-03-09,12389.0
2009-03-16,11794.0
2009-03-23,11124.0
2009-03-30,10771.0
2009-04-06,10468.0
2009-04-13,8890.0
2009-04-20,9542.0
2009-04-27,9427.0
2009-05-04,8881.0
2009-05-11,9640.0
2009-05-18,10537.0
2009-05-25,9392.0
2009-06-01,9421.0
2009-06-08,12754.0
2009-06-15,13396.0
2009-06-22,13522.0
2009-06-29,9525.0
2009-07-06,9506.0
2009-07-13,8490.0
2009-07-20,7880.0
2009-07-27,7805.0
2009-08-03,7870.0
2009-08-10,8136.0
2009-08-17,8200.0
2009-08-24,8615.0
2009-08-31,10111.0
2009-09-07,10359.0
2009-09-14,11852.0
2009-09-21,11913.0
2009-09-28,6651.0
2009-10-05,11014.0
2009-10-12,10951.0
2009-10-19,5968.0
2009-10-26,11819.0
2009-11-02,11363.0
2009-11-09,12678.0
2009-11-16,11748.0
2009-11-23,10051.0
2009-11-30,8753.0
2009-12-07,10705.0
2009-12-14,10059.0
2009-12-21,8434.0
2009-12-28,6527.0
2010-01-04,7047.0
2010-01-11,11933.0
2010-01-18,11828.0
2010-01-25,10165.0
2010-02-01,13406.0
2010-02-08,12100.0
2010-02-15,11923.0
2010-02-22,12543.0
2010-03-01,12726.0
2010-03-08,13175.0
2010-03-15,16032.0
2010-03-22,14894.0
2010-03-29,14390.0
2010-04-05,12936.0
2010-04-12,13303.0
2010-04-19,15610.0
2010-04-26,15691.0
2010-05-03,15736.0
2010-05-10,15125.0
2010-05-17,13539.0
2010-05-24,12961.0
2010-05-31,10593.0
2010-06-07,9868.0
2010-06-14,6525.0
2010-06-21,16047.0
2010-06-28,9870.0
2010-07-05,9721.0
2010-07-12,4110.0
2010-07-19,8465.0
2010-07-26,10963.0
2010-08-02,11659.0
2010-08-09,13307.0
2010-08-16,13022.0
2010-08-23,12665.0
2010-08-30,14469.0
2010-09-06,14761.0
2010-09-13,15734.0
2010-09-20,17089.0
2010-09-27,16934.0
2010-10-04,15969.0
2010-10-11,15152.0
2010-10-18,15117.0
2010-10-25,14970.0
2010-11-01,14843.0
2010-11-08,16029.0
2010-11-15,15910.0
2010-11-22,15449.0
2010-11-29,14126.0
2010-12-06,14589.0
2010-12-13,15920.0
2010-12-20,13854.0
2010-12-27,9369.0
2011-01-03,9725.0
2011-01-10,15979.0
2011-01-17,16138.0
2011-01-24,20213.0
2011-01-31,14853.0
2011-02-07,12858.0
2011-02-14,13361.0
2011-02-21,12433.0
2011-02-28,12712.0
2011-03-07,13583.0
2011-03-14,12787.0
2011-03-21,11323.0
2011-03-28,10823.0
2011-04-04,10182.0
2011-04-11,9875.0
2011-04-18,9548.0
2011-04-25,8373.0
2011-05-02,9664.0
2011-05-09,10085.0
2011-05-16,9663.0
2011-05-23,9947.0
2011-05-30,9226.0
2011-06-06,9440.0
2011-06-13,15443.0
2011-06-20,16105.0
