,pageviews
2007-12-20,227
2007-12-21,213
2007-12-22,167
2007-12-23,148
2007-12-24,210
2007-12-25,132
2007-12-26,195
2007-12-27,213
2007-12-28,210
2007-12-29,155
2007-12-19,226
2007-12-18,225
2007-12-31,202
2007-12-30,191
2007-12-15,198
2007-12-14,227
2007-12-17,242
2007-12-16,241
2007-12-11,277
2007-12-10,316
2007-12-13,288
2007-12-12,311
2008-01-30,123
2008-01-16,108
2008-01-17,124
2008-01-14,116
2008-01-15,106
2008-01-12,100
2008-01-13,102
2008-01-10,111
2008-01-11,92
2008-01-18,127
2008-01-19,111
2008-01-29,132
2008-01-28,118
2008-01-27,132
2008-01-26,87
2008-01-25,115
2008-01-24,126
2008-01-23,114
2008-01-22,123
2008-01-21,111
2008-01-20,112
2008-01-05,80
2008-01-04,110
2008-01-07,144
2008-01-06,105
2008-01-01,99
2008-01-03,85
2008-01-02,113
2008-01-09,120
2008-01-08,130
2008-02-28,0
2008-02-26,175
2008-02-29,132
2008-02-01,106
2008-02-02,103
2008-02-03,87
2008-02-04,125
2008-02-05,118
2008-02-06,115
2008-02-07,110
2008-02-08,111
2008-02-09,79
2008-02-24,149
2008-02-25,169
2008-02-22,213
2008-02-23,143
2008-02-20,457
2008-02-21,246
2008-02-27,137
2008-02-17,109
2008-02-16,107
2008-02-15,119
2008-02-14,106
2008-02-13,128
2008-02-12,143
2008-02-11,133
2008-02-10,121
2008-02-19,4235
2008-02-18,6552
2008-03-14,161
2008-03-15,97
2008-03-16,92
2008-03-17,148
2008-03-10,163
2008-03-11,140
2008-03-12,140
2008-03-13,163
2008-03-18,133
2008-03-19,91
2008-03-30,113
2008-03-09,110
2008-03-31,137
2008-03-03,0
2008-03-02,94
2008-03-01,0
2008-03-07,123
2008-03-06,140
2008-03-05,116
2008-03-04,0
2008-03-21,114
2008-03-20,139
2008-03-23,137
2008-03-22,96
2008-03-25,141
2008-03-24,150
2008-03-27,110
2008-03-26,125
2008-03-29,101
2008-03-28,121
2008-03-08,90
2008-04-30,118
2008-04-15,123
2008-04-14,166
2008-04-17,173
2008-04-16,147
2008-04-11,179
2008-04-10,143
2008-04-13,107
2008-04-12,111
2008-04-19,82
2008-04-18,102
2008-04-28,162
2008-04-29,151
2008-04-20,91
2008-04-21,153
2008-04-22,158
2008-04-23,149
2008-04-24,148
2008-04-25,100
2008-04-26,75
2008-04-27,99
2008-04-06,125
2008-04-07,137
2008-04-04,123
2008-04-05,87
2008-04-02,122
2008-04-03,143
2008-04-01,146
2008-04-08,94
2008-04-09,147
2008-05-12,98
2008-05-13,148
2008-05-10,97
2008-05-11,120
2008-05-16,119
2008-05-31,87
2008-05-14,130
2008-05-15,143
2008-05-18,122
2008-05-19,141
2008-05-29,142
2008-05-28,138
2008-05-23,119
2008-05-22,114
2008-05-21,144
2008-05-20,131
2008-05-27,140
2008-05-26,125
2008-05-25,124
2008-05-24,90
2008-05-01,149
2008-05-03,116
2008-05-02,124
2008-05-05,114
2008-05-04,116
2008-05-07,151
2008-05-06,132
2008-05-09,108
2008-05-08,124
2008-05-17,93
2008-05-30,120
2008-06-21,94
2008-06-27,125
2008-06-24,135
2008-06-25,116
2008-06-13,125
2008-06-12,127
2008-06-11,121
2008-06-10,101
2008-06-17,102
2008-06-16,115
2008-06-15,70
2008-06-14,121
2008-06-30,86
2008-06-19,136
2008-06-18,111
2008-06-28,96
2008-06-29,95
2008-06-08,73
2008-06-09,110
2008-06-04,119
2008-06-05,135
2008-06-06,124
2008-06-07,134
2008-06-26,142
2008-06-01,0
2008-06-02,0
2008-06-03,121
2008-06-22,82
2008-06-23,90
2008-06-20,131
2008-07-10,138
2008-07-11,120
2008-07-12,96
2008-07-07,152
2008-07-06,116
2008-07-05,80
2008-07-04,107
2008-07-03,151
2008-07-02,138
2008-07-09,128
2008-07-08,261
2008-08-04,162
2008-08-31,114
2008-08-30,94
2008-08-11,126
2008-08-10,105
2008-08-13,107
2008-08-12,126
2008-08-15,128
2008-08-14,114
2008-08-17,104
2008-08-16,89
2008-08-19,138
2008-08-18,111
2008-08-05,121
2008-08-02,97
2008-08-03,110
2008-08-26,118
2008-08-01,139
2008-08-06,123
2008-08-21,97
2008-08-22,118
2008-08-23,82
2008-08-08,143
2008-08-09,105
2008-08-28,145
2008-08-29,116
2008-08-24,106
2008-08-25,141
2008-08-27,133
2008-08-20,114
2008-08-07,146
2008-09-02,159
2008-09-27,97
2008-09-26,113
2008-09-25,124
2008-09-24,131
2008-09-09,149
2008-09-22,126
2008-09-21,100
2008-09-20,98
2008-09-05,98
2008-09-23,125
2008-09-07,119
2008-09-06,115
2008-09-01,149
2008-09-03,129
2008-09-28,148
2008-09-08,171
2008-09-04,144
2008-09-30,140
2008-09-29,165
2008-09-18,110
2008-09-19,107
2008-09-16,183
2008-09-17,175
2008-09-14,116
2008-09-15,161
2008-09-12,155
2008-09-13,86
2008-09-10,148
2008-09-11,151
2008-10-09,138
2008-10-08,138
2008-10-03,129
2008-10-02,125
2008-10-01,157
2008-10-07,131
2008-10-06,135
2008-10-05,112
2008-10-04,119
2008-10-21,0
2008-10-20,197
2008-10-23,679
2008-10-22,0
2008-10-25,192
2008-10-24,319
2008-10-27,211
2008-10-26,235
2008-10-29,196
2008-10-28,179
2008-10-30,172
2008-10-31,124
2008-10-14,145
2008-10-15,142
2008-10-16,123
2008-10-17,127
2008-10-10,122
2008-10-11,87
2008-10-12,109
2008-10-13,141
2008-10-18,119
2008-10-19,130
2008-11-28,116
2008-11-07,107
2008-11-17,158
2008-11-16,138
2008-11-15,90
2008-11-14,128
2008-11-13,141
2008-11-12,149
2008-11-11,136
2008-11-10,140
2008-11-30,98
2008-11-19,98
2008-11-18,123
2008-11-26,125
2008-11-01,123
