,pageviews
2007-12-31,4814
2008-01-31,3376
2008-02-29,14528
2008-03-31,3485
2008-04-30,3861
2008-05-31,3819
2008-06-30,3137
2008-07-31,1487
2008-08-31,3672
2008-09-30,3992
2008-10-31,4933
2008-11-30,3788
2008-12-31,3990
2009-01-31,3971
2009-02-28,4273
2009-03-31,4831
2009-04-30,3920
2009-05-31,4480
2009-06-30,4208
2009-07-31,3995
2009-08-31,3946
2009-09-30,3934
2009-10-31,3871
2009-11-30,3938
2009-12-31,18122
2010-01-31,4184
2010-02-28,5833
2010-03-31,4572
2010-04-30,4543
2010-05-31,4509
2010-06-30,2999
2010-07-31,3543
2010-08-31,5329
2010-09-30,5244
2010-10-31,4987
2010-11-30,5291
2010-12-31,7083
2011-01-31,7820
2011-02-28,4952
2011-03-31,5567
2011-04-30,5409
2011-05-31,5844
2011-06-30,5474
2011-07-31,5838
2011-08-31,5829
2011-09-30,5534
2011-10-31,6411
2011-11-30,7210
2011-12-31,6407
2012-01-31,6082
2012-02-29,7307
2012-03-31,7330
2012-04-30,6040
2012-05-31,6899
2012-06-30,6887
2012-07-31,6894
2012-08-31,6970
2012-09-30,6905
2012-10-31,9039
2012-11-30,8538
2012-12-31,8316
2013-01-31,7311
2013-02-28,6119
2013-03-31,6589
2013-04-30,6811
2013-05-31,6580
2013-06-30,5663
2013-07-31,5334
2013-08-31,5178
2013-09-30,5291
2013-10-31,5553
2013-11-30,5349
2013-12-31,5079
2014-01-31,5211
2014-02-28,5065
2014-03-31,5910
2014-04-30,5422
2014-05-31,7127
2014-06-30,5140
2014-07-31,5371
2014-08-31,5006
2014-09-30,5180
2014-10-31,4904
2014-11-30,4877
2014-12-31,4344
2015-01-31,4606
2015-02-28,4546
2015-03-31,3806
