,pageviews
2007-12-10,14.0
2007-12-17,88.0
2007-12-24,49.0
2007-12-31,56.0
2008-01-07,83.0
2008-01-14,52.0
2008-01-21,76.0
2008-01-28,66.0
2008-02-04,63.0
2008-02-11,83.0
2008-02-18,67.0
2008-02-25,99.0
2008-03-03,50.0
2008-03-10,76.0
2008-03-17,128.0
2008-03-24,82.0
2008-03-31,103.0
2008-04-07,86.0
2008-04-14,72.0
2008-04-21,85.0
2008-04-28,93.0
2008-05-05,133.0
2008-05-12,96.0
2008-05-19,96.0
2008-05-26,89.0
2008-06-02,70.0
2008-06-09,63.0
2008-06-16,62.0
2008-06-23,73.0
2008-06-30,43.0
2008-07-07,36.0
2008-07-14,44.0
2008-07-21,
2008-07-28,
2008-08-04,26.0
2008-08-11,42.0
2008-08-18,36.0
2008-08-25,39.0
2008-09-01,56.0
2008-09-08,61.0
2008-09-15,62.0
2008-09-22,50.0
2008-09-29,71.0
2008-10-06,56.0
2008-10-13,98.0
2008-10-20,72.0
2008-10-27,61.0
2008-11-03,82.0
2008-11-10,66.0
2008-11-17,67.0
2008-11-24,68.0
2008-12-01,69.0
2008-12-08,62.0
2008-12-15,77.0
2008-12-22,49.0
2008-12-29,48.0
2009-01-05,55.0
2009-01-12,66.0
2009-01-19,69.0
2009-01-26,60.0
2009-02-02,92.0
2009-02-09,67.0
2009-02-16,70.0
2009-02-23,71.0
2009-03-02,95.0
2009-03-09,294.0
2009-03-16,299.0
2009-03-23,255.0
2009-03-30,249.0
2009-04-06,291.0
2009-04-13,273.0
2009-04-20,347.0
2009-04-27,367.0
2009-05-04,408.0
2009-05-11,411.0
2009-05-18,553.0
2009-05-25,434.0
2009-06-01,455.0
2009-06-08,403.0
2009-06-15,350.0
2009-06-22,276.0
2009-06-29,327.0
2009-07-06,316.0
2009-07-13,317.0
2009-07-20,274.0
2009-07-27,277.0
2009-08-03,329.0
2009-08-10,253.0
2009-08-17,278.0
2009-08-24,308.0
2009-08-31,311.0
2009-09-07,295.0
2009-09-14,360.0
2009-09-21,379.0
2009-09-28,165.0
2009-10-05,334.0
2009-10-12,343.0
2009-10-19,228.0
2009-10-26,434.0
2009-11-02,426.0
2009-11-09,560.0
2009-11-16,428.0
