,pageviews
2007-12-31,669
2008-01-31,1334
2008-02-29,1063
2008-03-31,1161
2008-04-30,1164
2008-05-31,2665
2008-06-30,1008
2008-07-31,253
2008-08-31,766
2008-09-30,1093
2008-10-31,1113
2008-11-30,1635
2008-12-31,1704
2009-01-31,1635
2009-02-28,1355
2009-03-31,1641
2009-04-30,1309
2009-05-31,1474
2009-06-30,1144
2009-07-31,3109
2009-08-31,3539
2009-09-30,4449
2009-10-31,5452
2009-11-30,5413
2009-12-31,4881
2010-01-31,5602
2010-02-28,5918
2010-03-31,6781
2010-04-30,6883
2010-05-31,7055
2010-06-30,4294
2010-07-31,3833
2010-08-31,5857
2010-09-30,7819
2010-10-31,8265
2010-11-30,8989
2010-12-31,7919
2011-01-31,9220
2011-02-28,9005
2011-03-31,9765
2011-04-30,7825
2011-05-31,8799
2011-06-30,7275
2011-07-31,6809
2011-08-31,6873
2011-09-30,8016
2011-10-31,10316
2011-11-30,12107
2011-12-31,9186
2012-01-31,11269
2012-02-29,11418
2012-03-31,10798
2012-04-30,8058
2012-05-31,8804
2012-06-30,6887
2012-07-31,5916
2012-08-31,6278
2012-09-30,7599
2012-10-31,9314
2012-11-30,9718
2012-12-31,7955
2013-01-31,9404
2013-02-28,9606
2013-03-31,9306
2013-04-30,10199
2013-05-31,9175
2013-06-30,7326
2013-07-31,6342
2013-08-31,5217
2013-09-30,6113
2013-10-31,7551
2013-11-30,7491
2013-12-31,6722
2014-01-31,6059
2014-02-28,6322
2014-03-31,7733
2014-04-30,6420
2014-05-31,6282
2014-06-30,5549
2014-07-31,5638
2014-08-31,4673
2014-09-30,6450
2014-10-31,7963
2014-11-30,8296
2014-12-31,5992
2015-01-31,6570
2015-02-28,5789
2015-03-31,5352
