,pageviews
2007-12-10,1381.0
2007-12-17,7518.0
2007-12-24,5734.0
2007-12-31,5160.0
2008-01-07,6763.0
2008-01-14,7693.0
2008-01-21,7861.0
2008-01-28,7929.0
2008-02-04,6239.0
2008-02-11,7824.0
2008-02-18,7701.0
2008-02-25,7756.0
2008-03-03,4613.0
2008-03-10,6719.0
2008-03-17,7729.0
2008-03-24,6595.0
2008-03-31,7293.0
2008-04-07,7480.0
2008-04-14,7648.0
2008-04-21,7525.0
2008-04-28,7745.0
2008-05-05,7323.0
2008-05-12,7188.0
2008-05-19,7737.0
2008-05-26,7632.0
2008-06-02,5625.0
2008-06-09,8032.0
2008-06-16,8254.0
2008-06-23,8691.0
2008-06-30,8754.0
2008-07-07,7045.0
2008-07-14,5072.0
2008-07-21,
2008-07-28,
2008-08-04,4311.0
2008-08-11,7842.0
2008-08-18,7300.0
2008-08-25,9029.0
2008-09-01,9238.0
2008-09-08,9108.0
2008-09-15,8867.0
2008-09-22,9606.0
2008-09-29,9003.0
2008-10-06,8259.0
2008-10-13,8056.0
2008-10-20,8659.0
2008-10-27,5434.0
2008-11-03,7893.0
2008-11-10,8844.0
2008-11-17,9252.0
2008-11-24,8351.0
2008-12-01,7967.0
2008-12-08,8644.0
2008-12-15,9250.0
2008-12-22,7820.0
2008-12-29,5578.0
2009-01-05,6906.0
2009-01-12,8376.0
2009-01-19,9418.0
2009-01-26,9289.0
2009-02-02,9656.0
2009-02-09,9687.0
2009-02-16,9643.0
2009-02-23,9608.0
2009-03-02,9778.0
2009-03-09,10360.0
2009-03-16,9136.0
2009-03-23,8857.0
2009-03-30,8927.0
2009-04-06,8431.0
2009-04-13,8217.0
2009-04-20,8395.0
2009-04-27,8115.0
2009-05-04,8235.0
2009-05-11,8062.0
2009-05-18,8652.0
2009-05-25,8560.0
2009-06-01,8163.0
2009-06-08,8341.0
2009-06-15,8090.0
2009-06-22,9672.0
2009-06-29,8366.0
2009-07-06,8501.0
2009-07-13,8414.0
2009-07-20,8483.0
2009-07-27,8894.0
2009-08-03,9058.0
2009-08-10,9015.0
2009-08-17,8382.0
2009-08-24,9622.0
2009-08-31,10265.0
2009-09-07,11001.0
2009-09-14,11160.0
2009-09-21,10175.0
2009-09-28,4885.0
2009-10-05,10259.0
2009-10-12,9666.0
2009-10-19,4802.0
2009-10-26,9244.0
2009-11-02,9966.0
2009-11-09,11836.0
2009-11-16,10822.0
2009-11-23,9927.0
2009-11-30,9475.0
2009-12-07,10444.0
2009-12-14,10006.0
2009-12-21,9855.0
2009-12-28,7810.0
2010-01-04,8382.0
2010-01-11,11210.0
2010-01-18,11426.0
2010-01-25,8964.0
2010-02-01,11967.0
2010-02-08,10933.0
2010-02-15,10984.0
2010-02-22,11242.0
2010-03-01,10192.0
2010-03-08,10937.0
2010-03-15,12792.0
2010-03-22,11501.0
2010-03-29,11361.0
2010-04-05,10274.0
2010-04-12,10124.0
2010-04-19,11574.0
2010-04-26,11553.0
2010-05-03,13879.0
2010-05-10,10916.0
2010-05-17,10603.0
2010-05-24,10512.0
2010-05-31,9481.0
2010-06-07,9730.0
2010-06-14,5757.0
2010-06-21,10095.0
2010-06-28,6468.0
2010-07-05,7810.0
2010-07-12,3446.0
2010-07-19,8647.0
2010-07-26,11977.0
2010-08-02,12550.0
2010-08-09,13880.0
2010-08-16,13395.0
2010-08-23,13470.0
2010-08-30,13642.0
2010-09-06,13738.0
2010-09-13,13529.0
2010-09-20,14361.0
2010-09-27,14508.0
2010-10-04,13975.0
2010-10-11,12896.0
2010-10-18,13281.0
2010-10-25,13021.0
2010-11-01,12953.0
2010-11-08,12712.0
2010-11-15,12343.0
2010-11-22,12084.0
2010-11-29,12815.0
2010-12-06,12090.0
2010-12-13,12454.0
2010-12-20,11196.0
2010-12-27,8648.0
2011-01-03,9081.0
2011-01-10,10936.0
2011-01-17,11795.0
2011-01-24,13038.0
2011-01-31,11542.0
2011-02-07,11478.0
2011-02-14,10762.0
2011-02-21,10385.0
2011-02-28,10332.0
2011-03-07,11080.0
2011-03-14,11167.0
2011-03-21,9507.0
2011-03-28,8819.0
2011-04-04,8389.0
2011-04-11,8902.0
2011-04-18,8516.0
2011-04-25,8095.0
2011-05-02,8783.0
2011-05-09,8949.0
2011-05-16,8694.0
2011-05-23,8962.0
2011-05-30,8646.0
2011-06-06,8017.0
2011-06-13,9107.0
2011-06-20,12251.0
2011-06-27,10176.0
2011-07-04,9358.0
2011-07-11,8974.0
2011-07-18,8669.0
2011-07-25,9830.0
2011-08-01,10228.0
2011-08-08,10937.0
2011-08-15,9764.0
2011-08-22,9630.0
2011-08-29,10153.0
2011-09-05,7404.0
2011-09-12,9522.0
2011-09-19,9235.0
2011-09-26,9673.0
2011-10-03,9364.0
2011-10-10,9835.0
2011-10-17,9396.0
2011-10-24,8821.0
2011-10-31,8546.0
2011-11-07,9916.0
2011-11-14,10659.0
2011-11-21,10566.0
2011-11-28,10418.0
2011-12-05,10029.0
2011-12-12,10573.0
2011-12-19,9250.0
2011-12-26,3862.0
2012-01-02,7295.0
2012-01-09,10428.0
2012-01-16,9998.0
2012-01-23,10395.0
2012-01-30,11252.0
2012-02-06,10243.0
2012-02-13,9971.0
2012-02-20,10356.0
2012-02-27,11147.0
2012-03-05,10921.0
2012-03-12,9576.0
2012-03-19,10021.0
2012-03-26,8436.0
2012-04-02,8401.0
2012-04-09,8145.0
2012-04-16,8700.0
2012-04-23,9436.0
2012-04-30,7815.0
2012-05-07,8150.0
2012-05-14,8048.0
2012-05-21,8440.0
2012-05-28,8423.0
2012-06-04,7917.0
2012-06-11,8401.0
2012-06-18,9833.0
2012-06-25,9794.0
2012-07-02,9011.0
2012-07-09,11330.0
2012-07-16,9756.0
2012-07-23,10029.0
2012-07-30,193495.0
2012-08-06,9133.0
2012-08-13,9981.0
2012-08-20,9362.0
2012-08-27,9992.0
2012-09-03,10879.0
2012-09-10,11450.0
2012-09-17,11306.0
2012-09-24,10377.0
2012-10-01,10287.0
2012-10-08,11025.0
2012-10-15,10978.0
2012-10-22,10000.0
2012-10-29,9115.0
2012-11-05,10401.0
2012-11-12,11418.0
2012-11-19,10630.0
2012-11-26,10810.0
2012-12-03,10358.0
2012-12-10,10730.0
2012-12-17,10281.0
2012-12-24,8883.0
2012-12-31,6700.0
2013-01-07,9702.0
2013-01-14,11592.0
2013-01-21,11034.0
2013-01-28,10877.0
2013-02-04,11346.0
2013-02-11,11462.0
2013-02-18,10927.0
2013-02-25,12038.0
2013-03-04,12151.0
2013-03-11,11900.0
2013-03-18,10928.0
2013-03-25,10935.0
2013-04-01,9266.0
2013-04-08,10668.0
2013-04-15,10356.0
2013-04-22,10165.0
2013-04-29,10274.0
2013-05-06,10117.0
2013-05-13,10283.0
2013-05-20,9919.0
2013-05-27,9007.0
2013-06-03,9032.0
2013-06-10,9669.0
2013-06-17,10193.0
2013-06-24,10010.0
2013-07-01,10244.0
2013-07-08,9768.0
2013-07-15,9951.0
2013-07-22,9508.0
2013-07-29,6863.0
2013-08-05,8916.0
2013-08-12,8649.0
2013-08-19,9352.0
2013-08-26,7971.0
2013-09-02,7932.0
2013-09-09,8691.0
2013-09-16,8751.0
2013-09-23,8444.0
2013-09-30,8421.0
2013-10-07,9517.0
