,pageviews
2007-12-31,10805
2008-01-31,27216
2008-02-29,31000
2008-03-31,27958
2008-04-30,32426
2008-05-31,28252
2008-06-30,16893
2008-07-31,4471
2008-08-31,15764
2008-09-30,32119
2008-10-31,15609
2008-11-30,28513
2008-12-31,23882
2009-01-31,34549
2009-02-28,38597
2009-03-31,40022
2009-04-30,33354
2009-05-31,30368
2009-06-30,19174
2009-07-31,13295
2009-08-31,25238
2009-09-30,33158
2009-10-31,34263
2009-11-30,33855
2009-12-31,26848
2010-01-31,29575
2010-02-28,28656
2010-03-31,32526
2010-04-30,29522
2010-05-31,27166
2010-06-30,17678
2010-07-31,12180
2010-08-31,19272
2010-09-30,30420
2010-10-31,39146
2010-11-30,34822
2010-12-31,25181
2011-01-31,34409
2011-02-28,29466
2011-03-31,34046
2011-04-30,25666
2011-05-31,25978
2011-06-30,20205
2011-07-31,14985
2011-08-31,18286
2011-09-30,26885
2011-10-31,30521
2011-11-30,32529
2011-12-31,23184
2012-01-31,35870
2012-02-29,35837
2012-03-31,62262
2012-04-30,23943
2012-05-31,31169
2012-06-30,23567
2012-07-31,17595
2012-08-31,22549
2012-09-30,34253
2012-10-31,43934
2012-11-30,42500
2012-12-31,32230
2013-01-31,51535
2013-02-28,52754
2013-03-31,44535
2013-04-30,9273
2013-05-31,30123
2013-06-30,34231
2013-07-31,23181
2013-08-31,23999
2013-09-30,34177
2013-10-31,38906
2013-11-30,33557
2013-12-31,19843
2014-01-31,25435
2014-02-28,24901
2014-03-31,25757
2014-04-30,22051
2014-05-31,20352
2014-06-30,16692
2014-07-31,12654
2014-08-31,14607
2014-09-30,19722
2014-10-31,17114
2014-11-30,17572
2014-12-31,12553
2015-01-31,16122
2015-02-28,14051
2015-03-31,12026
