,pageviews
2007-12-20,24
2007-12-21,16
2007-12-22,19
2007-12-23,18
2007-12-24,12
2007-12-25,12
2007-12-26,17
2007-12-27,9
2007-12-28,9
2007-12-29,7
2007-12-19,40
2007-12-18,29
2007-12-31,20
2007-12-30,20
2007-12-15,9
2007-12-14,35
2007-12-17,17
2007-12-16,27
2007-12-11,33
2007-12-10,28
2007-12-13,20
2007-12-12,32
2008-01-30,18
2008-01-16,11
2008-01-17,34
2008-01-14,20
2008-01-15,28
2008-01-12,20
2008-01-13,32
2008-01-10,19
2008-01-11,26
2008-01-18,25
2008-01-19,17
2008-01-29,24
2008-01-28,21
2008-01-27,18
2008-01-26,21
2008-01-25,24
2008-01-24,30
2008-01-23,30
2008-01-22,25
2008-01-21,34
2008-01-20,17
2008-01-05,16
2008-01-04,20
2008-01-07,19
2008-01-06,14
2008-01-01,13
2008-01-03,22
2008-01-02,24
2008-01-09,39
2008-01-08,18
2008-02-28,0
2008-02-26,38
2008-02-29,19
2008-02-01,18
2008-02-02,12
2008-02-03,19
2008-02-04,24
2008-02-05,27
2008-02-06,24
2008-02-07,26
2008-02-08,30
2008-02-09,15
2008-02-24,18
2008-02-25,24
2008-02-22,25
2008-02-23,14
2008-02-20,27
2008-02-21,21
2008-02-27,39
2008-02-17,11
2008-02-16,16
2008-02-15,40
2008-02-14,31
2008-02-13,36
2008-02-12,31
2008-02-11,31
2008-02-10,14
2008-02-19,30
2008-02-18,37
2008-03-14,31
2008-03-15,11
2008-03-16,14
2008-03-17,23
2008-03-10,40
2008-03-11,38
2008-03-12,36
2008-03-13,15
2008-03-18,22
2008-03-19,28
2008-03-30,15
2008-03-09,19
2008-03-31,27
2008-03-03,0
2008-03-02,18
2008-03-01,0
2008-03-07,26
2008-03-06,31
2008-03-05,27
2008-03-04,0
2008-03-21,11
2008-03-20,18
2008-03-23,15
2008-03-22,19
2008-03-25,20
2008-03-24,25
2008-03-27,22
2008-03-26,31
2008-03-29,25
2008-03-28,16
2008-03-08,14
2008-04-30,17
2008-04-15,26
2008-04-14,36
2008-04-17,37
2008-04-16,16
2008-04-11,27
2008-04-10,28
2008-04-13,24
2008-04-12,21
2008-04-19,30
2008-04-18,36
2008-04-28,26
2008-04-29,31
2008-04-20,15
2008-04-21,27
2008-04-22,28
2008-04-23,29
2008-04-24,31
2008-04-25,15
2008-04-26,17
2008-04-27,26
2008-04-06,16
2008-04-07,22
2008-04-04,20
2008-04-05,22
2008-04-02,32
2008-04-03,32
2008-04-01,27
2008-04-08,36
2008-04-09,24
2008-05-12,24
2008-05-13,26
2008-05-10,15
2008-05-11,22
2008-05-16,28
2008-05-31,20
2008-05-14,36
2008-05-15,26
2008-05-18,23
2008-05-19,21
2008-05-29,36
2008-05-28,24
2008-05-23,25
2008-05-22,30
2008-05-21,31
2008-05-20,48
2008-05-27,31
2008-05-26,26
2008-05-25,24
2008-05-24,16
2008-05-01,37
2008-05-03,19
2008-05-02,27
2008-05-05,31
2008-05-04,26
2008-05-07,45
2008-05-06,18
2008-05-09,13
2008-05-08,17
2008-05-17,18
2008-05-30,25
2008-06-21,22
2008-06-27,47
2008-06-24,36
2008-06-25,34
2008-06-13,21
2008-06-12,26
2008-06-11,31
2008-06-10,41
2008-06-17,29
2008-06-16,20
2008-06-15,15
2008-06-14,36
2008-06-30,17
2008-06-19,29
2008-06-18,45
2008-06-28,36
2008-06-29,36
2008-06-08,13
2008-06-09,16
2008-06-04,27
2008-06-05,27
2008-06-06,33
2008-06-07,24
2008-06-26,41
2008-06-01,0
2008-06-02,0
2008-06-03,29
2008-06-22,19
2008-06-23,14
2008-06-20,28
2008-07-10,30
2008-07-11,17
2008-07-12,11
2008-07-07,25
2008-07-06,22
2008-07-05,12
2008-07-04,25
2008-07-03,27
2008-07-02,36
2008-07-09,19
2008-07-08,27
2008-08-04,23
2008-08-31,25
2008-08-30,28
2008-08-11,25
2008-08-10,9
2008-08-13,16
2008-08-12,19
2008-08-15,21
2008-08-14,25
2008-08-17,20
2008-08-16,17
2008-08-19,30
2008-08-18,18
2008-08-05,32
2008-08-02,17
2008-08-03,21
2008-08-26,30
2008-08-01,27
2008-08-06,21
2008-08-21,26
2008-08-22,26
2008-08-23,16
2008-08-08,28
2008-08-09,14
2008-08-28,37
2008-08-29,36
2008-08-24,23
2008-08-25,25
2008-08-27,28
2008-08-20,34
2008-08-07,17
2008-09-02,34
2008-09-27,23
2008-09-26,24
2008-09-25,17
2008-09-24,38
2008-09-09,34
2008-09-22,37
2008-09-21,26
2008-09-20,15
2008-09-05,28
2008-09-23,24
2008-09-07,21
2008-09-06,26
2008-09-01,19
2008-09-03,30
2008-09-28,27
2008-09-08,34
2008-09-04,23
2008-09-30,28
2008-09-29,27
2008-09-18,31
2008-09-19,37
2008-09-16,36
2008-09-17,31
2008-09-14,23
2008-09-15,32
2008-09-12,34
2008-09-13,19
2008-09-10,38
2008-09-11,32
2008-10-09,28
2008-10-08,22
2008-10-03,32
2008-10-02,31
2008-10-01,23
2008-10-07,27
2008-10-06,27
2008-10-05,18
2008-10-04,29
2008-10-21,0
2008-10-20,33
2008-10-23,33
2008-10-22,0
2008-10-25,21
2008-10-24,29
2008-10-27,37
2008-10-26,23
2008-10-29,32
2008-10-28,35
2008-10-30,31
2008-10-31,28
2008-10-14,39
2008-10-15,22
2008-10-16,41
2008-10-17,27
2008-10-10,18
2008-10-11,23
2008-10-12,21
2008-10-13,24
2008-10-18,16
2008-10-19,14
2008-11-28,32
2008-11-07,39
2008-11-17,44
2008-11-16,27
2008-11-15,24
2008-11-14,24
2008-11-13,64
2008-11-12,47
2008-11-11,29
2008-11-10,24
2008-11-30,23
2008-11-19,22
2008-11-18,24
2008-11-26,39
2008-11-01,25
2008-11-02,41
2008-11-03,47
2008-11-04,31
2008-11-05,35
2008-11-06,37
2008-11-29,20
2008-11-08,15
2008-11-27,25
2008-11-24,33
2008-11-25,40
2008-11-22,20
2008-11-23,25
2008-11-20,26
2008-11-21,22
2008-11-09,35
2008-12-29,15
2008-12-28,18
2008-12-27,17
2008-12-26,18
