,pageviews
2007-12-10,13.0
2007-12-17,106.0
2007-12-24,67.0
2007-12-31,77.0
2008-01-07,114.0
2008-01-14,133.0
2008-01-21,152.0
2008-01-28,146.0
2008-02-04,95.0
2008-02-11,113.0
2008-02-18,133.0
2008-02-25,104.0
2008-03-03,62.0
2008-03-10,105.0
2008-03-17,175.0
2008-03-24,97.0
2008-03-31,124.0
2008-04-07,115.0
2008-04-14,135.0
2008-04-21,156.0
2008-04-28,127.0
2008-05-05,159.0
2008-05-12,137.0
2008-05-19,129.0
2008-05-26,132.0
2008-06-02,76.0
2008-06-09,106.0
2008-06-16,172.0
2008-06-23,175.0
2008-06-30,116.0
2008-07-07,100.0
2008-07-14,85.0
2008-07-21,
2008-07-28,
2008-08-04,60.0
2008-08-11,92.0
2008-08-18,79.0
2008-08-25,99.0
2008-09-01,114.0
2008-09-08,128.0
2008-09-15,126.0
2008-09-22,113.0
2008-09-29,143.0
2008-10-06,137.0
2008-10-13,118.0
2008-10-20,161.0
2008-10-27,118.0
2008-11-03,112.0
2008-11-10,102.0
2008-11-17,124.0
2008-11-24,135.0
2008-12-01,94.0
2008-12-08,127.0
2008-12-15,140.0
2008-12-22,111.0
2008-12-29,110.0
2009-01-05,112.0
2009-01-12,116.0
2009-01-19,141.0
2009-01-26,127.0
2009-02-02,136.0
2009-02-09,167.0
2009-02-16,107.0
2009-02-23,134.0
2009-03-02,173.0
2009-03-09,129.0
2009-03-16,123.0
2009-03-23,116.0
2009-03-30,110.0
2009-04-06,133.0
2009-04-13,127.0
2009-04-20,160.0
2009-04-27,116.0
2009-05-04,132.0
2009-05-11,103.0
2009-05-18,143.0
2009-05-25,139.0
2009-06-01,114.0
2009-06-08,153.0
2009-06-15,127.0
2009-06-22,100.0
2009-06-29,136.0
2009-07-06,98.0
2009-07-13,135.0
2009-07-20,94.0
2009-07-27,116.0
2009-08-03,125.0
2009-08-10,139.0
2009-08-17,110.0
2009-08-24,106.0
2009-08-31,140.0
2009-09-07,156.0
2009-09-14,167.0
2009-09-21,148.0
2009-09-28,70.0
2009-10-05,140.0
2009-10-12,145.0
2009-10-19,94.0
2009-10-26,171.0
2009-11-02,170.0
2009-11-09,160.0
2009-11-16,111.0
2009-11-23,119.0
2009-11-30,156.0
2009-12-07,138.0
2009-12-14,158.0
2009-12-21,128.0
2009-12-28,102.0
2010-01-04,96.0
2010-01-11,159.0
2010-01-18,141.0
2010-01-25,92.0
2010-02-01,157.0
2010-02-08,134.0
2010-02-15,105.0
2010-02-22,168.0
2010-03-01,160.0
2010-03-08,157.0
2010-03-15,172.0
2010-03-22,179.0
2010-03-29,221.0
2010-04-05,174.0
2010-04-12,163.0
2010-04-19,204.0
2010-04-26,208.0
2010-05-03,168.0
2010-05-10,187.0
2010-05-17,149.0
2010-05-24,139.0
2010-05-31,167.0
2010-06-07,232.0
2010-06-14,98.0
2010-06-21,177.0
2010-06-28,95.0
2010-07-05,133.0
2010-07-12,68.0
2010-07-19,98.0
2010-07-26,199.0
2010-08-02,161.0
2010-08-09,237.0
2010-08-16,175.0
2010-08-23,208.0
2010-08-30,172.0
2010-09-06,213.0
2010-09-13,199.0
2010-09-20,197.0
2010-09-27,197.0
2010-10-04,202.0
2010-10-11,153.0
2010-10-18,220.0
2010-10-25,183.0
2010-11-01,264.0
2010-11-08,211.0
2010-11-15,186.0
2010-11-22,191.0
2010-11-29,236.0
2010-12-06,183.0
2010-12-13,215.0
2010-12-20,161.0
2010-12-27,121.0
2011-01-03,128.0
2011-01-10,148.0
2011-01-17,163.0
2011-01-24,198.0
2011-01-31,194.0
2011-02-07,213.0
2011-02-14,185.0
2011-02-21,168.0
2011-02-28,194.0
2011-03-07,171.0
2011-03-14,171.0
2011-03-21,145.0
2011-03-28,159.0
2011-04-04,138.0
2011-04-11,146.0
2011-04-18,151.0
2011-04-25,113.0
2011-05-02,133.0
2011-05-09,211.0
2011-05-16,196.0
2011-05-23,204.0
2011-05-30,213.0
2011-06-06,235.0
2011-06-13,205.0
2011-06-20,231.0
2011-06-27,163.0
2011-07-04,179.0
