,pageviews
2007-12-10,264.0
2007-12-17,1382.0
2007-12-24,906.0
2007-12-31,671.0
2008-01-07,1086.0
2008-01-14,1490.0
2008-01-21,1558.0
2008-01-28,1616.0
2008-02-04,1310.0
2008-02-11,1690.0
2008-02-18,1574.0
2008-02-25,1766.0
2008-03-03,990.0
2008-03-10,1440.0
2008-03-17,1592.0
2008-03-24,1330.0
2008-03-31,1496.0
2008-04-07,1632.0
2008-04-14,1771.0
2008-04-21,1686.0
2008-04-28,1634.0
2008-05-05,1572.0
2008-05-12,1795.0
2008-05-19,1712.0
2008-05-26,1727.0
2008-06-02,1136.0
2008-06-09,1505.0
2008-06-16,1440.0
2008-06-23,1311.0
2008-06-30,1330.0
2008-07-07,959.0
2008-07-14,872.0
2008-07-21,
2008-07-28,
2008-08-04,549.0
2008-08-11,1149.0
2008-08-18,1190.0
2008-08-25,1330.0
2008-09-01,1320.0
2008-09-08,1610.0
2008-09-15,1617.0
2008-09-22,1780.0
2008-09-29,1650.0
2008-10-06,1629.0
2008-10-13,1780.0
2008-10-20,1786.0
2008-10-27,1113.0
2008-11-03,1548.0
2008-11-10,1626.0
2008-11-17,1806.0
2008-11-24,1658.0
2008-12-01,1439.0
2008-12-08,1547.0
2008-12-15,1382.0
2008-12-22,1174.0
2008-12-29,727.0
2009-01-05,967.0
2009-01-12,1423.0
2009-01-19,1433.0
2009-01-26,1412.0
2009-02-02,1395.0
2009-02-09,1507.0
2009-02-16,1427.0
2009-02-23,1466.0
2009-03-02,1658.0
2009-03-09,2055.0
2009-03-16,1565.0
2009-03-23,1550.0
2009-03-30,1443.0
2009-04-06,1405.0
2009-04-13,1282.0
2009-04-20,1360.0
2009-04-27,1394.0
2009-05-04,1399.0
2009-05-11,1425.0
2009-05-18,1661.0
2009-05-25,1377.0
2009-06-01,1363.0
2009-06-08,1298.0
2009-06-15,1274.0
2009-06-22,1112.0
2009-06-29,1083.0
2009-07-06,973.0
2009-07-13,1126.0
2009-07-20,1049.0
2009-07-27,1149.0
2009-08-03,1108.0
2009-08-10,1200.0
2009-08-17,1223.0
2009-08-24,1266.0
2009-08-31,1513.0
2009-09-07,1718.0
2009-09-14,1920.0
2009-09-21,1922.0
2009-09-28,991.0
2009-10-05,2044.0
2009-10-12,2067.0
2009-10-19,1572.0
2009-10-26,2215.0
2009-11-02,2080.0
2009-11-09,2226.0
2009-11-16,2047.0
2009-11-23,1756.0
2009-11-30,1605.0
2009-12-07,1693.0
2009-12-14,1677.0
2009-12-21,1277.0
2009-12-28,880.0
2010-01-04,941.0
2010-01-11,1627.0
2010-01-18,1599.0
2010-01-25,1454.0
2010-02-01,2019.0
2010-02-08,1874.0
2010-02-15,1898.0
2010-02-22,2052.0
2010-03-01,1929.0
2010-03-08,2135.0
2010-03-15,2364.0
2010-03-22,2332.0
2010-03-29,2278.0
2010-04-05,2028.0
2010-04-12,2104.0
2010-04-19,2321.0
2010-04-26,2240.0
2010-05-03,2178.0
2010-05-10,2254.0
2010-05-17,2021.0
2010-05-24,2038.0
2010-05-31,1848.0
2010-06-07,1858.0
2010-06-14,1091.0
2010-06-21,1370.0
2010-06-28,956.0
2010-07-05,1166.0
2010-07-12,528.0
2010-07-19,1261.0
2010-07-26,1714.0
2010-08-02,1930.0
2010-08-09,1922.0
2010-08-16,1837.0
2010-08-23,1919.0
2010-08-30,2006.0
2010-09-06,2255.0
2010-09-13,2349.0
2010-09-20,2588.0
2010-09-27,2576.0
2010-10-04,2405.0
2010-10-11,2502.0
2010-10-18,2661.0
2010-10-25,2630.0
2010-11-01,2593.0
2010-11-08,2592.0
2010-11-15,2614.0
2010-11-22,2366.0
2010-11-29,2286.0
2010-12-06,2403.0
2010-12-13,2336.0
2010-12-20,1785.0
2010-12-27,1106.0
2011-01-03,1153.0
2011-01-10,1743.0
2011-01-17,2052.0
2011-01-24,2449.0
2011-01-31,2411.0
2011-02-07,2486.0
2011-02-14,2726.0
2011-02-21,2463.0
2011-02-28,2525.0
2011-03-07,2674.0
2011-03-14,2521.0
2011-03-21,2310.0
2011-03-28,2421.0
2011-04-04,2297.0
2011-04-11,2409.0
2011-04-18,2463.0
2011-04-25,2090.0
2011-05-02,2380.0
2011-05-09,2367.0
2011-05-16,2300.0
2011-05-23,2275.0
2011-05-30,2080.0
2011-06-06,1992.0
2011-06-13,2281.0
2011-06-20,1815.0
2011-06-27,1738.0
2011-07-04,1587.0
2011-07-11,1551.0
2011-07-18,1673.0
2011-07-25,1700.0
2011-08-01,1632.0
2011-08-08,1649.0
2011-08-15,1625.0
2011-08-22,1570.0
2011-08-29,1708.0
2011-09-05,1542.0
2011-09-12,2152.0
2011-09-19,2126.0
2011-09-26,2312.0
2011-10-03,2435.0
2011-10-10,2561.0
2011-10-17,2599.0
2011-10-24,2531.0
2011-10-31,2675.0
2011-11-07,2663.0
2011-11-14,2726.0
2011-11-21,2651.0
2011-11-28,2163.0
2011-12-05,2395.0
2011-12-12,2342.0
2011-12-19,1991.0
2011-12-26,740.0
2012-01-02,1129.0
2012-01-09,1807.0
2012-01-16,2131.0
2012-01-23,2127.0
2012-01-30,2433.0
2012-02-06,2453.0
2012-02-13,2507.0
2012-02-20,2293.0
2012-02-27,2532.0
2012-03-05,2729.0
2012-03-12,2402.0
2012-03-19,2268.0
2012-03-26,2090.0
2012-04-02,2019.0
2012-04-09,1863.0
2012-04-16,2123.0
2012-04-23,2298.0
2012-04-30,1879.0
2012-05-07,2263.0
2012-05-14,2177.0
2012-05-21,1936.0
2012-05-28,1834.0
2012-06-04,1924.0
2012-06-11,1782.0
2012-06-18,1702.0
2012-06-25,1627.0
2012-07-02,1483.0
2012-07-09,1534.0
2012-07-16,1536.0
2012-07-23,1416.0
2012-07-30,1426.0
2012-08-06,1392.0
2012-08-13,1450.0
2012-08-20,1418.0
2012-08-27,1660.0
2012-09-03,1927.0
2012-09-10,2362.0
2012-09-17,2466.0
2012-09-24,2607.0
2012-10-01,2676.0
2012-10-08,2810.0
2012-10-15,2758.0
2012-10-22,2784.0
2012-10-29,2533.0
2012-11-05,2557.0
2012-11-12,2635.0
2012-11-19,2603.0
2012-11-26,2268.0
2012-12-03,2715.0
2012-12-10,2683.0
2012-12-17,2339.0
2012-12-24,1528.0
2012-12-31,1141.0
2013-01-07,1704.0
2013-01-14,2376.0
2013-01-21,2766.0
2013-01-28,2914.0
2013-02-04,3241.0
2013-02-11,3411.0
2013-02-18,2978.0
2013-02-25,3069.0
2013-03-04,3062.0
2013-03-11,3057.0
2013-03-18,2868.0
2013-03-25,2868.0
2013-04-01,2413.0
2013-04-08,2804.0
2013-04-15,3179.0
2013-04-22,3130.0
2013-04-29,3016.0
2013-05-06,2837.0
2013-05-13,2829.0
2013-05-20,2695.0
2013-05-27,2304.0
2013-06-03,2363.0
2013-06-10,2251.0
2013-06-17,2114.0
2013-06-24,1921.0
2013-07-01,1742.0
2013-07-08,1692.0
2013-07-15,1711.0
2013-07-22,1622.0
2013-07-29,1080.0
2013-08-05,1505.0
2013-08-12,1408.0
2013-08-19,1451.0
2013-08-26,1524.0
2013-09-02,1714.0
2013-09-09,2013.0
2013-09-16,2357.0
2013-09-23,2316.0
2013-09-30,2258.0
2013-10-07,2558.0
2013-10-14,2532.0
2013-10-21,2520.0
2013-10-28,2475.0
2013-11-04,2365.0
2013-11-11,2508.0
2013-11-18,2616.0
2013-11-25,2500.0
2013-12-02,2167.0
2013-12-09,2502.0
2013-12-16,2062.0
2013-12-23,1418.0
2013-12-30,853.0
2014-01-06,804.0
2014-01-13,2037.0
2014-01-20,2129.0
2014-01-27,2288.0
2014-02-03,2297.0
2014-02-10,2470.0
2014-02-17,2221.0
2014-02-24,2502.0
2014-03-03,2353.0
2014-03-10,2329.0
2014-03-17,2500.0
2014-03-24,2281.0
2014-03-31,2544.0
2014-04-07,2405.0
2014-04-14,2173.0
2014-04-21,2100.0
2014-04-28,2337.0
2014-05-05,2086.0
2014-05-12,2112.0
2014-05-19,2006.0
2014-05-26,1835.0
2014-06-02,1878.0
2014-06-09,1683.0
2014-06-16,1688.0
2014-06-23,1637.0
2014-06-30,1497.0
2014-07-07,1464.0
2014-07-14,1449.0
2014-07-21,1490.0
2014-07-28,1538.0
2014-08-04,1450.0
2014-08-11,1405.0
2014-08-18,1516.0
2014-08-25,1571.0
2014-09-01,1413.0
2014-09-08,2123.0
2014-09-15,2283.0
2014-09-22,2210.0
