,pageviews
2007-12-31,3884
2008-01-31,7179
2008-02-29,7063
2008-03-31,6058
2008-04-30,7014
2008-05-31,7262
2008-06-30,5482
2008-07-31,1999
2008-08-31,5126
2008-09-30,8297
2008-10-31,9218
2008-11-30,8046
2008-12-31,6988
2009-01-31,7086
2009-02-28,8740
2009-03-31,9101
2009-04-30,7129
2009-05-31,6657
2009-06-30,5745
2009-07-31,5472
2009-08-31,6157
2009-09-30,7542
2009-10-31,9806
2009-11-30,7505
2009-12-31,6351
2010-01-31,6634
2010-02-28,7534
2010-03-31,9502
2010-04-30,9101
2010-05-31,8592
2010-06-30,5369
2010-07-31,5604
2010-08-31,8778
2010-09-30,13686
2010-10-31,14094
2010-11-30,11488
2010-12-31,9272
2011-01-31,10378
2011-02-28,10127
2011-03-31,9819
2011-04-30,7486
2011-05-31,7998
2011-06-30,6404
2011-07-31,5876
2011-08-31,6637
2011-09-30,8003
2011-10-31,11267
2011-11-30,9928
2011-12-31,7182
2012-01-31,9028
2012-02-29,9372
2012-03-31,8945
2012-04-30,7871
2012-05-31,7744
2012-06-30,7174
2012-07-31,6759
2012-08-31,7409
2012-09-30,10776
2012-10-31,13055
2012-11-30,10912
2012-12-31,9121
2013-01-31,10115
2013-02-28,10619
2013-03-31,10983
2013-04-30,10381
2013-05-31,10270
2013-06-30,8707
2013-07-31,6916
2013-08-31,7608
2013-09-30,16333
2013-10-31,12322
2013-11-30,9830
2013-12-31,8273
2014-01-31,8712
2014-02-28,8912
2014-03-31,9840
2014-04-30,8891
2014-05-31,8275
2014-06-30,6835
2014-07-31,6126
2014-08-31,6543
2014-09-30,11279
2014-10-31,11126
2014-11-30,9705
2014-12-31,12562
2015-01-31,8745
2015-02-28,8563
2015-03-31,7711
