,pageviews
2007-12-20,39
2007-12-21,45
2007-12-22,23
2007-12-23,25
2007-12-24,52
2007-12-25,24
2007-12-26,26
2007-12-27,42
2007-12-28,63
2007-12-29,60
2007-12-19,47
2007-12-18,56
2007-12-31,36
2007-12-30,42
2007-12-15,60
2007-12-14,43
2007-12-17,56
2007-12-16,50
2007-12-11,79
2007-12-10,49
2007-12-13,82
2007-12-12,58
2008-01-30,105
2008-01-16,83
2008-01-17,69
2008-01-14,73
2008-01-15,91
2008-01-12,53
2008-01-13,106
2008-01-10,90
2008-01-11,45
2008-01-18,56
2008-01-19,38
2008-01-29,81
2008-01-28,107
2008-01-27,61
2008-01-26,42
2008-01-25,76
2008-01-24,102
2008-01-23,97
2008-01-22,82
2008-01-21,106
2008-01-20,89
2008-01-05,53
2008-01-04,52
2008-01-07,66
2008-01-06,68
2008-01-01,59
2008-01-03,46
2008-01-02,63
2008-01-09,102
2008-01-08,76
2008-02-28,0
2008-02-26,96
2008-02-29,91
2008-02-01,83
2008-02-02,51
2008-02-03,78
2008-02-04,86
2008-02-05,92
2008-02-06,103
2008-02-07,105
2008-02-08,89
2008-02-09,52
2008-02-24,82
2008-02-25,62
2008-02-22,75
2008-02-23,59
2008-02-20,111
2008-02-21,95
2008-02-27,90
2008-02-17,97
2008-02-16,38
2008-02-15,71
2008-02-14,111
2008-02-13,94
2008-02-12,62
2008-02-11,85
2008-02-10,82
2008-02-19,99
2008-02-18,92
2008-03-14,69
2008-03-15,67
2008-03-16,115
2008-03-17,92
2008-03-10,115
2008-03-11,119
2008-03-12,111
2008-03-13,98
2008-03-18,105
2008-03-19,72
2008-03-30,58
2008-03-09,93
2008-03-31,55
2008-03-03,0
2008-03-02,81
2008-03-01,0
2008-03-07,79
2008-03-06,125
2008-03-05,123
2008-03-04,0
2008-03-21,71
2008-03-20,78
2008-03-23,64
2008-03-22,43
2008-03-25,84
2008-03-24,112
2008-03-27,84
2008-03-26,101
2008-03-29,57
2008-03-28,77
2008-03-08,70
2008-04-30,100
2008-04-15,91
2008-04-14,70
2008-04-17,83
2008-04-16,105
2008-04-11,60
2008-04-10,73
2008-04-13,68
2008-04-12,55
2008-04-19,62
2008-04-18,73
2008-04-28,79
2008-04-29,87
2008-04-20,79
2008-04-21,76
2008-04-22,99
2008-04-23,63
2008-04-24,87
2008-04-25,52
2008-04-26,48
2008-04-27,65
2008-04-06,81
2008-04-07,113
2008-04-04,88
2008-04-05,47
2008-04-02,77
2008-04-03,89
2008-04-01,87
2008-04-08,78
2008-04-09,91
2008-05-12,184
2008-05-13,101
2008-05-10,43
2008-05-11,96
2008-05-16,103
2008-05-31,59
2008-05-14,118
2008-05-15,128
2008-05-18,220
2008-05-19,194
2008-05-29,109
2008-05-28,99
2008-05-23,82
2008-05-22,58
2008-05-21,112
2008-05-20,105
2008-05-27,110
2008-05-26,85
2008-05-25,79
2008-05-24,53
2008-05-01,77
2008-05-03,41
2008-05-02,50
2008-05-05,88
2008-05-04,109
2008-05-07,104
2008-05-06,101
2008-05-09,112
2008-05-08,100
2008-05-17,92
2008-05-30,78
2008-06-21,76
2008-06-27,70
2008-06-24,77
2008-06-25,79
2008-06-13,76
2008-06-12,99
2008-06-11,79
2008-06-10,88
2008-06-17,53
2008-06-16,55
2008-06-15,44
2008-06-14,54
2008-06-30,78
2008-06-19,81
2008-06-18,62
2008-06-28,62
2008-06-29,40
2008-06-08,51
2008-06-09,73
2008-06-04,66
2008-06-05,156
2008-06-06,116
2008-06-07,71
2008-06-26,84
2008-06-01,0
2008-06-02,0
2008-06-03,114
2008-06-22,34
2008-06-23,89
2008-06-20,57
2008-07-10,56
2008-07-11,43
2008-07-12,32
2008-07-07,54
2008-07-06,53
2008-07-05,45
2008-07-04,44
2008-07-03,46
2008-07-02,62
2008-07-09,37
2008-07-08,72
2008-08-04,39
2008-08-31,51
2008-08-30,62
2008-08-11,46
2008-08-10,41
2008-08-13,58
2008-08-12,65
2008-08-15,31
2008-08-14,54
2008-08-17,53
2008-08-16,45
2008-08-19,47
2008-08-18,58
2008-08-05,78
2008-08-02,45
2008-08-03,42
2008-08-26,74
2008-08-01,33
2008-08-06,61
2008-08-21,64
2008-08-22,59
2008-08-23,53
2008-08-08,45
2008-08-09,51
2008-08-28,64
2008-08-29,51
2008-08-24,60
2008-08-25,63
2008-08-27,88
2008-08-20,68
2008-08-07,52
2008-09-02,67
2008-09-27,83
2008-09-26,84
2008-09-25,124
2008-09-24,117
2008-09-09,92
2008-09-22,128
2008-09-21,118
2008-09-20,62
2008-09-05,51
2008-09-23,105
2008-09-07,89
2008-09-06,51
2008-09-01,85
2008-09-03,104
2008-09-28,126
2008-09-08,101
2008-09-04,105
2008-09-30,160
2008-09-29,125
2008-09-18,136
2008-09-19,113
2008-09-16,125
2008-09-17,135
2008-09-14,147
2008-09-15,126
2008-09-12,88
2008-09-13,87
2008-09-10,100
2008-09-11,86
2008-10-09,136
2008-10-08,153
2008-10-03,95
2008-10-02,86
2008-10-01,168
2008-10-07,158
2008-10-06,118
2008-10-05,89
2008-10-04,66
2008-10-21,0
2008-10-20,151
2008-10-23,97
2008-10-22,0
2008-10-25,69
2008-10-24,72
2008-10-27,122
2008-10-26,84
2008-10-29,124
2008-10-28,127
2008-10-30,125
2008-10-31,76
2008-10-14,123
2008-10-15,154
2008-10-16,100
2008-10-17,77
2008-10-10,90
2008-10-11,79
2008-10-12,111
2008-10-13,118
2008-10-18,82
2008-10-19,107
2008-11-28,78
2008-11-07,52
2008-11-17,80
2008-11-16,70
2008-11-15,55
2008-11-14,99
2008-11-13,105
2008-11-12,109
2008-11-11,80
2008-11-10,100
2008-11-30,90
2008-11-19,117
2008-11-18,94
2008-11-26,75
2008-11-01,94
2008-11-02,91
2008-11-03,109
2008-11-04,96
2008-11-05,89
2008-11-06,101
2008-11-29,65
2008-11-08,76
2008-11-27,70
2008-11-24,85
2008-11-25,112
2008-11-22,57
2008-11-23,85
2008-11-20,107
2008-11-21,65
2008-11-09,102
2008-12-29,53
2008-12-28,58
2008-12-27,64
2008-12-26,41
2008-12-25,48
2008-12-24,41
2008-12-23,59
2008-12-22,46
2008-12-21,80
2008-12-20,45
2008-12-05,114
2008-12-04,137
2008-12-07,64
2008-12-06,58
2008-12-01,92
2008-12-03,143
2008-12-02,88
2008-12-09,97
2008-12-08,77
2008-12-30,50
2008-12-31,85
2008-12-16,100
2008-12-17,123
2008-12-14,65
2008-12-15,64
2008-12-12,83
2008-12-13,54
2008-12-10,92
2008-12-11,112
2008-12-18,76
2008-12-19,51
2009-01-29,127
2009-01-19,107
2009-01-18,117
2009-01-13,113
2009-01-12,103
2009-01-11,113
2009-01-10,88
2009-01-17,75
2009-01-16,101
2009-01-15,128
2009-01-14,106
2009-01-31,84
2009-01-30,83
2009-01-24,86
2009-01-22,119
2009-01-23,81
2009-01-20,102
2009-01-21,115
2009-01-27,134
2009-01-04,83
2009-01-05,86
2009-01-06,110
2009-01-07,105
2009-01-26,85
2009-01-01,34
2009-01-02,79
2009-01-25,92
2009-01-28,121
2009-01-03,67
2009-01-08,83
2009-01-09,92
2009-02-23,104
2009-02-08,105
2009-02-09,141
2009-02-22,114
2009-02-21,73
2009-02-20,92
2009-02-27,111
2009-02-26,109
2009-02-25,140
2009-02-24,104
2009-02-01,100
