,pageviews
2007-12-31,1057
2008-01-31,2237
2008-02-29,2331
2008-03-31,2418
2008-04-30,2326
2008-05-31,3090
2008-06-30,2084
2008-07-31,544
2008-08-31,1701
2008-09-30,3120
2008-10-31,3157
2008-11-30,2608
2008-12-31,2360
2009-01-31,3019
2009-02-28,3033
2009-03-31,3359
2009-04-30,2957
2009-05-31,3383
2009-06-30,2715
2009-07-31,2216
2009-08-31,2233
2009-09-30,2468
2009-10-31,3414
2009-11-30,3071
2009-12-31,2839
2010-01-31,3329
2010-02-28,3383
2010-03-31,3408
2010-04-30,3268
2010-05-31,3658
2010-06-30,2356
2010-07-31,2134
2010-08-31,3160
2010-09-30,3628
2010-10-31,4282
2010-11-30,4243
2010-12-31,3473
2011-01-31,4743
2011-02-28,4428
2011-03-31,4283
2011-04-30,3459
2011-05-31,4294
2011-06-30,3688
2011-07-31,2871
2011-08-31,3315
2011-09-30,3291
2011-10-31,4979
2011-11-30,5341
2011-12-31,4111
2012-01-31,5427
2012-02-29,6440
2012-03-31,5066
2012-04-30,4623
2012-05-31,5334
2012-06-30,4908
2012-07-31,4459
2012-08-31,4495
2012-09-30,5312
2012-10-31,6801
2012-11-30,5631
2012-12-31,5376
2013-01-31,7133
2013-02-28,8068
2013-03-31,6848
2013-04-30,6037
2013-05-31,6328
2013-06-30,5416
2013-07-31,4689
2013-08-31,4545
2013-09-30,4947
2013-10-31,6506
2013-11-30,5916
2013-12-31,4391
2014-01-31,4820
2014-02-28,5102
2014-03-31,5864
2014-04-30,3980
2014-05-31,3975
2014-06-30,3583
2014-07-31,3508
2014-08-31,3696
2014-09-30,4912
2014-10-31,4685
2014-11-30,4305
2014-12-31,3150
2015-01-31,3710
2015-02-28,3549
2015-03-31,3105
