,pageviews
2007-12-10,49.0
2007-12-17,428.0
2007-12-24,287.0
2007-12-31,293.0
2008-01-07,407.0
2008-01-14,545.0
2008-01-21,532.0
2008-01-28,567.0
2008-02-04,484.0
2008-02-11,608.0
2008-02-18,565.0
2008-02-25,583.0
2008-03-03,358.0
2008-03-10,605.0
2008-03-17,671.0
2008-03-24,545.0
2008-03-31,516.0
2008-04-07,582.0
2008-04-14,495.0
2008-04-21,569.0
2008-04-28,493.0
2008-05-05,552.0
2008-05-12,740.0
2008-05-19,956.0
2008-05-26,574.0
2008-06-02,455.0
2008-06-09,647.0
2008-06-16,495.0
2008-06-23,452.0
2008-06-30,490.0
2008-07-07,304.0
2008-07-14,240.0
2008-07-21,
2008-07-28,
2008-08-04,159.0
2008-08-11,374.0
2008-08-18,364.0
2008-08-25,414.0
2008-09-01,475.0
2008-09-08,568.0
2008-09-15,726.0
2008-09-22,817.0
2008-09-29,764.0
2008-10-06,782.0
2008-10-13,845.0
2008-10-20,794.0
2008-10-27,444.0
2008-11-03,746.0
2008-11-10,616.0
2008-11-17,598.0
2008-11-24,610.0
2008-12-01,582.0
2008-12-08,681.0
2008-12-15,567.0
2008-12-22,521.0
2008-12-29,364.0
2009-01-05,484.0
2009-01-12,694.0
2009-01-19,747.0
2009-01-26,680.0
2009-02-02,738.0
2009-02-09,795.0
2009-02-16,748.0
2009-02-23,745.0
2009-03-02,795.0
2009-03-09,767.0
2009-03-16,794.0
2009-03-23,708.0
2009-03-30,720.0
2009-04-06,704.0
2009-04-13,666.0
2009-04-20,628.0
2009-04-27,746.0
2009-05-04,709.0
2009-05-11,766.0
2009-05-18,997.0
2009-05-25,701.0
2009-06-01,718.0
2009-06-08,747.0
2009-06-15,683.0
2009-06-22,553.0
2009-06-29,485.0
2009-07-06,479.0
2009-07-13,506.0
2009-07-20,465.0
2009-07-27,538.0
2009-08-03,494.0
2009-08-10,519.0
2009-08-17,476.0
2009-08-24,479.0
2009-08-31,576.0
2009-09-07,642.0
2009-09-14,592.0
2009-09-21,712.0
2009-09-28,311.0
2009-10-05,752.0
2009-10-12,915.0
2009-10-19,407.0
2009-10-26,865.0
2009-11-02,921.0
2009-11-09,916.0
2009-11-16,643.0
2009-11-23,621.0
2009-11-30,656.0
2009-12-07,792.0
2009-12-14,639.0
2009-12-21,594.0
2009-12-28,534.0
2010-01-04,641.0
2010-01-11,826.0
2010-01-18,806.0
2010-01-25,678.0
2010-02-01,759.0
2010-02-08,698.0
2010-02-15,817.0
2010-02-22,935.0
2010-03-01,939.0
2010-03-08,714.0
2010-03-15,879.0
2010-03-22,791.0
2010-03-29,704.0
2010-04-05,667.0
2010-04-12,676.0
2010-04-19,795.0
2010-04-26,782.0
2010-05-03,931.0
2010-05-10,954.0
2010-05-17,838.0
2010-05-24,723.0
2010-05-31,773.0
2010-06-07,1012.0
2010-06-14,389.0
2010-06-21,520.0
2010-06-28,286.0
2010-07-05,419.0
2010-07-12,161.0
2010-07-19,449.0
2010-07-26,744.0
2010-08-02,721.0
2010-08-09,778.0
2010-08-16,700.0
2010-08-23,658.0
2010-08-30,695.0
2010-09-06,751.0
2010-09-13,814.0
2010-09-20,911.0
2010-09-27,836.0
2010-10-04,910.0
2010-10-11,1040.0
2010-10-18,1044.0
2010-10-25,911.0
2010-11-01,982.0
2010-11-08,1007.0
2010-11-15,1011.0
2010-11-22,984.0
2010-11-29,924.0
2010-12-06,972.0
2010-12-13,908.0
2010-12-20,868.0
2010-12-27,529.0
2011-01-03,664.0
2011-01-10,1020.0
2011-01-17,1072.0
2011-01-24,1151.0
2011-01-31,1178.0
2011-02-07,1122.0
2011-02-14,1151.0
2011-02-21,1089.0
2011-02-28,1066.0
2011-03-07,1085.0
2011-03-14,1037.0
2011-03-21,898.0
2011-03-28,866.0
2011-04-04,808.0
2011-04-11,804.0
2011-04-18,768.0
2011-04-25,796.0
2011-05-02,975.0
2011-05-09,1023.0
2011-05-16,967.0
2011-05-23,929.0
2011-05-30,922.0
2011-06-06,1080.0
2011-06-13,940.0
2011-06-20,793.0
2011-06-27,709.0
2011-07-04,678.0
2011-07-11,624.0
2011-07-18,663.0
2011-07-25,669.0
2011-08-01,678.0
2011-08-08,759.0
2011-08-15,784.0
2011-08-22,747.0
2011-08-29,678.0
2011-09-05,644.0
2011-09-12,787.0
2011-09-19,795.0
2011-09-26,758.0
2011-10-03,980.0
2011-10-10,1134.0
2011-10-17,1107.0
2011-10-24,1101.0
2011-10-31,1194.0
2011-11-07,1456.0
2011-11-14,1348.0
2011-11-21,1143.0
2011-11-28,999.0
2011-12-05,1232.0
2011-12-12,1121.0
2011-12-19,969.0
2011-12-26,376.0
2012-01-02,1154.0
2012-01-09,1163.0
2012-01-16,1278.0
2012-01-23,1167.0
2012-01-30,1300.0
2012-02-06,1371.0
2012-02-13,1491.0
2012-02-20,1495.0
2012-02-27,1688.0
2012-03-05,1650.0
2012-03-12,1329.0
2012-03-19,1099.0
2012-03-26,872.0
2012-04-02,1036.0
2012-04-09,1111.0
2012-04-16,1128.0
