,pageviews
2007-12-10,112.0
2007-12-17,552.0
2007-12-24,418.0
2007-12-31,338.0
2008-01-07,514.0
2008-01-14,613.0
2008-01-21,671.0
2008-01-28,660.0
2008-02-04,457.0
2008-02-11,413.0
2008-02-18,432.0
2008-02-25,554.0
2008-03-03,410.0
2008-03-10,567.0
2008-03-17,752.0
2008-03-24,522.0
2008-03-31,625.0
2008-04-07,677.0
2008-04-14,648.0
2008-04-21,630.0
2008-04-28,541.0
2008-05-05,626.0
2008-05-12,520.0
2008-05-19,537.0
2008-05-26,523.0
2008-06-02,404.0
2008-06-09,596.0
2008-06-16,713.0
2008-06-23,683.0
2008-06-30,467.0
2008-07-07,387.0
2008-07-14,294.0
2008-07-21,
2008-07-28,
2008-08-04,211.0
2008-08-11,499.0
2008-08-18,467.0
2008-08-25,535.0
2008-09-01,573.0
2008-09-08,640.0
2008-09-15,660.0
2008-09-22,649.0
2008-09-29,667.0
2008-10-06,721.0
2008-10-13,795.0
2008-10-20,830.0
2008-10-27,456.0
2008-11-03,670.0
2008-11-10,708.0
2008-11-17,738.0
2008-11-24,698.0
2008-12-01,602.0
2008-12-08,651.0
2008-12-15,593.0
2008-12-22,568.0
2008-12-29,311.0
2009-01-05,410.0
2009-01-12,570.0
2009-01-19,676.0
2009-01-26,679.0
2009-02-02,682.0
2009-02-09,676.0
2009-02-16,641.0
2009-02-23,696.0
2009-03-02,811.0
2009-03-09,742.0
2009-03-16,682.0
2009-03-23,606.0
2009-03-30,620.0
2009-04-06,600.0
2009-04-13,655.0
2009-04-20,579.0
2009-04-27,560.0
2009-05-04,573.0
2009-05-11,637.0
2009-05-18,613.0
2009-05-25,586.0
2009-06-01,558.0
2009-06-08,545.0
2009-06-15,700.0
2009-06-22,636.0
2009-06-29,464.0
2009-07-06,525.0
2009-07-13,450.0
2009-07-20,466.0
2009-07-27,442.0
2009-08-03,501.0
2009-08-10,511.0
2009-08-17,537.0
2009-08-24,637.0
2009-08-31,621.0
2009-09-07,609.0
2009-09-14,822.0
2009-09-21,749.0
2009-09-28,323.0
2009-10-05,792.0
2009-10-12,868.0
2009-10-19,497.0
2009-10-26,913.0
2009-11-02,762.0
2009-11-09,828.0
2009-11-16,708.0
2009-11-23,600.0
2009-11-30,608.0
2009-12-07,682.0
2009-12-14,601.0
2009-12-21,580.0
2009-12-28,489.0
2010-01-04,413.0
2010-01-11,570.0
2010-01-18,708.0
2010-01-25,679.0
2010-02-01,776.0
2010-02-08,587.0
2010-02-15,657.0
2010-02-22,629.0
2010-03-01,677.0
2010-03-08,659.0
2010-03-15,739.0
2010-03-22,689.0
2010-03-29,684.0
2010-04-05,678.0
2010-04-12,651.0
2010-04-19,731.0
2010-04-26,694.0
2010-05-03,798.0
2010-05-10,707.0
2010-05-17,654.0
2010-05-24,615.0
2010-05-31,608.0
2010-06-07,595.0
2010-06-14,361.0
2010-06-21,560.0
2010-06-28,345.0
2010-07-05,393.0
2010-07-12,185.0
2010-07-19,398.0
2010-07-26,482.0
2010-08-02,693.0
2010-08-09,644.0
2010-08-16,662.0
2010-08-23,774.0
2010-08-30,923.0
2010-09-06,825.0
2010-09-13,861.0
2010-09-20,953.0
2010-09-27,893.0
2010-10-04,838.0
2010-10-11,868.0
2010-10-18,1071.0
2010-10-25,1051.0
2010-11-01,877.0
2010-11-08,801.0
2010-11-15,877.0
2010-11-22,901.0
2010-11-29,837.0
2010-12-06,812.0
2010-12-13,1015.0
2010-12-20,845.0
2010-12-27,591.0
2011-01-03,511.0
2011-01-10,792.0
2011-01-17,852.0
2011-01-24,946.0
2011-01-31,900.0
2011-02-07,746.0
2011-02-14,794.0
2011-02-21,776.0
2011-02-28,734.0
2011-03-07,797.0
2011-03-14,776.0
2011-03-21,665.0
2011-03-28,667.0
2011-04-04,556.0
2011-04-11,672.0
2011-04-18,589.0
2011-04-25,523.0
2011-05-02,525.0
2011-05-09,613.0
2011-05-16,608.0
2011-05-23,595.0
2011-05-30,590.0
2011-06-06,574.0
2011-06-13,756.0
2011-06-20,695.0
2011-06-27,675.0
2011-07-04,605.0
2011-07-11,589.0
2011-07-18,501.0
2011-07-25,551.0
2011-08-01,571.0
2011-08-08,546.0
2011-08-15,932.0
2011-08-22,635.0
2011-08-29,655.0
2011-09-05,552.0
2011-09-12,713.0
2011-09-19,668.0
2011-09-26,707.0
2011-10-03,835.0
2011-10-10,924.0
2011-10-17,889.0
2011-10-24,818.0
2011-10-31,799.0
2011-11-07,854.0
2011-11-14,883.0
2011-11-21,930.0
2011-11-28,907.0
2011-12-05,782.0
2011-12-12,870.0
2011-12-19,817.0
2011-12-26,327.0
2012-01-02,539.0
2012-01-09,768.0
2012-01-16,835.0
2012-01-23,1047.0
2012-01-30,839.0
2012-02-06,827.0
2012-02-13,763.0
2012-02-20,810.0
2012-02-27,764.0
2012-03-05,814.0
2012-03-12,814.0
2012-03-19,751.0
2012-03-26,749.0
2012-04-02,538.0
2012-04-09,549.0
2012-04-16,618.0
2012-04-23,672.0
2012-04-30,547.0
2012-05-07,684.0
2012-05-14,670.0
2012-05-21,696.0
2012-05-28,606.0
2012-06-04,594.0
2012-06-11,883.0
2012-06-18,734.0
2012-06-25,745.0
2012-07-02,609.0
2012-07-09,562.0
2012-07-16,560.0
2012-07-23,496.0
2012-07-30,545.0
2012-08-06,564.0
2012-08-13,604.0
2012-08-20,593.0
2012-08-27,596.0
2012-09-03,670.0
2012-09-10,914.0
2012-09-17,922.0
2012-09-24,806.0
2012-10-01,766.0
2012-10-08,876.0
2012-10-15,890.0
2012-10-22,942.0
2012-10-29,821.0
2012-11-05,924.0
2012-11-12,883.0
2012-11-19,875.0
2012-11-26,932.0
2012-12-03,1277.0
2012-12-10,894.0
2012-12-17,962.0
2012-12-24,654.0
2012-12-31,542.0
2013-01-07,588.0
2013-01-14,817.0
2013-01-21,1005.0
2013-01-28,939.0
2013-02-04,781.0
2013-02-11,868.0
2013-02-18,882.0
2013-02-25,780.0
2013-03-04,808.0
2013-03-11,848.0
2013-03-18,717.0
2013-03-25,651.0
2013-04-01,549.0
2013-04-08,651.0
2013-04-15,774.0
2013-04-22,750.0
2013-04-29,713.0
2013-05-06,705.0
2013-05-13,657.0
2013-05-20,646.0
2013-05-27,572.0
2013-06-03,741.0
2013-06-10,738.0
2013-06-17,770.0
2013-06-24,647.0
2013-07-01,584.0
2013-07-08,607.0
2013-07-15,547.0
2013-07-22,454.0
2013-07-29,331.0
2013-08-05,470.0
2013-08-12,506.0
2013-08-19,471.0
2013-08-26,503.0
2013-09-02,544.0
2013-09-09,633.0
2013-09-16,577.0
2013-09-23,615.0
2013-09-30,606.0
2013-10-07,704.0
2013-10-14,699.0
2013-10-21,715.0
2013-10-28,661.0
2013-11-04,726.0
2013-11-11,739.0
2013-11-18,701.0
2013-11-25,692.0
2013-12-02,643.0
2013-12-09,708.0
2013-12-16,669.0
2013-12-23,456.0
2013-12-30,362.0
2014-01-06,303.0
2014-01-13,667.0
2014-01-20,718.0
2014-01-27,644.0
2014-02-03,631.0
2014-02-10,660.0
2014-02-17,677.0
2014-02-24,575.0
2014-03-03,576.0
2014-03-10,632.0
2014-03-17,724.0
2014-03-24,547.0
2014-03-31,565.0
2014-04-07,613.0
2014-04-14,586.0
2014-04-21,459.0
2014-04-28,547.0
2014-05-05,560.0
2014-05-12,558.0
2014-05-19,481.0
2014-05-26,496.0
2014-06-02,491.0
2014-06-09,461.0
2014-06-16,505.0
2014-06-23,476.0
2014-06-30,525.0
2014-07-07,433.0
2014-07-14,389.0
2014-07-21,403.0
2014-07-28,409.0
