,pageviews
2007-12-31,5931
2008-01-31,8756
2008-02-29,9556
2008-03-31,9386
2008-04-30,10596
2008-05-31,10529
2008-06-30,8925
2008-07-31,3206
2008-08-31,8506
2008-09-30,10255
2008-10-31,10707
2008-11-30,11288
2008-12-31,10423
2009-01-31,10467
2009-02-28,10616
2009-03-31,12255
2009-04-30,11501
2009-05-31,12690
2009-06-30,11306
2009-07-31,10706
2009-08-31,10418
2009-09-30,10681
2009-10-31,12561
2009-11-30,12280
2009-12-31,11471
2010-01-31,10922
2010-02-28,10498
2010-03-31,18511
2010-04-30,14635
2010-05-31,14874
2010-06-30,10659
2010-07-31,10242
2010-08-31,15889
2010-09-30,15783
2010-10-31,16644
2010-11-30,16211
2010-12-31,15624
2011-01-31,15860
2011-02-28,13869
2011-03-31,14132
2011-04-30,12228
2011-05-31,12749
2011-06-30,11867
2011-07-31,9778
2011-08-31,10415
2011-09-30,9804
2011-10-31,15401
2011-11-30,13036
2011-12-31,11233
2012-01-31,12512
2012-02-29,12437
2012-03-31,12798
2012-04-30,11674
2012-05-31,12410
2012-06-30,11720
2012-07-31,11851
2012-08-31,10894
2012-09-30,12250
2012-10-31,14018
2012-11-30,13504
2012-12-31,13028
2013-01-31,13768
2013-02-28,13463
2013-03-31,14388
2013-04-30,13284
2013-05-31,13159
2013-06-30,12075
2013-07-31,10327
2013-08-31,9714
2013-09-30,10026
2013-10-31,11741
2013-11-30,11623
2013-12-31,11016
2014-01-31,11505
2014-02-28,10653
2014-03-31,12054
2014-04-30,11872
2014-05-31,11749
2014-06-30,9594
2014-07-31,9262
2014-08-31,9637
2014-09-30,12086
2014-10-31,11791
2014-11-30,13400
2014-12-31,11642
2015-01-31,11124
2015-02-28,10601
2015-03-31,9769
