,pageviews
2007-12-10,29.0
2007-12-17,114.0
2007-12-24,95.0
2007-12-31,87.0
2008-01-07,95.0
2008-01-14,111.0
2008-01-21,131.0
2008-01-28,157.0
2008-02-04,137.0
2008-02-11,153.0
2008-02-18,135.0
2008-02-25,118.0
2008-03-03,79.0
2008-03-10,123.0
2008-03-17,147.0
2008-03-24,104.0
2008-03-31,99.0
2008-04-07,142.0
2008-04-14,140.0
2008-04-21,157.0
2008-04-28,178.0
2008-05-05,154.0
2008-05-12,180.0
2008-05-19,200.0
2008-05-26,165.0
2008-06-02,136.0
2008-06-09,131.0
2008-06-16,123.0
2008-06-23,148.0
2008-06-30,134.0
2008-07-07,102.0
2008-07-14,77.0
2008-07-21,
2008-07-28,
2008-08-04,47.0
2008-08-11,98.0
2008-08-18,98.0
2008-08-25,99.0
2008-09-01,118.0
2008-09-08,166.0
2008-09-15,132.0
2008-09-22,139.0
2008-09-29,152.0
2008-10-06,153.0
2008-10-13,157.0
2008-10-20,143.0
2008-10-27,98.0
2008-11-03,107.0
2008-11-10,146.0
2008-11-17,164.0
2008-11-24,175.0
2008-12-01,119.0
2008-12-08,153.0
2008-12-15,150.0
2008-12-22,91.0
2008-12-29,64.0
2009-01-05,84.0
2009-01-12,100.0
2009-01-19,151.0
2009-01-26,151.0
2009-02-02,190.0
2009-02-09,189.0
2009-02-16,210.0
2009-02-23,198.0
2009-03-02,251.0
2009-03-09,210.0
2009-03-16,160.0
2009-03-23,121.0
2009-03-30,160.0
2009-04-06,143.0
2009-04-13,131.0
2009-04-20,163.0
2009-04-27,142.0
2009-05-04,175.0
2009-05-11,173.0
2009-05-18,169.0
2009-05-25,169.0
2009-06-01,124.0
2009-06-08,114.0
2009-06-15,131.0
2009-06-22,103.0
2009-06-29,111.0
2009-07-06,122.0
2009-07-13,143.0
2009-07-20,124.0
2009-07-27,147.0
2009-08-03,122.0
2009-08-10,149.0
2009-08-17,137.0
2009-08-24,182.0
2009-08-31,121.0
2009-09-07,145.0
2009-09-14,179.0
2009-09-21,197.0
2009-09-28,69.0
2009-10-05,168.0
2009-10-12,212.0
2009-10-19,96.0
2009-10-26,226.0
2009-11-02,211.0
2009-11-09,213.0
2009-11-16,196.0
2009-11-23,134.0
2009-11-30,151.0
2009-12-07,175.0
2009-12-14,229.0
2009-12-21,135.0
2009-12-28,113.0
2010-01-04,138.0
2010-01-11,172.0
2010-01-18,188.0
2010-01-25,165.0
2010-02-01,213.0
2010-02-08,243.0
2010-02-15,188.0
2010-02-22,248.0
2010-03-01,189.0
2010-03-08,197.0
2010-03-15,221.0
2010-03-22,244.0
2010-03-29,236.0
2010-04-05,191.0
2010-04-12,187.0
2010-04-19,232.0
2010-04-26,263.0
2010-05-03,294.0
2010-05-10,242.0
2010-05-17,262.0
2010-05-24,210.0
2010-05-31,223.0
2010-06-07,190.0
2010-06-14,137.0
2010-06-21,203.0
2010-06-28,110.0
2010-07-05,157.0
2010-07-12,63.0
2010-07-19,139.0
2010-07-26,171.0
2010-08-02,220.0
2010-08-09,249.0
2010-08-16,250.0
2010-08-23,225.0
2010-08-30,213.0
2010-09-06,260.0
2010-09-13,231.0
2010-09-20,238.0
2010-09-27,218.0
2010-10-04,234.0
2010-10-11,289.0
2010-10-18,335.0
2010-10-25,310.0
2010-11-01,317.0
2010-11-08,281.0
2010-11-15,299.0
2010-11-22,255.0
2010-11-29,270.0
2010-12-06,267.0
2010-12-13,285.0
2010-12-20,273.0
2010-12-27,202.0
2011-01-03,132.0
2011-01-10,205.0
2011-01-17,248.0
2011-01-24,266.0
2011-01-31,224.0
2011-02-07,306.0
2011-02-14,229.0
2011-02-21,263.0
2011-02-28,267.0
2011-03-07,276.0
2011-03-14,268.0
2011-03-21,223.0
2011-03-28,253.0
2011-04-04,265.0
2011-04-11,251.0
2011-04-18,261.0
2011-04-25,284.0
2011-05-02,207.0
2011-05-09,272.0
2011-05-16,229.0
2011-05-23,214.0
2011-05-30,225.0
2011-06-06,274.0
2011-06-13,273.0
2011-06-20,222.0
2011-06-27,214.0
2011-07-04,180.0
2011-07-11,183.0
2011-07-18,166.0
2011-07-25,197.0
2011-08-01,241.0
2011-08-08,197.0
2011-08-15,168.0
2011-08-22,204.0
2011-08-29,188.0
2011-09-05,173.0
2011-09-12,207.0
2011-09-19,192.0
2011-09-26,310.0
2011-10-03,292.0
2011-10-10,265.0
2011-10-17,312.0
2011-10-24,228.0
2011-10-31,269.0
2011-11-07,304.0
2011-11-14,270.0
2011-11-21,327.0
2011-11-28,300.0
2011-12-05,251.0
2011-12-12,250.0
2011-12-19,248.0
2011-12-26,122.0
2012-01-02,182.0
2012-01-09,218.0
2012-01-16,228.0
2012-01-23,266.0
2012-01-30,297.0
2012-02-06,279.0
2012-02-13,264.0
2012-02-20,287.0
2012-02-27,275.0
2012-03-05,258.0
2012-03-12,253.0
2012-03-19,275.0
2012-03-26,234.0
2012-04-02,239.0
2012-04-09,206.0
2012-04-16,308.0
2012-04-23,317.0
2012-04-30,190.0
2012-05-07,226.0
2012-05-14,268.0
2012-05-21,251.0
2012-05-28,222.0
2012-06-04,204.0
2012-06-11,260.0
2012-06-18,356.0
2012-06-25,264.0
2012-07-02,229.0
2012-07-09,232.0
2012-07-16,298.0
2012-07-23,226.0
2012-07-30,209.0
2012-08-06,185.0
2012-08-13,238.0
2012-08-20,218.0
2012-08-27,234.0
2012-09-03,213.0
2012-09-10,285.0
2012-09-17,294.0
2012-09-24,255.0
2012-10-01,281.0
2012-10-08,264.0
2012-10-15,249.0
2012-10-22,289.0
2012-10-29,269.0
2012-11-05,332.0
2012-11-12,308.0
2012-11-19,339.0
2012-11-26,373.0
2012-12-03,385.0
2012-12-10,290.0
2012-12-17,241.0
2012-12-24,234.0
2012-12-31,200.0
2013-01-07,288.0
2013-01-14,330.0
2013-01-21,295.0
2013-01-28,335.0
2013-02-04,368.0
2013-02-11,311.0
