,pageviews
2007-12-10,270.0
2007-12-17,1916.0
2007-12-24,1081.0
2007-12-31,678.0
2008-01-07,1216.0
2008-01-14,1858.0
2008-01-21,1966.0
2008-01-28,2375.0
2008-02-04,1986.0
2008-02-11,2350.0
2008-02-18,2232.0
2008-02-25,2623.0
2008-03-03,1600.0
2008-03-10,2047.0
2008-03-17,2221.0
2008-03-24,1738.0
2008-03-31,2141.0
2008-04-07,2198.0
2008-04-14,2383.0
2008-04-21,2240.0
2008-04-28,2337.0
2008-05-05,2309.0
2008-05-12,2441.0
2008-05-19,2247.0
2008-05-26,2019.0
2008-06-02,1428.0
2008-06-09,1812.0
2008-06-16,1688.0
2008-06-23,1499.0
2008-06-30,1466.0
2008-07-07,1065.0
2008-07-14,857.0
2008-07-21,
2008-07-28,
2008-08-04,619.0
2008-08-11,1061.0
2008-08-18,1110.0
2008-08-25,1491.0
2008-09-01,1879.0
2008-09-08,2407.0
2008-09-15,3085.0
2008-09-22,3162.0
2008-09-29,2827.0
2008-10-06,3035.0
2008-10-13,3180.0
2008-10-20,3263.0
2008-10-27,1914.0
2008-11-03,2662.0
2008-11-10,2643.0
2008-11-17,2855.0
2008-11-24,2564.0
2008-12-01,2063.0
2008-12-08,2743.0
2008-12-15,2329.0
2008-12-22,1955.0
2008-12-29,875.0
2009-01-05,1179.0
2009-01-12,2277.0
2009-01-19,2628.0
2009-01-26,2856.0
2009-02-02,3174.0
2009-02-09,3341.0
2009-02-16,2996.0
2009-02-23,3083.0
2009-03-02,3396.0
2009-03-09,3450.0
2009-03-16,3280.0
2009-03-23,2924.0
2009-03-30,2946.0
2009-04-06,2905.0
2009-04-13,2710.0
2009-04-20,2900.0
2009-04-27,3099.0
2009-05-04,2827.0
2009-05-11,2896.0
2009-05-18,3105.0
2009-05-25,2681.0
2009-06-01,2803.0
2009-06-08,2587.0
2009-06-15,2519.0
2009-06-22,2269.0
2009-06-29,1917.0
2009-07-06,1914.0
2009-07-13,1800.0
2009-07-20,1794.0
2009-07-27,1802.0
2009-08-03,1900.0
2009-08-10,1839.0
2009-08-17,1922.0
2009-08-24,2408.0
2009-08-31,2834.0
2009-09-07,3144.0
2009-09-14,3619.0
2009-09-21,3982.0
2009-09-28,1732.0
2009-10-05,4114.0
2009-10-12,3753.0
2009-10-19,2054.0
2009-10-26,4076.0
2009-11-02,3692.0
2009-11-09,4379.0
2009-11-16,3707.0
2009-11-23,3330.0
2009-11-30,2801.0
2009-12-07,3438.0
2009-12-14,2891.0
2009-12-21,2288.0
2009-12-28,1155.0
2010-01-04,1596.0
2010-01-11,3124.0
2010-01-18,3285.0
2010-01-25,3155.0
2010-02-01,4529.0
2010-02-08,3636.0
2010-02-15,3462.0
2010-02-22,3914.0
2010-03-01,3924.0
2010-03-08,4032.0
2010-03-15,3959.0
2010-03-22,3809.0
2010-03-29,3779.0
2010-04-05,3313.0
2010-04-12,3594.0
2010-04-19,4242.0
2010-04-26,4003.0
2010-05-03,3905.0
2010-05-10,3909.0
2010-05-17,3271.0
2010-05-24,3156.0
2010-05-31,3085.0
2010-06-07,3194.0
2010-06-14,1926.0
2010-06-21,2529.0
2010-06-28,1548.0
2010-07-05,1814.0
2010-07-12,905.0
2010-07-19,1999.0
2010-07-26,2690.0
2010-08-02,2908.0
2010-08-09,3130.0
2010-08-16,3004.0
2010-08-23,3227.0
2010-08-30,3962.0
2010-09-06,4102.0
2010-09-13,4652.0
2010-09-20,4852.0
2010-09-27,4493.0
2010-10-04,4799.0
2010-10-11,4907.0
2010-10-18,5167.0
2010-10-25,4548.0
2010-11-01,4481.0
2010-11-08,4933.0
2010-11-15,4638.0
2010-11-22,4469.0
2010-11-29,3727.0
2010-12-06,4241.0
2010-12-13,4459.0
2010-12-20,3363.0
2010-12-27,1899.0
2011-01-03,2193.0
2011-01-10,4098.0
2011-01-17,4432.0
2011-01-24,5083.0
2011-01-31,4902.0
2011-02-07,4796.0
2011-02-14,4784.0
2011-02-21,4640.0
2011-02-28,4337.0
2011-03-07,4835.0
2011-03-14,4413.0
2011-03-21,3913.0
2011-03-28,3988.0
2011-04-04,3884.0
2011-04-11,3943.0
2011-04-18,3652.0
2011-04-25,3134.0
2011-05-02,3689.0
2011-05-09,3821.0
2011-05-16,3547.0
2011-05-23,3535.0
2011-05-30,3182.0
2011-06-06,3248.0
2011-06-13,3166.0
2011-06-20,3136.0
2011-06-27,3027.0
2011-07-04,2605.0
2011-07-11,2594.0
2011-07-18,2722.0
2011-07-25,2452.0
2011-08-01,2566.0
2011-08-08,2749.0
2011-08-15,2590.0
2011-08-22,2643.0
2011-08-29,3558.0
2011-09-05,3480.0
2011-09-12,4682.0
2011-09-19,5266.0
2011-09-26,5027.0
2011-10-03,5498.0
2011-10-10,5949.0
2011-10-17,5989.0
2011-10-24,5603.0
2011-10-31,6431.0
2011-11-07,6770.0
2011-11-14,6854.0
2011-11-21,7198.0
2011-11-28,5431.0
2011-12-05,6872.0
2011-12-12,6823.0
2011-12-19,5441.0
2011-12-26,1915.0
2012-01-02,2991.0
2012-01-09,5695.0
2012-01-16,7267.0
2012-01-23,7408.0
2012-01-30,8498.0
2012-02-06,8158.0
2012-02-13,8070.0
2012-02-20,7102.0
2012-02-27,7708.0
2012-03-05,8167.0
2012-03-12,7309.0
2012-03-19,6371.0
2012-03-26,6196.0
2012-04-02,5897.0
2012-04-09,4742.0
2012-04-16,6116.0
2012-04-23,6950.0
2012-04-30,5354.0
2012-05-07,7133.0
2012-05-14,6720.0
2012-05-21,6252.0
2012-05-28,5703.0
2012-06-04,6026.0
2012-06-11,5791.0
2012-06-18,5267.0
2012-06-25,5125.0
2012-07-02,4673.0
2012-07-09,4316.0
2012-07-16,4337.0
2012-07-23,4380.0
2012-07-30,4564.0
2012-08-06,4325.0
2012-08-13,4396.0
2012-08-20,5148.0
2012-08-27,5721.0
2012-09-03,6713.0
2012-09-10,7944.0
2012-09-17,8666.0
2012-09-24,8732.0
2012-10-01,8925.0
2012-10-08,9747.0
2012-10-15,9497.0
2012-10-22,9320.0
2012-10-29,8644.0
2012-11-05,8637.0
2012-11-12,9230.0
2012-11-19,9274.0
2012-11-26,7053.0
2012-12-03,9215.0
2012-12-10,8936.0
2012-12-17,7941.0
2012-12-24,5073.0
2012-12-31,3692.0
2013-01-07,5946.0
2013-01-14,9600.0
2013-01-21,10548.0
2013-01-28,11585.0
2013-02-04,12355.0
2013-02-11,10376.0
2013-02-18,9490.0
2013-02-25,10500.0
2013-03-04,10778.0
2013-03-11,9717.0
2013-03-18,9712.0
2013-03-25,9145.0
2013-04-01,7169.0
2013-04-08,8246.0
2013-04-15,8923.0
2013-04-22,9116.0
2013-04-29,8698.0
2013-05-06,8540.0
2013-05-13,7863.0
2013-05-20,7512.0
2013-05-27,6781.0
2013-06-03,6822.0
2013-06-10,6303.0
2013-06-17,5956.0
2013-06-24,5718.0
2013-07-01,5223.0
2013-07-08,4402.0
2013-07-15,4565.0
2013-07-22,4395.0
2013-07-29,3121.0
2013-08-05,4290.0
2013-08-12,4503.0
2013-08-19,5210.0
2013-08-26,4320.0
2013-09-02,4526.0
2013-09-09,5666.0
2013-09-16,6187.0
2013-09-23,5649.0
2013-09-30,5592.0
2013-10-07,6997.0
2013-10-14,6929.0
2013-10-21,7655.0
2013-10-28,6828.0
2013-11-04,7013.0
2013-11-11,7534.0
2013-11-18,8868.0
2013-11-25,8978.0
2013-12-02,7167.0
2013-12-09,10655.0
2013-12-16,6390.0
2013-12-23,3142.0
2013-12-30,2064.0
2014-01-06,1858.0
2014-01-13,4950.0
2014-01-20,5291.0
2014-01-27,5675.0
2014-02-03,5604.0
2014-02-10,6079.0
2014-02-17,5296.0
2014-02-24,5325.0
2014-03-03,5684.0
2014-03-10,5693.0
2014-03-17,4910.0
2014-03-24,4711.0
2014-03-31,4653.0
2014-04-07,4773.0
2014-04-14,4258.0
2014-04-21,3751.0
2014-04-28,4248.0
2014-05-05,4194.0
2014-05-12,3799.0
2014-05-19,3636.0
2014-05-26,3422.0
2014-06-02,3356.0
2014-06-09,3225.0
2014-06-16,2861.0
2014-06-23,2832.0
2014-06-30,2515.0
2014-07-07,2269.0
2014-07-14,2523.0
2014-07-21,2715.0
2014-07-28,2531.0
2014-08-04,2460.0
2014-08-11,2573.0
2014-08-18,3044.0
2014-08-25,3468.0
2014-09-01,2702.0
2014-09-08,4078.0
2014-09-15,4369.0
2014-09-22,4279.0
2014-09-29,4273.0
2014-10-06,3673.0
2014-10-13,4050.0
2014-10-20,3759.0
2014-10-27,3485.0
2014-11-03,3452.0
2014-11-10,4177.0
2014-11-17,3696.0
2014-11-24,3449.0
2014-12-01,3007.0
2014-12-08,3495.0
2014-12-15,3160.0
2014-12-22,2380.0
2014-12-29,1570.0
2015-01-05,2308.0
2015-01-12,3234.0
2015-01-19,3274.0
2015-01-26,3715.0
2015-02-02,3914.0
2015-02-09,4146.0
2015-02-16,3790.0
2015-02-23,3653.0
2015-03-02,3566.0
2015-03-09,3509.0
2015-03-16,3492.0
2015-03-23,3358.0
2015-03-30,1200.0
