,pageviews
2007-12-10,42.0
2007-12-17,256.0
2007-12-24,175.0
2007-12-31,181.0
2008-01-07,227.0
2008-01-14,215.0
2008-01-21,258.0
2008-01-28,266.0
2008-02-04,192.0
2008-02-11,264.0
2008-02-18,257.0
2008-02-25,251.0
2008-03-03,126.0
2008-03-10,217.0
2008-03-17,245.0
2008-03-24,224.0
2008-03-31,278.0
2008-04-07,254.0
2008-04-14,216.0
2008-04-21,285.0
2008-04-28,275.0
2008-05-05,261.0
2008-05-12,221.0
2008-05-19,258.0
2008-05-26,288.0
2008-06-02,170.0
2008-06-09,244.0
2008-06-16,286.0
2008-06-23,256.0
2008-06-30,231.0
2008-07-07,190.0
2008-07-14,164.0
2008-07-21,
2008-07-28,
2008-08-04,129.0
2008-08-11,232.0
2008-08-18,243.0
2008-08-25,286.0
2008-09-01,261.0
2008-09-08,297.0
2008-09-15,302.0
2008-09-22,303.0
2008-09-29,328.0
2008-10-06,287.0
2008-10-13,270.0
2008-10-20,271.0
2008-10-27,198.0
2008-11-03,315.0
2008-11-10,356.0
2008-11-17,275.0
2008-11-24,276.0
2008-12-01,233.0
2008-12-08,304.0
2008-12-15,275.0
2008-12-22,274.0
2008-12-29,240.0
2009-01-05,248.0
2009-01-12,221.0
2009-01-19,267.0
2009-01-26,251.0
2009-02-02,280.0
2009-02-09,274.0
2009-02-16,286.0
2009-02-23,368.0
2009-03-02,408.0
2009-03-09,323.0
2009-03-16,377.0
2009-03-23,343.0
2009-03-30,322.0
2009-04-06,279.0
2009-04-13,307.0
2009-04-20,326.0
2009-04-27,308.0
2009-05-04,333.0
2009-05-11,289.0
2009-05-18,308.0
2009-05-25,272.0
2009-06-01,314.0
2009-06-08,310.0
2009-06-15,327.0
2009-06-22,298.0
2009-06-29,296.0
2009-07-06,283.0
2009-07-13,312.0
2009-07-20,301.0
2009-07-27,269.0
2009-08-03,257.0
2009-08-10,293.0
2009-08-17,264.0
2009-08-24,275.0
2009-08-31,312.0
2009-09-07,287.0
2009-09-14,295.0
2009-09-21,294.0
2009-09-28,151.0
2009-10-05,358.0
2009-10-12,337.0
2009-10-19,180.0
2009-10-26,376.0
2009-11-02,418.0
2009-11-09,403.0
2009-11-16,323.0
2009-11-23,258.0
2009-11-30,291.0
2009-12-07,278.0
2009-12-14,263.0
2009-12-21,267.0
2009-12-28,243.0
2010-01-04,222.0
2010-01-11,274.0
2010-01-18,329.0
2010-01-25,267.0
2010-02-01,283.0
2010-02-08,257.0
2010-02-15,282.0
2010-02-22,310.0
2010-03-01,365.0
2010-03-08,315.0
2010-03-15,330.0
2010-03-22,295.0
2010-03-29,377.0
2010-04-05,361.0
2010-04-12,300.0
2010-04-19,364.0
2010-04-26,322.0
2010-05-03,360.0
2010-05-10,354.0
2010-05-17,351.0
2010-05-24,293.0
2010-05-31,292.0
2010-06-07,295.0
2010-06-14,170.0
2010-06-21,281.0
2010-06-28,189.0
2010-07-05,219.0
2010-07-12,86.0
2010-07-19,216.0
2010-07-26,312.0
2010-08-02,319.0
2010-08-09,362.0
2010-08-16,369.0
2010-08-23,336.0
2010-08-30,349.0
2010-09-06,293.0
2010-09-13,326.0
2010-09-20,371.0
2010-09-27,376.0
2010-10-04,336.0
2010-10-11,310.0
2010-10-18,415.0
2010-10-25,362.0
2010-11-01,352.0
2010-11-08,342.0
2010-11-15,347.0
2010-11-22,315.0
2010-11-29,371.0
2010-12-06,379.0
2010-12-13,349.0
2010-12-20,319.0
2010-12-27,316.0
2011-01-03,324.0
2011-01-10,427.0
2011-01-17,437.0
2011-01-24,376.0
2011-01-31,358.0
2011-02-07,383.0
2011-02-14,348.0
2011-02-21,358.0
2011-02-28,302.0
2011-03-07,407.0
2011-03-14,361.0
2011-03-21,346.0
2011-03-28,360.0
2011-04-04,380.0
2011-04-11,353.0
2011-04-18,494.0
2011-04-25,347.0
2011-05-02,386.0
2011-05-09,367.0
2011-05-16,358.0
2011-05-23,412.0
2011-05-30,310.0
2011-06-06,345.0
2011-06-13,312.0
2011-06-20,262.0
2011-06-27,358.0
2011-07-04,328.0
2011-07-11,292.0
2011-07-18,301.0
2011-07-25,266.0
2011-08-01,325.0
2011-08-08,348.0
2011-08-15,291.0
2011-08-22,262.0
2011-08-29,281.0
2011-09-05,224.0
2011-09-12,206.0
2011-09-19,258.0
2011-09-26,333.0
2011-10-03,319.0
2011-10-10,347.0
2011-10-17,331.0
2011-10-24,719.0
2011-10-31,331.0
2011-11-07,399.0
2011-11-14,344.0
2011-11-21,416.0
2011-11-28,345.0
2011-12-05,391.0
2011-12-12,346.0
2011-12-19,303.0
2011-12-26,151.0
2012-01-02,274.0
2012-01-09,300.0
2012-01-16,336.0
2012-01-23,297.0
2012-01-30,305.0
2012-02-06,348.0
2012-02-13,370.0
2012-02-20,363.0
2012-02-27,370.0
2012-03-05,374.0
2012-03-12,321.0
2012-03-19,316.0
2012-03-26,322.0
2012-04-02,303.0
2012-04-09,340.0
2012-04-16,323.0
2012-04-23,388.0
2012-04-30,300.0
2012-05-07,312.0
2012-05-14,329.0
2012-05-21,322.0
2012-05-28,330.0
2012-06-04,304.0
2012-06-11,339.0
2012-06-18,332.0
2012-06-25,357.0
2012-07-02,324.0
2012-07-09,360.0
2012-07-16,368.0
2012-07-23,360.0
2012-07-30,321.0
2012-08-06,326.0
2012-08-13,292.0
2012-08-20,307.0
2012-08-27,323.0
2012-09-03,333.0
2012-09-10,413.0
2012-09-17,392.0
2012-09-24,382.0
2012-10-01,356.0
2012-10-08,319.0
2012-10-15,319.0
2012-10-22,338.0
2012-10-29,324.0
2012-11-05,338.0
2012-11-12,362.0
2012-11-19,392.0
2012-11-26,342.0
2012-12-03,352.0
2012-12-10,361.0
2012-12-17,333.0
2012-12-24,302.0
2012-12-31,599.0
2013-01-07,391.0
2013-01-14,321.0
2013-01-21,383.0
2013-01-28,328.0
2013-02-04,377.0
2013-02-11,412.0
2013-02-18,372.0
2013-02-25,380.0
2013-03-04,380.0
2013-03-11,415.0
2013-03-18,299.0
2013-03-25,351.0
2013-04-01,289.0
2013-04-08,205.0
2013-04-15,228.0
2013-04-22,213.0
2013-04-29,277.0
2013-05-06,228.0
2013-05-13,260.0
2013-05-20,348.0
2013-05-27,365.0
2013-06-03,340.0
2013-06-10,311.0
2013-06-17,289.0
2013-06-24,321.0
2013-07-01,295.0
2013-07-08,278.0
2013-07-15,244.0
2013-07-22,248.0
2013-07-29,225.0
2013-08-05,237.0
2013-08-12,235.0
2013-08-19,250.0
2013-08-26,236.0
2013-09-02,260.0
2013-09-09,261.0
2013-09-16,251.0
2013-09-23,297.0
2013-09-30,291.0
2013-10-07,246.0
2013-10-14,263.0
2013-10-21,366.0
2013-10-28,293.0
2013-11-04,272.0
2013-11-11,298.0
2013-11-18,280.0
2013-11-25,291.0
2013-12-02,241.0
2013-12-09,298.0
2013-12-16,331.0
2013-12-23,247.0
2013-12-30,279.0
2014-01-06,206.0
2014-01-13,278.0
2014-01-20,309.0
2014-01-27,273.0
2014-02-03,333.0
2014-02-10,338.0
2014-02-17,310.0
2014-02-24,384.0
2014-03-03,282.0
2014-03-10,352.0
2014-03-17,343.0
2014-03-24,309.0
2014-03-31,340.0
2014-04-07,306.0
2014-04-14,330.0
2014-04-21,349.0
2014-04-28,377.0
2014-05-05,329.0
2014-05-12,331.0
2014-05-19,396.0
2014-05-26,340.0
2014-06-02,340.0
2014-06-09,297.0
2014-06-16,303.0
2014-06-23,306.0
2014-06-30,308.0
2014-07-07,258.0
2014-07-14,335.0
2014-07-21,275.0
2014-07-28,309.0
2014-08-04,293.0
2014-08-11,280.0
2014-08-18,317.0
2014-08-25,349.0
2014-09-01,273.0
2014-09-08,293.0
2014-09-15,360.0
2014-09-22,318.0
2014-09-29,354.0
2014-10-06,350.0
2014-10-13,335.0
2014-10-20,344.0
2014-10-27,296.0
2014-11-03,404.0
2014-11-10,358.0
2014-11-17,357.0
2014-11-24,358.0
2014-12-01,374.0
2014-12-08,344.0
2014-12-15,337.0
2014-12-22,315.0
2014-12-29,259.0
2015-01-05,292.0
2015-01-12,315.0
2015-01-19,327.0
2015-01-26,312.0
2015-02-02,324.0
2015-02-09,340.0
2015-02-16,344.0
2015-02-23,285.0
2015-03-02,326.0
2015-03-09,357.0
2015-03-16,375.0
2015-03-23,406.0
2015-03-30,138.0
