,pageviews
2007-12-31,13883
2008-01-31,24827
2008-02-29,23982
2008-03-31,25631
2008-04-30,26995
2008-05-31,28778
2008-06-30,27583
2008-07-31,8109
2008-08-31,23355
2008-09-30,30359
2008-10-31,29908
2008-11-30,32424
2008-12-31,24930
2009-01-31,27849
2009-02-28,28550
2009-03-31,32147
2009-04-30,29660
2009-05-31,31894
2009-06-30,33610
2009-07-31,23880
2009-08-31,26065
2009-09-30,29801
2009-10-31,31900
2009-11-30,30830
2009-12-31,26759
2010-01-31,29619
2010-02-28,28398
2010-03-31,36756
2010-04-30,30919
2010-05-31,30539
2010-06-30,26418
2010-07-31,23017
2010-08-31,37587
2010-09-30,38950
2010-10-31,38690
2010-11-30,36116
2010-12-31,32511
2011-01-31,32261
2011-02-28,27810
2011-03-31,29257
2011-04-30,26760
2011-05-31,30308
2011-06-30,35072
2011-07-31,29535
2011-08-31,34475
2011-09-30,28219
2011-10-31,31287
2011-11-30,29804
2011-12-31,24260
2012-01-31,31410
2012-02-29,32242
2012-03-31,33322
2012-04-30,25691
2012-05-31,34120
2012-06-30,40359
2012-07-31,33085
2012-08-31,33543
2012-09-30,36757
2012-10-31,34714
2012-11-30,33522
2012-12-31,28737
2013-01-31,34091
2013-02-28,34481
2013-03-31,34388
2013-04-30,35755
2013-05-31,38824
2013-06-30,41933
2013-07-31,31323
2013-08-31,29803
2013-09-30,27576
2013-10-31,29858
2013-11-30,28768
2013-12-31,26489
2014-01-31,23296
2014-02-28,23956
2014-03-31,27007
2014-04-30,25827
2014-05-31,28538
2014-06-30,30452
2014-07-31,27061
2014-08-31,27265
2014-09-30,29438
2014-10-31,26321
2014-11-30,22785
2014-12-31,19804
2015-01-31,20283
2015-02-28,19118
2015-03-31,17185
