,pageviews
2007-12-10,1019.0
2007-12-17,5633.0
2007-12-24,4001.0
2007-12-31,3230.0
2008-01-07,4844.0
2008-01-14,5826.0
2008-01-21,5727.0
2008-01-28,6330.0
2008-02-04,5108.0
2008-02-11,5918.0
2008-02-18,5741.0
2008-02-25,6324.0
2008-03-03,3791.0
2008-03-10,5645.0
2008-03-17,7753.0
2008-03-24,5429.0
2008-03-31,6004.0
2008-04-07,6042.0
2008-04-14,6016.0
2008-04-21,6323.0
2008-04-28,6373.0
2008-05-05,6625.0
2008-05-12,6773.0
2008-05-19,6751.0
2008-05-26,6192.0
2008-06-02,4678.0
2008-06-09,6377.0
2008-06-16,8244.0
2008-06-23,7018.0
2008-06-30,5944.0
2008-07-07,4517.0
2008-07-14,3592.0
2008-07-21,
2008-07-28,
2008-08-04,2488.0
2008-08-11,4886.0
2008-08-18,4910.0
2008-08-25,5683.0
2008-09-01,6225.0
2008-09-08,7339.0
2008-09-15,7185.0
2008-09-22,7147.0
2008-09-29,6800.0
2008-10-06,7087.0
2008-10-13,7190.0
2008-10-20,7495.0
2008-10-27,4774.0
2008-11-03,8266.0
2008-11-10,6841.0
2008-11-17,6615.0
2008-11-24,10014.0
2008-12-01,6176.0
2008-12-08,6912.0
2008-12-15,6352.0
2008-12-22,5512.0
2008-12-29,3861.0
2009-01-05,4804.0
2009-01-12,6268.0
2009-01-19,6395.0
2009-01-26,6483.0
2009-02-02,6938.0
2009-02-09,6922.0
2009-02-16,7274.0
2009-02-23,7343.0
2009-03-02,7252.0
2009-03-09,7516.0
2009-03-16,8120.0
2009-03-23,6785.0
2009-03-30,6560.0
2009-04-06,6925.0
2009-04-13,6951.0
2009-04-20,6936.0
2009-04-27,6809.0
2009-05-04,6636.0
2009-05-11,7007.0
2009-05-18,7554.0
2009-05-25,7424.0
2009-06-01,7718.0
2009-06-08,7858.0
2009-06-15,8241.0
2009-06-22,9011.0
2009-06-29,6179.0
2009-07-06,5501.0
2009-07-13,5384.0
2009-07-20,5308.0
2009-07-27,5617.0
2009-08-03,5090.0
2009-08-10,5570.0
2009-08-17,5329.0
2009-08-24,6231.0
2009-08-31,6934.0
2009-09-07,7191.0
2009-09-14,8128.0
2009-09-21,7938.0
2009-09-28,3956.0
2009-10-05,8420.0
2009-10-12,7766.0
2009-10-19,4217.0
2009-10-26,8236.0
2009-11-02,7796.0
2009-11-09,8379.0
2009-11-16,7342.0
2009-11-23,6633.0
2009-11-30,6529.0
2009-12-07,7125.0
2009-12-14,6970.0
2009-12-21,5881.0
2009-12-28,4503.0
2010-01-04,5435.0
2010-01-11,7356.0
2010-01-18,7201.0
2010-01-25,5571.0
2010-02-01,7456.0
2010-02-08,6782.0
2010-02-15,7017.0
2010-02-22,7340.0
2010-03-01,7152.0
2010-03-08,7492.0
2010-03-15,11508.0
2010-03-22,7474.0
2010-03-29,7158.0
2010-04-05,6682.0
2010-04-12,6697.0
2010-04-19,7792.0
2010-04-26,7263.0
2010-05-03,7480.0
2010-05-10,7273.0
2010-05-17,6948.0
2010-05-24,6962.0
2010-05-31,6472.0
2010-06-07,7088.0
2010-06-14,4412.0
2010-06-21,8362.0
2010-06-28,4511.0
2010-07-05,5189.0
2010-07-12,2285.0
2010-07-19,4859.0
2010-07-26,6992.0
2010-08-02,7984.0
2010-08-09,8121.0
2010-08-16,7761.0
2010-08-23,8203.0
2010-08-30,9802.0
2010-09-06,9184.0
2010-09-13,9410.0
2010-09-20,8722.0
2010-09-27,8901.0
2010-10-04,8623.0
2010-10-11,8730.0
2010-10-18,9638.0
2010-10-25,9030.0
2010-11-01,8088.0
2010-11-08,8059.0
2010-11-15,8632.0
2010-11-22,8465.0
2010-11-29,8326.0
2010-12-06,8544.0
2010-12-13,8677.0
2010-12-20,8086.0
2010-12-27,5548.0
2011-01-03,5472.0
2011-01-10,6937.0
2011-01-17,7207.0
2011-01-24,8057.0
2011-01-31,7645.0
2011-02-07,6969.0
2011-02-14,7360.0
2011-02-21,6510.0
2011-02-28,6971.0
2011-03-07,7206.0
2011-03-14,7037.0
2011-03-21,6000.0
2011-03-28,6113.0
2011-04-04,6020.0
2011-04-11,6317.0
2011-04-18,6619.0
2011-04-25,6013.0
2011-05-02,6417.0
2011-05-09,6726.0
2011-05-16,6674.0
2011-05-23,6964.0
2011-05-30,7054.0
2011-06-06,7193.0
2011-06-13,9264.0
2011-06-20,8246.0
2011-06-27,7994.0
2011-07-04,7595.0
2011-07-11,6435.0
2011-07-18,7033.0
2011-07-25,6342.0
2011-08-01,6679.0
2011-08-08,9571.0
2011-08-15,6585.0
2011-08-22,8036.0
2011-08-29,7196.0
2011-09-05,5468.0
2011-09-12,7348.0
2011-09-19,6530.0
2011-09-26,6769.0
2011-10-03,7130.0
2011-10-10,7949.0
2011-10-17,6759.0
2011-10-24,6407.0
2011-10-31,7224.0
2011-11-07,7326.0
2011-11-14,7261.0
2011-11-21,6948.0
2011-11-28,6054.0
2011-12-05,6799.0
2011-12-12,7353.0
2011-12-19,6406.0
2011-12-26,2540.0
2012-01-02,4790.0
2012-01-09,7036.0
2012-01-16,7062.0
2012-01-23,6924.0
2012-01-30,7735.0
2012-02-06,8178.0
2012-02-13,7571.0
2012-02-20,7581.0
2012-02-27,7603.0
2012-03-05,7762.0
2012-03-12,7478.0
2012-03-19,9985.0
2012-03-26,6302.0
2012-04-02,5888.0
2012-04-09,5600.0
2012-04-16,6287.0
2012-04-23,6425.0
2012-04-30,5835.0
2012-05-07,7168.0
2012-05-14,7669.0
2012-05-21,8098.0
2012-05-28,7437.0
2012-06-04,9251.0
2012-06-11,10246.0
2012-06-18,9685.0
2012-06-25,8875.0
2012-07-02,8419.0
2012-07-09,8026.0
2012-07-16,7439.0
2012-07-23,6978.0
2012-07-30,7267.0
2012-08-06,6367.0
2012-08-13,6895.0
2012-08-20,7122.0
2012-08-27,7865.0
2012-09-03,9414.0
2012-09-10,9240.0
2012-09-17,8462.0
2012-09-24,8349.0
2012-10-01,8813.0
2012-10-08,8307.0
2012-10-15,7634.0
2012-10-22,7721.0
2012-10-29,7573.0
2012-11-05,7421.0
2012-11-12,7836.0
2012-11-19,8144.0
2012-11-26,7635.0
2012-12-03,8004.0
2012-12-10,7742.0
2012-12-17,6984.0
2012-12-24,5508.0
2012-12-31,5243.0
2013-01-07,6421.0
2013-01-14,7691.0
2013-01-21,7691.0
2013-01-28,7892.0
2013-02-04,9452.0
2013-02-11,8995.0
2013-02-18,8076.0
2013-02-25,8225.0
2013-03-04,8866.0
2013-03-11,8233.0
2013-03-18,8100.0
2013-03-25,7536.0
2013-04-01,6792.0
2013-04-08,8075.0
2013-04-15,8504.0
2013-04-22,8105.0
2013-04-29,8710.0
2013-05-06,8531.0
2013-05-13,8332.0
2013-05-20,8991.0
2013-05-27,8835.0
2013-06-03,9411.0
2013-06-10,10740.0
2013-06-17,10975.0
2013-06-24,8936.0
2013-07-01,8544.0
2013-07-08,8001.0
2013-07-15,7693.0
2013-07-22,7487.0
2013-07-29,4846.0
2013-08-05,6634.0
2013-08-12,6704.0
2013-08-19,6916.0
2013-08-26,6568.0
2013-09-02,6905.0
2013-09-09,6858.0
2013-09-16,6449.0
2013-09-23,6027.0
2013-09-30,6427.0
2013-10-07,6994.0
2013-10-14,6690.0
2013-10-21,6799.0
2013-10-28,6681.0
2013-11-04,5924.0
2013-11-11,6326.0
2013-11-18,8162.0
2013-11-25,7262.0
2013-12-02,5548.0
2013-12-09,9587.0
2013-12-16,6654.0
2013-12-23,4334.0
2013-12-30,3687.0
2014-01-06,2868.0
2014-01-13,5898.0
2014-01-20,5756.0
2014-01-27,5659.0
2014-02-03,5612.0
2014-02-10,6175.0
2014-02-17,5762.0
2014-02-24,6037.0
2014-03-03,6572.0
2014-03-10,6291.0
2014-03-17,6226.0
2014-03-24,6137.0
2014-03-31,5733.0
