,pageviews
2007-12-31,492
2008-01-31,724
2008-02-29,734
2008-03-31,1167
2008-04-30,2003
2008-05-31,2425
2008-06-30,1342
2008-07-31,392
2008-08-31,914
2008-09-30,2102
2008-10-31,2906
2008-11-30,3833
2008-12-31,3820
2009-01-31,2973
2009-02-28,2304
2009-03-31,2601
2009-04-30,2131
2009-05-31,2619
2009-06-30,1684
2009-07-31,1211
2009-08-31,1207
2009-09-30,1770
2009-10-31,2938
2009-11-30,3819
2009-12-31,3324
2010-01-31,2739
2010-02-28,1952
2010-03-31,2184
2010-04-30,1481
2010-05-31,1944
2010-06-30,1066
2010-07-31,808
2010-08-31,1543
2010-09-30,1940
2010-10-31,2263
2010-11-30,3754
2010-12-31,3536
2011-01-31,3379
2011-02-28,2063
2011-03-31,2174
2011-04-30,1697
2011-05-31,2103
2011-06-30,1477
2011-07-31,1096
2011-08-31,1180
2011-09-30,1700
2011-10-31,2735
2011-11-30,3879
2011-12-31,2874
2012-01-31,2899
2012-02-29,2116
2012-03-31,2582
2012-04-30,3935
2012-05-31,2358
2012-06-30,1687
2012-07-31,1472
2012-08-31,1774
2012-09-30,2172
2012-10-31,3327
2012-11-30,4818
2012-12-31,4036
2013-01-31,3912
2013-02-28,3356
2013-03-31,2656
2013-04-30,3096
2013-05-31,2926
2013-06-30,2061
2013-07-31,1528
2013-08-31,1503
2013-09-30,1844
2013-10-31,3457
2013-11-30,3895
2013-12-31,3727
2014-01-31,2544
2014-02-28,2128
2014-03-31,2664
2014-04-30,2299
2014-05-31,2244
2014-06-30,1714
2014-07-31,1382
2014-08-31,1482
2014-09-30,2091
2014-10-31,3010
2014-11-30,3326
2014-12-31,2705
2015-01-31,4040
2015-02-28,2097
2015-03-31,1566
