,pageviews
2007-12-10,3451.0
2007-12-17,20805.0
2007-12-24,16324.0
2007-12-31,12282.0
2008-01-07,18112.0
2008-01-14,20714.0
2008-01-21,19334.0
2008-01-28,18977.0
2008-02-04,16835.0
2008-02-11,20867.0
2008-02-18,20068.0
2008-02-25,22310.0
2008-03-03,10491.0
2008-03-10,15184.0
2008-03-17,17688.0
2008-03-24,15371.0
2008-03-31,16399.0
2008-04-07,19149.0
2008-04-14,18396.0
2008-04-21,18907.0
2008-04-28,19187.0
2008-05-05,18529.0
2008-05-12,19365.0
2008-05-19,20613.0
2008-05-26,19075.0
2008-06-02,13318.0
2008-06-09,17316.0
2008-06-16,15834.0
2008-06-23,15523.0
2008-06-30,14965.0
2008-07-07,11197.0
2008-07-14,9769.0
2008-07-21,
2008-07-28,
2008-08-04,6575.0
2008-08-11,12446.0
2008-08-18,14867.0
2008-08-25,15174.0
2008-09-01,16007.0
2008-09-08,14403.0
2008-09-15,15901.0
2008-09-22,18025.0
2008-09-29,17576.0
2008-10-06,18354.0
2008-10-13,18907.0
2008-10-20,19548.0
2008-10-27,14521.0
2008-11-03,78694.0
2008-11-10,34051.0
2008-11-17,30112.0
2008-11-24,24386.0
2008-12-01,21698.0
2008-12-08,22656.0
2008-12-15,20962.0
2008-12-22,19832.0
2008-12-29,16313.0
2009-01-05,16410.0
2009-01-12,20375.0
2009-01-19,25365.0
2009-01-26,19571.0
2009-02-02,22488.0
2009-02-09,23067.0
2009-02-16,25172.0
2009-02-23,23630.0
2009-03-02,23312.0
2009-03-09,23072.0
2009-03-16,22406.0
2009-03-23,21916.0
2009-03-30,22452.0
2009-04-06,22706.0
2009-04-13,20500.0
2009-04-20,20359.0
2009-04-27,19954.0
2009-05-04,20061.0
2009-05-11,20277.0
2009-05-18,22501.0
2009-05-25,22997.0
2009-06-01,24033.0
2009-06-08,19713.0
2009-06-15,17660.0
2009-06-22,16746.0
2009-06-29,14992.0
2009-07-06,15122.0
2009-07-13,16406.0
2009-07-20,16073.0
2009-07-27,15198.0
2009-08-03,16339.0
2009-08-10,14130.0
2009-08-17,14698.0
2009-08-24,45420.0
2009-08-31,23197.0
2009-09-07,19675.0
