,pageviews
2007-12-20,35
2007-12-21,41
2007-12-22,17
2007-12-23,27
2007-12-24,23
2007-12-25,18
2007-12-26,23
2007-12-27,34
2007-12-28,25
2007-12-29,21
2007-12-19,59
2007-12-18,55
2007-12-31,22
2007-12-30,19
2007-12-15,34
2007-12-14,67
2007-12-17,48
2007-12-16,60
2007-12-11,81
2007-12-10,70
2007-12-13,77
2007-12-12,66
2008-01-30,79
2008-01-16,55
2008-01-17,74
2008-01-14,66
2008-01-15,85
2008-01-12,34
2008-01-13,55
2008-01-10,73
2008-01-11,59
2008-01-18,65
2008-01-19,27
2008-01-29,82
2008-01-28,64
2008-01-27,59
2008-01-26,36
2008-01-25,76
2008-01-24,85
2008-01-23,72
2008-01-22,76
2008-01-21,43
2008-01-20,35
2008-01-05,31
2008-01-04,24
2008-01-07,35
2008-01-06,55
2008-01-01,12
2008-01-03,42
2008-01-02,44
2008-01-09,86
2008-01-08,85
2008-02-28,0
2008-02-26,107
2008-02-29,68
2008-02-01,69
2008-02-02,35
2008-02-03,41
2008-02-04,63
2008-02-05,85
2008-02-06,78
2008-02-07,85
2008-02-08,76
2008-02-09,35
2008-02-24,61
2008-02-25,78
2008-02-22,66
2008-02-23,38
2008-02-20,78
2008-02-21,88
2008-02-27,107
2008-02-17,63
2008-02-16,29
2008-02-15,66
2008-02-14,77
2008-02-13,79
2008-02-12,85
2008-02-11,68
2008-02-10,45
2008-02-19,69
2008-02-18,72
2008-03-14,63
2008-03-15,51
2008-03-16,58
2008-03-17,68
2008-03-10,72
2008-03-11,84
2008-03-12,96
2008-03-13,97
2008-03-18,64
2008-03-19,69
2008-03-30,54
2008-03-09,44
2008-03-31,102
2008-03-03,0
2008-03-02,67
2008-03-01,0
2008-03-07,63
2008-03-06,79
2008-03-05,82
2008-03-04,0
2008-03-21,45
2008-03-20,90
2008-03-23,35
2008-03-22,39
2008-03-25,84
2008-03-24,73
2008-03-27,73
2008-03-26,97
2008-03-29,51
2008-03-28,74
2008-03-08,34
2008-04-30,128
2008-04-15,92
2008-04-14,90
2008-04-17,97
2008-04-16,116
2008-04-11,71
2008-04-10,80
2008-04-13,54
2008-04-12,54
2008-04-19,57
2008-04-18,87
2008-04-28,95
2008-04-29,120
2008-04-20,58
2008-04-21,98
2008-04-22,115
2008-04-23,100
2008-04-24,98
2008-04-25,81
2008-04-26,59
2008-04-27,86
2008-04-06,65
2008-04-07,79
2008-04-04,66
2008-04-05,46
2008-04-02,115
2008-04-03,113
2008-04-01,146
2008-04-08,99
2008-04-09,105
2008-05-12,104
2008-05-13,116
2008-05-10,47
2008-05-11,59
2008-05-16,91
2008-05-31,41
2008-05-14,116
2008-05-15,93
2008-05-18,73
2008-05-19,92
2008-05-29,91
2008-05-28,112
2008-05-23,74
2008-05-22,109
2008-05-21,110
2008-05-20,133
2008-05-27,98
2008-05-26,77
2008-05-25,65
2008-05-24,47
2008-05-01,100
2008-05-03,60
2008-05-02,103
2008-05-05,110
2008-05-04,66
2008-05-07,102
2008-05-06,133
2008-05-09,91
2008-05-08,116
2008-05-17,66
2008-05-30,59
2008-06-21,58
2008-06-27,69
2008-06-24,54
2008-06-25,68
2008-06-13,69
2008-06-12,91
2008-06-11,92
2008-06-10,78
2008-06-17,86
2008-06-16,60
2008-06-15,56
2008-06-14,54
2008-06-30,49
2008-06-19,66
2008-06-18,80
2008-06-28,61
2008-06-29,33
2008-06-08,34
2008-06-09,50
2008-06-04,53
2008-06-05,82
2008-06-06,82
2008-06-07,56
2008-06-26,67
2008-06-01,0
2008-06-02,0
2008-06-03,58
2008-06-22,53
2008-06-23,43
2008-06-20,80
2008-07-10,57
2008-07-11,40
2008-07-12,34
2008-07-07,64
2008-07-06,42
2008-07-05,40
2008-07-04,39
2008-07-03,84
2008-07-02,60
2008-07-09,50
2008-07-08,64
2008-08-04,52
2008-08-31,47
2008-08-30,63
2008-08-11,61
2008-08-10,62
2008-08-13,73
2008-08-12,54
2008-08-15,39
2008-08-14,53
2008-08-17,42
2008-08-16,24
2008-08-19,67
2008-08-18,59
2008-08-05,56
2008-08-02,50
2008-08-03,30
2008-08-26,97
2008-08-01,43
2008-08-06,97
2008-08-21,81
2008-08-22,62
2008-08-23,36
2008-08-08,45
2008-08-09,41
2008-08-28,73
2008-08-29,92
2008-08-24,68
2008-08-25,72
2008-08-27,114
2008-08-20,63
2008-08-07,56
2008-09-02,91
2008-09-27,85
2008-09-26,88
2008-09-25,337
2008-09-24,137
2008-09-09,113
2008-09-22,122
2008-09-21,120
2008-09-20,48
2008-09-05,93
2008-09-23,164
2008-09-07,72
2008-09-06,60
2008-09-01,63
2008-09-03,115
2008-09-28,88
2008-09-08,107
2008-09-04,108
2008-09-30,101
2008-09-29,107
2008-09-18,145
2008-09-19,124
2008-09-16,130
2008-09-17,153
2008-09-14,77
2008-09-15,110
2008-09-12,125
2008-09-13,64
2008-09-10,120
2008-09-11,110
2008-10-09,152
2008-10-08,167
2008-10-03,103
2008-10-02,120
2008-10-01,123
2008-10-07,159
2008-10-06,126
2008-10-05,94
2008-10-04,89
2008-10-21,0
2008-10-20,115
2008-10-23,117
2008-10-22,0
2008-10-25,73
2008-10-24,69
2008-10-27,117
2008-10-26,94
2008-10-29,125
2008-10-28,140
2008-10-30,95
2008-10-31,77
2008-10-14,163
2008-10-15,149
2008-10-16,124
2008-10-17,88
2008-10-10,115
2008-10-11,85
2008-10-12,79
2008-10-13,114
2008-10-18,77
2008-10-19,92
2008-11-28,70
2008-11-07,121
2008-11-17,122
2008-11-16,88
2008-11-15,47
2008-11-14,122
2008-11-13,139
2008-11-12,117
2008-11-11,119
2008-11-10,140
2008-11-30,72
2008-11-19,129
2008-11-18,133
2008-11-26,110
2008-11-01,45
2008-11-02,81
2008-11-03,111
2008-11-04,144
2008-11-05,129
2008-11-06,101
2008-11-29,63
2008-11-08,55
2008-11-27,61
2008-11-24,97
2008-11-25,122
2008-11-22,52
2008-11-23,82
2008-11-20,139
2008-11-21,95
2008-11-09,93
2008-12-29,44
2008-12-28,31
2008-12-27,19
2008-12-26,19
2008-12-25,29
2008-12-24,27
2008-12-23,47
2008-12-22,35
2008-12-21,29
2008-12-20,23
2008-12-05,114
2008-12-04,148
2008-12-07,72
2008-12-06,72
2008-12-01,135
2008-12-03,161
2008-12-02,143
2008-12-09,129
2008-12-08,93
2008-12-30,54
2008-12-31,41
2008-12-16,91
2008-12-17,102
2008-12-14,68
2008-12-15,96
2008-12-12,106
2008-12-13,40
2008-12-10,131
2008-12-11,106
2008-12-18,79
2008-12-19,76
2009-01-29,120
2009-01-19,85
