,pageviews
2007-12-10,2005.0
2007-12-17,11600.0
2007-12-24,7996.0
2007-12-31,6119.0
2008-01-07,9876.0
2008-01-14,13545.0
2008-01-21,13535.0
2008-01-28,13477.0
2008-02-04,11428.0
2008-02-11,13580.0
2008-02-18,12910.0
2008-02-25,14141.0
2008-03-03,8928.0
2008-03-10,12340.0
2008-03-17,13978.0
2008-03-24,11071.0
2008-03-31,12474.0
2008-04-07,12541.0
2008-04-14,12479.0
2008-04-21,12729.0
2008-04-28,13424.0
2008-05-05,13263.0
2008-05-12,13436.0
2008-05-19,14444.0
2008-05-26,13189.0
2008-06-02,9852.0
2008-06-09,15970.0
2008-06-16,46231.0
2008-06-23,27280.0
2008-06-30,14298.0
2008-07-07,9330.0
2008-07-14,7331.0
2008-07-21,
2008-07-28,
2008-08-04,5675.0
2008-08-11,10981.0
2008-08-18,11393.0
2008-08-25,13375.0
2008-09-01,14563.0
2008-09-08,16707.0
2008-09-15,15333.0
2008-09-22,15467.0
2008-09-29,15049.0
2008-10-06,15764.0
2008-10-13,15431.0
2008-10-20,15481.0
2008-10-27,9845.0
2008-11-03,14011.0
2008-11-10,14532.0
2008-11-17,15511.0
2008-11-24,14032.0
2008-12-01,12081.0
2008-12-08,13406.0
2008-12-15,12119.0
2008-12-22,9948.0
2008-12-29,6884.0
2009-01-05,9087.0
2009-01-12,13522.0
2009-01-19,13791.0
2009-01-26,14490.0
2009-02-02,14294.0
2009-02-09,14600.0
2009-02-16,13910.0
2009-02-23,14223.0
2009-03-02,15616.0
2009-03-09,16108.0
2009-03-16,14923.0
2009-03-23,13248.0
2009-03-30,12485.0
2009-04-06,12042.0
2009-04-13,10618.0
2009-04-20,11455.0
2009-04-27,11800.0
2009-05-04,11728.0
2009-05-11,12719.0
2009-05-18,13842.0
2009-05-25,12735.0
2009-06-01,18122.0
2009-06-08,41508.0
2009-06-15,28881.0
2009-06-22,22512.0
2009-06-29,12169.0
2009-07-06,10713.0
2009-07-13,10035.0
2009-07-20,10061.0
2009-07-27,10118.0
2009-08-03,10062.0
2009-08-10,10684.0
2009-08-17,12329.0
2009-08-24,11922.0
2009-08-31,13485.0
2009-09-07,13496.0
2009-09-14,15253.0
2009-09-21,14278.0
2009-09-28,6518.0
2009-10-05,14111.0
2009-10-12,15105.0
2009-10-19,8051.0
2009-10-26,14811.0
2009-11-02,16462.0
2009-11-09,15804.0
2009-11-16,13652.0
2009-11-23,11770.0
2009-11-30,10949.0
2009-12-07,12437.0
2009-12-14,12079.0
2009-12-21,10271.0
2009-12-28,7105.0
2010-01-04,8909.0
