,pageviews
2007-12-31,5304
2008-01-31,9308
2008-02-29,9616
2008-03-31,9658
2008-04-30,10469
2008-05-31,9440
2008-06-30,9173
2008-07-31,3044
2008-08-31,7934
2008-09-30,9475
2008-10-31,10526
2008-11-30,10650
2008-12-31,9417
2009-01-31,12596
2009-02-28,12041
2009-03-31,12158
2009-04-30,11032
2009-05-31,11826
2009-06-30,10719
2009-07-31,10219
2009-08-31,10701
2009-09-30,11693
2009-10-31,11868
2009-11-30,13140
2009-12-31,11368
2010-01-31,12670
2010-02-28,13588
2010-03-31,15226
2010-04-30,14672
2010-05-31,13958
2010-06-30,9873
2010-07-31,10042
2010-08-31,15969
2010-09-30,17232
2010-10-31,18302
2010-11-30,16689
2010-12-31,15398
2011-01-31,18622
2011-02-28,16851
2011-03-31,18166
2011-04-30,16924
2011-05-31,17240
2011-06-30,14915
2011-07-31,17100
2011-08-31,16356
2011-09-30,15950
2011-10-31,18820
2011-11-30,20143
2011-12-31,17027
2012-01-31,21106
2012-02-29,19796
2012-03-31,18920
2012-04-30,16005
2012-05-31,24974
2012-06-30,47934
2012-07-31,45936
2012-08-31,57440
2012-09-30,51725
2012-10-31,59315
2012-11-30,54413
2012-12-31,53025
2013-01-31,61850
2013-02-28,60376
2013-03-31,53572
2013-04-30,51981
2013-05-31,48501
2013-06-30,42753
2013-07-31,36213
2013-08-31,43269
2013-09-30,35203
2013-10-31,40068
2013-11-30,45475
2013-12-31,29000
2014-01-31,26771
2014-02-28,29827
2014-03-31,31147
2014-04-30,27464
2014-05-31,26354
2014-06-30,22331
2014-07-31,21752
2014-08-31,27238
2014-09-30,26551
2014-10-31,26417
2014-11-30,23447
2014-12-31,21602
2015-01-31,21619
2015-02-28,21275
2015-03-31,18094
