,pageviews
2007-12-10,337.0
2007-12-17,2059.0
2007-12-24,1516.0
2007-12-31,1392.0
2008-01-07,1849.0
2008-01-14,2259.0
2008-01-21,2208.0
2008-01-28,2281.0
2008-02-04,2063.0
2008-02-11,2436.0
2008-02-18,2219.0
2008-02-25,2532.0
2008-03-03,1464.0
2008-03-10,2142.0
2008-03-17,2524.0
2008-03-24,2162.0
2008-03-31,2443.0
2008-04-07,2443.0
2008-04-14,2450.0
2008-04-21,2451.0
2008-04-28,2366.0
2008-05-05,2389.0
2008-05-12,2186.0
2008-05-19,2152.0
2008-05-26,1949.0
2008-06-02,1523.0
2008-06-09,2230.0
2008-06-16,2185.0
2008-06-23,1875.0
2008-06-30,2883.0
2008-07-07,1626.0
2008-07-14,1418.0
2008-07-21,
2008-07-28,
2008-08-04,921.0
2008-08-11,1855.0
2008-08-18,1893.0
2008-08-25,1649.0
2008-09-01,1885.0
2008-09-08,2091.0
2008-09-15,2297.0
2008-09-22,2228.0
2008-09-29,2262.0
2008-10-06,2358.0
2008-10-13,2485.0
2008-10-20,2572.0
2008-10-27,1764.0
2008-11-03,2661.0
2008-11-10,2495.0
2008-11-17,2686.0
2008-11-24,2557.0
2008-12-01,2342.0
2008-12-08,2646.0
2008-12-15,2332.0
2008-12-22,1875.0
2008-12-29,1584.0
2009-01-05,1984.0
2009-01-12,2292.0
2009-01-19,2692.0
2009-01-26,3626.0
2009-02-02,3416.0
2009-02-09,3170.0
2009-02-16,2894.0
2009-02-23,3082.0
2009-03-02,2933.0
2009-03-09,2805.0
2009-03-16,2716.0
2009-03-23,2849.0
2009-03-30,2492.0
2009-04-06,2668.0
2009-04-13,2549.0
2009-04-20,2437.0
2009-04-27,2668.0
2009-05-04,2469.0
2009-05-11,2530.0
2009-05-18,2866.0
2009-05-25,2858.0
2009-06-01,2643.0
2009-06-08,2559.0
2009-06-15,2437.0
2009-06-22,2450.0
2009-06-29,2498.0
2009-07-06,2108.0
2009-07-13,2238.0
2009-07-20,2390.0
2009-07-27,2473.0
2009-08-03,2228.0
2009-08-10,2271.0
2009-08-17,2863.0
2009-08-24,2236.0
2009-08-31,2466.0
2009-09-07,2633.0
2009-09-14,3805.0
2009-09-21,3027.0
2009-09-28,1365.0
2009-10-05,2879.0
2009-10-12,2930.0
2009-10-19,1546.0
2009-10-26,3231.0
2009-11-02,3284.0
2009-11-09,4188.0
2009-11-16,2774.0
2009-11-23,2345.0
2009-11-30,2694.0
2009-12-07,2812.0
2009-12-14,2738.0
2009-12-21,2564.0
2009-12-28,2125.0
2010-01-04,2421.0
2010-01-11,2822.0
2010-01-18,2891.0
2010-01-25,2604.0
2010-02-01,3541.0
2010-02-08,3100.0
2010-02-15,3400.0
2010-02-22,3866.0
2010-03-01,3181.0
2010-03-08,3540.0
2010-03-15,3354.0
2010-03-22,3342.0
2010-03-29,3430.0
2010-04-05,3448.0
2010-04-12,3551.0
2010-04-19,3387.0
2010-04-26,3366.0
2010-05-03,3429.0
2010-05-10,3629.0
2010-05-17,3087.0
2010-05-24,2884.0
2010-05-31,2970.0
2010-06-07,2961.0
2010-06-14,1647.0
2010-06-21,2440.0
2010-06-28,1619.0
2010-07-05,2613.0
2010-07-12,972.0
2010-07-19,2408.0
2010-07-26,2986.0
2010-08-02,3118.0
2010-08-09,3552.0
2010-08-16,4212.0
2010-08-23,3381.0
2010-08-30,3483.0
2010-09-06,3684.0
2010-09-13,3689.0
2010-09-20,4050.0
2010-09-27,4246.0
2010-10-04,4183.0
2010-10-11,4220.0
2010-10-18,4469.0
2010-10-25,3976.0
2010-11-01,4152.0
2010-11-08,4030.0
2010-11-15,4046.0
2010-11-22,3780.0
2010-11-29,3615.0
2010-12-06,3698.0
2010-12-13,3934.0
2010-12-20,3763.0
2010-12-27,2789.0
2011-01-03,3196.0
2011-01-10,4038.0
2011-01-17,4273.0
2011-01-24,4598.0
2011-01-31,4306.0
2011-02-07,4535.0
2011-02-14,4085.0
2011-02-21,3891.0
2011-02-28,4340.0
2011-03-07,4395.0
2011-03-14,4286.0
2011-03-21,3901.0
2011-03-28,3811.0
2011-04-04,3969.0
2011-04-11,4108.0
2011-04-18,3932.0
2011-04-25,3885.0
2011-05-02,3877.0
2011-05-09,4091.0
2011-05-16,3880.0
2011-05-23,3980.0
2011-05-30,3667.0
2011-06-06,3519.0
2011-06-13,3421.0
2011-06-20,3588.0
2011-06-27,3380.0
2011-07-04,3379.0
2011-07-11,4102.0
2011-07-18,3897.0
2011-07-25,3869.0
2011-08-01,3930.0
2011-08-08,3922.0
2011-08-15,3965.0
2011-08-22,3496.0
2011-08-29,3439.0
2011-09-05,3051.0
2011-09-12,3834.0
2011-09-19,3867.0
2011-09-26,3907.0
2011-10-03,4066.0
2011-10-10,4342.0
2011-10-17,4485.0
2011-10-24,3699.0
2011-10-31,4531.0
2011-11-07,5212.0
2011-11-14,4582.0
2011-11-21,4437.0
2011-11-28,4524.0
2011-12-05,4667.0
2011-12-12,5288.0
2011-12-19,4136.0
2011-12-26,1784.0
2012-01-02,3614.0
2012-01-09,4268.0
2012-01-16,4777.0
2012-01-23,4708.0
2012-01-30,5527.0
2012-02-06,4638.0
2012-02-13,4885.0
2012-02-20,4722.0
2012-02-27,4837.0
2012-03-05,5288.0
2012-03-12,4651.0
2012-03-19,4095.0
2012-03-26,3628.0
2012-04-02,3999.0
2012-04-09,3535.0
2012-04-16,3759.0
2012-04-23,4128.0
2012-04-30,3308.0
2012-05-07,4282.0
2012-05-14,5153.0
2012-05-21,4894.0
2012-05-28,6081.0
2012-06-04,12195.0
2012-06-11,11682.0
2012-06-18,10909.0
2012-06-25,10162.0
2012-07-02,10467.0
2012-07-09,10057.0
2012-07-16,10179.0
2012-07-23,10625.0
2012-07-30,10672.0
2012-08-06,10143.0
2012-08-13,17151.0
2012-08-20,14015.0
2012-08-27,11084.0
2012-09-03,11070.0
2012-09-10,11775.0
2012-09-17,11776.0
2012-09-24,12950.0
2012-10-01,12684.0
2012-10-08,14213.0
2012-10-15,13495.0
2012-10-22,13225.0
2012-10-29,12927.0
2012-11-05,13128.0
2012-11-12,12896.0
2012-11-19,12708.0
2012-11-26,11613.0
2012-12-03,13018.0
2012-12-10,13422.0
2012-12-17,12898.0
2012-12-24,10369.0
2012-12-31,10844.0
2013-01-07,11597.0
2013-01-14,13039.0
2013-01-21,15658.0
2013-01-28,14856.0
2013-02-04,15002.0
2013-02-11,14853.0
2013-02-18,15143.0
2013-02-25,16022.0
2013-03-04,13755.0
2013-03-11,12556.0
2013-03-18,11623.0
2013-03-25,12197.0
2013-04-01,11097.0
2013-04-08,12957.0
2013-04-15,11497.0
2013-04-22,12349.0
2013-04-29,11904.0
2013-05-06,11028.0
2013-05-13,10905.0
2013-05-20,10724.0
2013-05-27,11368.0
2013-06-03,10295.0
2013-06-10,10879.0
2013-06-17,9793.0
2013-06-24,8969.0
2013-07-01,10441.0
2013-07-08,8488.0
2013-07-15,8670.0
2013-07-22,8638.0
2013-07-29,6116.0
2013-08-05,8106.0
2013-08-12,8699.0
2013-08-19,17255.0
2013-08-26,6785.0
2013-09-02,7079.0
2013-09-09,8338.0
2013-09-16,8101.0
2013-09-23,8732.0
2013-09-30,8204.0
2013-10-07,8820.0
2013-10-14,8621.0
2013-10-21,9218.0
2013-10-28,9336.0
2013-11-04,9052.0
2013-11-11,9397.0
2013-11-18,12931.0
2013-11-25,12068.0
2013-12-02,8523.0
2013-12-09,9274.0
2013-12-16,6959.0
2013-12-23,5120.0
2013-12-30,4530.0
2014-01-06,3660.0
2014-01-13,6504.0
2014-01-20,6291.0
2014-01-27,7076.0
2014-02-03,6324.0
2014-02-10,7148.0
2014-02-17,6951.0
2014-02-24,7426.0
2014-03-03,8800.0
2014-03-10,7082.0
2014-03-17,6458.0
2014-03-24,7236.0
2014-03-31,7483.0
2014-04-07,6859.0
2014-04-14,6522.0
2014-04-21,5810.0
2014-04-28,6317.0
2014-05-05,6515.0
2014-05-12,6225.0
2014-05-19,5840.0
2014-05-26,5590.0
2014-06-02,5762.0
2014-06-09,5528.0
2014-06-16,5415.0
2014-06-23,4850.0
2014-06-30,4916.0
2014-07-07,4902.0
2014-07-14,5124.0
2014-07-21,5062.0
2014-07-28,4608.0
2014-08-04,4598.0
2014-08-11,5640.0
2014-08-18,10466.0
2014-08-25,4997.0
2014-09-01,4328.0
2014-09-08,6379.0
2014-09-15,6502.0
2014-09-22,5821.0
2014-09-29,6216.0
2014-10-06,5933.0
2014-10-13,6402.0
2014-10-20,5979.0
2014-10-27,5511.0
2014-11-03,5591.0
2014-11-10,5972.0
2014-11-17,5683.0
2014-11-24,5560.0
2014-12-01,4955.0
2014-12-08,6470.0
2014-12-15,5464.0
2014-12-22,4490.0
2014-12-29,3322.0
2015-01-05,3824.0
2015-01-12,4612.0
2015-01-19,5062.0
2015-01-26,5421.0
2015-02-02,5074.0
2015-02-09,5406.0
2015-02-16,5014.0
2015-02-23,5338.0
2015-03-02,5589.0
2015-03-09,5237.0
2015-03-16,4889.0
2015-03-23,4982.0
2015-03-30,1572.0
