,pageviews
2007-12-10,22.0
2007-12-17,131.0
2007-12-24,95.0
2007-12-31,54.0
2008-01-07,65.0
2008-01-14,132.0
2008-01-21,117.0
2008-01-28,128.0
2008-02-04,86.0
2008-02-11,122.0
2008-02-18,127.0
2008-02-25,170.0
2008-03-03,112.0
2008-03-10,114.0
2008-03-17,130.0
2008-03-24,154.0
2008-03-31,103.0
2008-04-07,149.0
2008-04-14,152.0
2008-04-21,240.0
2008-04-28,196.0
2008-05-05,167.0
2008-05-12,149.0
2008-05-19,180.0
2008-05-26,128.0
2008-06-02,97.0
2008-06-09,152.0
2008-06-16,159.0
2008-06-23,155.0
2008-06-30,113.0
2008-07-07,84.0
2008-07-14,61.0
2008-07-21,
2008-07-28,
2008-08-04,43.0
2008-08-11,78.0
2008-08-18,100.0
2008-08-25,112.0
2008-09-01,114.0
2008-09-08,89.0
2008-09-15,97.0
2008-09-22,97.0
2008-09-29,106.0
2008-10-06,119.0
2008-10-13,141.0
2008-10-20,117.0
2008-10-27,78.0
2008-11-03,132.0
2008-11-10,153.0
2008-11-17,157.0
2008-11-24,158.0
2008-12-01,123.0
2008-12-08,130.0
2008-12-15,176.0
2008-12-22,129.0
2008-12-29,54.0
2009-01-05,89.0
2009-01-12,115.0
2009-01-19,137.0
2009-01-26,126.0
2009-02-02,132.0
2009-02-09,148.0
2009-02-16,143.0
2009-02-23,157.0
2009-03-02,214.0
2009-03-09,195.0
2009-03-16,172.0
2009-03-23,132.0
2009-03-30,118.0
2009-04-06,167.0
2009-04-13,156.0
2009-04-20,199.0
2009-04-27,190.0
2009-05-04,168.0
2009-05-11,165.0
2009-05-18,148.0
2009-05-25,145.0
2009-06-01,155.0
2009-06-08,110.0
2009-06-15,148.0
2009-06-22,142.0
2009-06-29,155.0
2009-07-06,115.0
2009-07-13,136.0
2009-07-20,112.0
2009-07-27,125.0
2009-08-03,122.0
2009-08-10,124.0
2009-08-17,100.0
2009-08-24,99.0
2009-08-31,100.0
2009-09-07,106.0
2009-09-14,92.0
2009-09-21,165.0
2009-09-28,49.0
2009-10-05,99.0
2009-10-12,146.0
2009-10-19,49.0
2009-10-26,117.0
2009-11-02,118.0
2009-11-09,160.0
2009-11-16,136.0
2009-11-23,163.0
2009-11-30,115.0
2009-12-07,122.0
2009-12-14,123.0
2009-12-21,146.0
2009-12-28,81.0
2010-01-04,68.0
2010-01-11,131.0
2010-01-18,118.0
2010-01-25,128.0
2010-02-01,134.0
2010-02-08,97.0
2010-02-15,99.0
2010-02-22,118.0
2010-03-01,103.0
2010-03-08,127.0
2010-03-15,128.0
2010-03-22,108.0
2010-03-29,114.0
2010-04-05,122.0
2010-04-12,137.0
2010-04-19,159.0
2010-04-26,115.0
2010-05-03,124.0
2010-05-10,157.0
2010-05-17,115.0
2010-05-24,134.0
2010-05-31,130.0
2010-06-07,125.0
2010-06-14,73.0
2010-06-21,78.0
2010-06-28,54.0
2010-07-05,76.0
2010-07-12,36.0
2010-07-19,79.0
2010-07-26,108.0
2010-08-02,95.0
2010-08-09,93.0
2010-08-16,111.0
2010-08-23,101.0
2010-08-30,104.0
2010-09-06,104.0
2010-09-13,100.0
2010-09-20,115.0
