,pageviews
2007-12-10,8.0
2007-12-17,38.0
2007-12-24,21.0
2007-12-31,32.0
2008-01-07,36.0
2008-01-14,51.0
2008-01-21,52.0
2008-01-28,53.0
2008-02-04,35.0
2008-02-11,34.0
2008-02-18,34.0
2008-02-25,45.0
2008-03-03,16.0
2008-03-10,33.0
2008-03-17,34.0
2008-03-24,30.0
2008-03-31,33.0
2008-04-07,39.0
2008-04-14,38.0
2008-04-21,26.0
2008-04-28,23.0
2008-05-05,33.0
2008-05-12,40.0
2008-05-19,44.0
2008-05-26,35.0
2008-06-02,13.0
2008-06-09,38.0
2008-06-16,23.0
2008-06-23,32.0
2008-06-30,45.0
2008-07-07,26.0
2008-07-14,61.0
2008-07-21,
2008-07-28,
2008-08-04,14.0
2008-08-11,21.0
2008-08-18,23.0
2008-08-25,17.0
2008-09-01,39.0
2008-09-08,27.0
2008-09-15,42.0
2008-09-22,41.0
2008-09-29,32.0
2008-10-06,54.0
2008-10-13,47.0
2008-10-20,37.0
2008-10-27,37.0
2008-11-03,51.0
2008-11-10,40.0
2008-11-17,45.0
2008-11-24,20.0
2008-12-01,35.0
2008-12-08,42.0
2008-12-15,36.0
2008-12-22,38.0
2008-12-29,30.0
2009-01-05,42.0
2009-01-12,41.0
2009-01-19,34.0
2009-01-26,47.0
2009-02-02,43.0
2009-02-09,35.0
2009-02-16,32.0
2009-02-23,39.0
2009-03-02,40.0
2009-03-09,28.0
2009-03-16,54.0
2009-03-23,42.0
2009-03-30,47.0
2009-04-06,50.0
2009-04-13,37.0
2009-04-20,29.0
2009-04-27,29.0
2009-05-04,37.0
2009-05-11,33.0
2009-05-18,39.0
2009-05-25,29.0
2009-06-01,39.0
2009-06-08,27.0
2009-06-15,34.0
2009-06-22,36.0
2009-06-29,36.0
2009-07-06,32.0
2009-07-13,32.0
2009-07-20,45.0
2009-07-27,36.0
2009-08-03,28.0
2009-08-10,34.0
2009-08-17,30.0
2009-08-24,45.0
2009-08-31,32.0
2009-09-07,34.0
2009-09-14,34.0
2009-09-21,35.0
2009-09-28,14.0
2009-10-05,33.0
2009-10-12,40.0
2009-10-19,26.0
2009-10-26,41.0
2009-11-02,38.0
2009-11-09,46.0
2009-11-16,34.0
2009-11-23,32.0
2009-11-30,34.0
2009-12-07,27.0
2009-12-14,28.0
2009-12-21,21.0
2009-12-28,26.0
2010-01-04,23.0
2010-01-11,30.0
2010-01-18,43.0
2010-01-25,17.0
2010-02-01,36.0
2010-02-08,37.0
2010-02-15,41.0
2010-02-22,38.0
2010-03-01,41.0
2010-03-08,39.0
2010-03-15,55.0
2010-03-22,67.0
2010-03-29,51.0
2010-04-05,50.0
2010-04-12,72.0
2010-04-19,51.0
2010-04-26,55.0
2010-05-03,58.0
2010-05-10,61.0
2010-05-17,56.0
2010-05-24,50.0
2010-05-31,45.0
2010-06-07,48.0
2010-06-14,20.0
2010-06-21,32.0
2010-06-28,19.0
2010-07-05,26.0
2010-07-12,16.0
2010-07-19,34.0
2010-07-26,54.0
2010-08-02,57.0
2010-08-09,46.0
2010-08-16,47.0
2010-08-23,46.0
2010-08-30,66.0
2010-09-06,44.0
2010-09-13,53.0
2010-09-20,43.0
2010-09-27,45.0
2010-10-04,50.0
2010-10-11,55.0
2010-10-18,51.0
2010-10-25,68.0
2010-11-01,54.0
2010-11-08,45.0
2010-11-15,45.0
2010-11-22,56.0
2010-11-29,54.0
2010-12-06,82.0
2010-12-13,59.0
2010-12-20,52.0
2010-12-27,44.0
2011-01-03,34.0
2011-01-10,35.0
2011-01-17,37.0
2011-01-24,56.0
2011-01-31,70.0
2011-02-07,57.0
2011-02-14,42.0
2011-02-21,51.0
2011-02-28,43.0
2011-03-07,56.0
2011-03-14,51.0
2011-03-21,61.0
2011-03-28,32.0
2011-04-04,36.0
2011-04-11,40.0
2011-04-18,29.0
2011-04-25,42.0
2011-05-02,31.0
2011-05-09,37.0
2011-05-16,39.0
2011-05-23,39.0
2011-05-30,23.0
2011-06-06,35.0
2011-06-13,36.0
2011-06-20,48.0
2011-06-27,33.0
2011-07-04,39.0
2011-07-11,26.0
2011-07-18,30.0
2011-07-25,39.0
