,pageviews
2007-12-10,2.0
2007-12-17,18.0
2007-12-24,16.0
2007-12-31,15.0
2008-01-07,18.0
2008-01-14,27.0
2008-01-21,24.0
2008-01-28,14.0
2008-02-04,24.0
2008-02-11,14.0
2008-02-18,23.0
2008-02-25,24.0
2008-03-03,5.0
2008-03-10,28.0
2008-03-17,20.0
2008-03-24,22.0
2008-03-31,37.0
2008-04-07,23.0
2008-04-14,26.0
2008-04-21,26.0
2008-04-28,26.0
2008-05-05,21.0
2008-05-12,17.0
2008-05-19,20.0
2008-05-26,17.0
2008-06-02,12.0
2008-06-09,16.0
2008-06-16,18.0
2008-06-23,15.0
2008-06-30,21.0
2008-07-07,26.0
2008-07-14,13.0
2008-07-21,
2008-07-28,
2008-08-04,9.0
2008-08-11,9.0
2008-08-18,18.0
2008-08-25,14.0
2008-09-01,17.0
2008-09-08,13.0
2008-09-15,15.0
2008-09-22,27.0
2008-09-29,12.0
2008-10-06,17.0
2008-10-13,16.0
2008-10-20,16.0
2008-10-27,13.0
2008-11-03,14.0
2008-11-10,14.0
2008-11-17,9.0
2008-11-24,26.0
2008-12-01,12.0
2008-12-08,20.0
2008-12-15,19.0
2008-12-22,23.0
2008-12-29,12.0
2009-01-05,16.0
2009-01-12,26.0
2009-01-19,12.0
2009-01-26,26.0
2009-02-02,19.0
2009-02-09,18.0
2009-02-16,24.0
2009-02-23,22.0
2009-03-02,22.0
2009-03-09,29.0
2009-03-16,28.0
2009-03-23,41.0
2009-03-30,16.0
2009-04-06,33.0
2009-04-13,26.0
2009-04-20,15.0
2009-04-27,21.0
2009-05-04,11.0
2009-05-11,16.0
2009-05-18,7.0
2009-05-25,22.0
2009-06-01,14.0
2009-06-08,11.0
2009-06-15,7.0
2009-06-22,17.0
2009-06-29,15.0
2009-07-06,9.0
2009-07-13,9.0
2009-07-20,16.0
2009-07-27,18.0
2009-08-03,15.0
2009-08-10,11.0
2009-08-17,18.0
2009-08-24,19.0
2009-08-31,13.0
2009-09-07,21.0
2009-09-14,14.0
2009-09-21,23.0
2009-09-28,9.0
2009-10-05,16.0
2009-10-12,21.0
2009-10-19,17.0
2009-10-26,15.0
2009-11-02,29.0
2009-11-09,18.0
2009-11-16,13.0
2009-11-23,13.0
2009-11-30,16.0
2009-12-07,18.0
2009-12-14,20.0
2009-12-21,24.0
2009-12-28,18.0
2010-01-04,18.0
2010-01-11,14.0
2010-01-18,20.0
2010-01-25,14.0
2010-02-01,25.0
2010-02-08,20.0
2010-02-15,12.0
2010-02-22,15.0
2010-03-01,29.0
2010-03-08,20.0
2010-03-15,51.0
2010-03-22,64.0
2010-03-29,50.0
2010-04-05,44.0
2010-04-12,59.0
2010-04-19,53.0
2010-04-26,44.0
2010-05-03,35.0
2010-05-10,38.0
2010-05-17,35.0
2010-05-24,50.0
2010-05-31,40.0
2010-06-07,46.0
2010-06-14,23.0
2010-06-21,41.0
2010-06-28,22.0
2010-07-05,35.0
2010-07-12,15.0
2010-07-19,44.0
2010-07-26,33.0
2010-08-02,46.0
2010-08-09,47.0
2010-08-16,42.0
2010-08-23,37.0
2010-08-30,57.0
2010-09-06,32.0
2010-09-13,32.0
2010-09-20,74.0
2010-09-27,47.0
2010-10-04,50.0
2010-10-11,37.0
2010-10-18,59.0
2010-10-25,51.0
2010-11-01,29.0
2010-11-08,44.0
2010-11-15,49.0
2010-11-22,32.0
2010-11-29,28.0
2010-12-06,34.0
2010-12-13,35.0
2010-12-20,34.0
2010-12-27,39.0
2011-01-03,29.0
2011-01-10,24.0
2011-01-17,35.0
2011-01-24,39.0
2011-01-31,50.0
2011-02-07,52.0
2011-02-14,20.0
2011-02-21,27.0
2011-02-28,28.0
2011-03-07,45.0
2011-03-14,37.0
2011-03-21,20.0
2011-03-28,31.0
2011-04-04,31.0
2011-04-11,26.0
2011-04-18,163.0
2011-04-25,257.0
2011-05-02,57.0
2011-05-09,27.0
2011-05-16,40.0
2011-05-23,35.0
2011-05-30,42.0
2011-06-06,24.0
2011-06-13,24.0
2011-06-20,29.0
2011-06-27,12.0
2011-07-04,25.0
2011-07-11,26.0
2011-07-18,18.0
2011-07-25,33.0
2011-08-01,36.0
2011-08-08,45.0
2011-08-15,33.0
2011-08-22,29.0
2011-08-29,18.0
2011-09-05,23.0
2011-09-12,14.0
2011-09-19,25.0
2011-09-26,16.0
2011-10-03,46.0
2011-10-10,18.0
2011-10-17,33.0
2011-10-24,21.0
2011-10-31,36.0
2011-11-07,24.0
2011-11-14,27.0
2011-11-21,62.0
2011-11-28,31.0
2011-12-05,23.0
2011-12-12,43.0
2011-12-19,58.0
2011-12-26,4.0
2012-01-02,21.0
2012-01-09,30.0
2012-01-16,26.0
2012-01-23,10.0
2012-01-30,23.0
2012-02-06,26.0
2012-02-13,16.0
2012-02-20,22.0
2012-02-27,29.0
2012-03-05,80.0
2012-03-12,35.0
2012-03-19,27.0
2012-03-26,32.0
2012-04-02,21.0
2012-04-09,38.0
2012-04-16,27.0
2012-04-23,26.0
2012-04-30,26.0
2012-05-07,43.0
2012-05-14,22.0
2012-05-21,32.0
2012-05-28,38.0
2012-06-04,18.0
2012-06-11,24.0
2012-06-18,23.0
2012-06-25,28.0
2012-07-02,36.0
2012-07-09,27.0
2012-07-16,27.0
2012-07-23,25.0
2012-07-30,16.0
2012-08-06,21.0
2012-08-13,21.0
2012-08-20,23.0
2012-08-27,19.0
2012-09-03,34.0
2012-09-10,35.0
2012-09-17,22.0
2012-09-24,32.0
2012-10-01,23.0
2012-10-08,43.0
2012-10-15,26.0
2012-10-22,29.0
2012-10-29,65.0
2012-11-05,28.0
2012-11-12,28.0
2012-11-19,34.0
2012-11-26,30.0
2012-12-03,53.0
2012-12-10,77.0
2012-12-17,24.0
2012-12-24,29.0
2012-12-31,24.0
2013-01-07,26.0
2013-01-14,19.0
2013-01-21,26.0
2013-01-28,20.0
2013-02-04,26.0
2013-02-11,30.0
2013-02-18,33.0
2013-02-25,35.0
2013-03-04,26.0
2013-03-11,23.0
2013-03-18,15.0
2013-03-25,24.0
2013-04-01,24.0
2013-04-08,27.0
2013-04-15,24.0
2013-04-22,32.0
2013-04-29,17.0
2013-05-06,25.0
2013-05-13,53.0
2013-05-20,37.0
2013-05-27,36.0
2013-06-03,31.0
2013-06-10,21.0
2013-06-17,32.0
2013-06-24,30.0
2013-07-01,30.0
2013-07-08,34.0
2013-07-15,28.0
2013-07-22,21.0
2013-07-29,11.0
2013-08-05,22.0
2013-08-12,24.0
2013-08-19,26.0
2013-08-26,26.0
2013-09-02,21.0
2013-09-09,33.0
2013-09-16,32.0
2013-09-23,57.0
2013-09-30,60.0
2013-10-07,20.0
2013-10-14,26.0
2013-10-21,20.0
2013-10-28,16.0
2013-11-04,23.0
2013-11-11,24.0
2013-11-18,12.0
2013-11-25,24.0
2013-12-02,20.0
2013-12-09,36.0
2013-12-16,29.0
2013-12-23,25.0
2013-12-30,37.0
2014-01-06,20.0
2014-01-13,39.0
2014-01-20,29.0
2014-01-27,205.0
2014-02-03,218.0
2014-02-10,311.0
2014-02-17,147.0
2014-02-24,118.0
2014-03-03,69.0
2014-03-10,52.0
2014-03-17,525.0
2014-03-24,88.0
2014-03-31,47.0
2014-04-07,61.0
2014-04-14,44.0
2014-04-21,36.0
2014-04-28,26.0
2014-05-05,42.0
2014-05-12,68.0
2014-05-19,251.0
2014-05-26,116.0
2014-06-02,80.0
2014-06-09,58.0
2014-06-16,57.0
2014-06-23,1505.0
2014-06-30,145.0
2014-07-07,83.0
2014-07-14,57.0
2014-07-21,52.0
2014-07-28,44.0
2014-08-04,41.0
2014-08-11,50.0
2014-08-18,32.0
2014-08-25,42.0
2014-09-01,37.0
2014-09-08,55.0
2014-09-15,39.0
2014-09-22,47.0
2014-09-29,52.0
2014-10-06,42.0
2014-10-13,49.0
2014-10-20,81.0
2014-10-27,44.0
2014-11-03,44.0
2014-11-10,55.0
2014-11-17,50.0
2014-11-24,73.0
2014-12-01,82.0
2014-12-08,96.0
2014-12-15,54.0
2014-12-22,64.0
2014-12-29,43.0
2015-01-05,47.0
2015-01-12,54.0
2015-01-19,89.0
2015-01-26,83.0
2015-02-02,78.0
2015-02-09,71.0
2015-02-16,66.0
2015-02-23,62.0
2015-03-02,64.0
2015-03-09,67.0
2015-03-16,68.0
2015-03-23,62.0
2015-03-30,20.0
