,pageviews
2007-12-10,131.0
2007-12-17,719.0
2007-12-24,478.0
2007-12-31,359.0
2008-01-07,570.0
2008-01-14,752.0
2008-01-21,680.0
2008-01-28,802.0
2008-02-04,692.0
2008-02-11,952.0
2008-02-18,889.0
2008-02-25,814.0
2008-03-03,536.0
2008-03-10,760.0
2008-03-17,930.0
2008-03-24,782.0
2008-03-31,903.0
2008-04-07,982.0
2008-04-14,834.0
2008-04-21,1072.0
2008-04-28,970.0
2008-05-05,1468.0
2008-05-12,1087.0
2008-05-19,1059.0
2008-05-26,999.0
2008-06-02,739.0
2008-06-09,1030.0
2008-06-16,655.0
2008-06-23,967.0
2008-06-30,826.0
2008-07-07,685.0
2008-07-14,633.0
2008-07-21,
2008-07-28,
2008-08-04,344.0
2008-08-11,714.0
2008-08-18,663.0
2008-08-25,706.0
2008-09-01,806.0
2008-09-08,886.0
2008-09-15,1012.0
2008-09-22,991.0
2008-09-29,1060.0
2008-10-06,954.0
2008-10-13,1274.0
2008-10-20,1686.0
2008-10-27,788.0
2008-11-03,1019.0
2008-11-10,1082.0
2008-11-17,1032.0
2008-11-24,1016.0
2008-12-01,864.0
2008-12-08,1048.0
2008-12-15,1039.0
2008-12-22,807.0
2008-12-29,536.0
2009-01-05,685.0
2009-01-12,982.0
2009-01-19,1174.0
2009-01-26,1060.0
2009-02-02,1262.0
2009-02-09,1103.0
2009-02-16,1168.0
2009-02-23,1111.0
2009-03-02,1185.0
2009-03-09,1195.0
2009-03-16,1131.0
2009-03-23,1038.0
2009-03-30,1286.0
2009-04-06,1042.0
2009-04-13,912.0
2009-04-20,1038.0
2009-04-27,987.0
2009-05-04,943.0
2009-05-11,1007.0
2009-05-18,1041.0
2009-05-25,1034.0
2009-06-01,988.0
2009-06-08,1030.0
2009-06-15,975.0
2009-06-22,800.0
2009-06-29,843.0
2009-07-06,802.0
2009-07-13,817.0
2009-07-20,841.0
2009-07-27,881.0
2009-08-03,902.0
2009-08-10,901.0
2009-08-17,1006.0
2009-08-24,940.0
2009-08-31,1023.0
2009-09-07,998.0
2009-09-14,1127.0
2009-09-21,1296.0
2009-09-28,575.0
2009-10-05,1190.0
2009-10-12,1429.0
2009-10-19,714.0
2009-10-26,1381.0
2009-11-02,1290.0
2009-11-09,1484.0
2009-11-16,1167.0
2009-11-23,1062.0
2009-11-30,1127.0
2009-12-07,1151.0
2009-12-14,1266.0
2009-12-21,1037.0
2009-12-28,728.0
2010-01-04,822.0
2010-01-11,1020.0
2010-01-18,1186.0
2010-01-25,1017.0
2010-02-01,1240.0
2010-02-08,1193.0
2010-02-15,1300.0
2010-02-22,1228.0
2010-03-01,1195.0
2010-03-08,1246.0
2010-03-15,1454.0
2010-03-22,1429.0
2010-03-29,1246.0
2010-04-05,1282.0
2010-04-12,1307.0
2010-04-19,1640.0
2010-04-26,1690.0
2010-05-03,1731.0
2010-05-10,1580.0
2010-05-17,1285.0
