,pageviews
2007-12-10,55.0
2007-12-17,395.0
2007-12-24,364.0
2007-12-31,256.0
2008-01-07,330.0
2008-01-14,479.0
2008-01-21,530.0
2008-01-28,459.0
2008-02-04,400.0
2008-02-11,500.0
2008-02-18,559.0
2008-02-25,566.0
2008-03-03,289.0
2008-03-10,538.0
2008-03-17,596.0
2008-03-24,462.0
2008-03-31,571.0
2008-04-07,588.0
2008-04-14,593.0
2008-04-21,586.0
2008-04-28,622.0
2008-05-05,618.0
2008-05-12,637.0
2008-05-19,614.0
2008-05-26,544.0
2008-06-02,501.0
2008-06-09,559.0
2008-06-16,619.0
2008-06-23,606.0
2008-06-30,594.0
2008-07-07,526.0
2008-07-14,451.0
2008-07-21,
2008-07-28,
2008-08-04,242.0
2008-08-11,473.0
2008-08-18,499.0
2008-08-25,491.0
2008-09-01,470.0
2008-09-08,596.0
2008-09-15,682.0
2008-09-22,702.0
2008-09-29,558.0
2008-10-06,583.0
2008-10-13,691.0
2008-10-20,702.0
2008-10-27,469.0
2008-11-03,683.0
2008-11-10,744.0
2008-11-17,815.0
2008-11-24,648.0
2008-12-01,657.0
2008-12-08,719.0
2008-12-15,658.0
2008-12-22,594.0
2008-12-29,366.0
2009-01-05,446.0
2009-01-12,667.0
2009-01-19,762.0
2009-01-26,645.0
2009-02-02,670.0
2009-02-09,736.0
2009-02-16,795.0
2009-02-23,718.0
2009-03-02,841.0
2009-03-09,773.0
2009-03-16,818.0
2009-03-23,830.0
2009-03-30,794.0
2009-04-06,833.0
2009-04-13,773.0
2009-04-20,788.0
2009-04-27,836.0
2009-05-04,803.0
2009-05-11,813.0
2009-05-18,850.0
2009-05-25,880.0
2009-06-01,872.0
2009-06-08,802.0
2009-06-15,944.0
2009-06-22,918.0
2009-06-29,777.0
2009-07-06,820.0
2009-07-13,669.0
2009-07-20,757.0
2009-07-27,795.0
2009-08-03,654.0
2009-08-10,663.0
2009-08-17,748.0
2009-08-24,735.0
2009-08-31,786.0
2009-09-07,723.0
2009-09-14,805.0
2009-09-21,973.0
2009-09-28,478.0
2009-10-05,1015.0
2009-10-12,1066.0
2009-10-19,557.0
2009-10-26,1065.0
2009-11-02,1111.0
2009-11-09,1145.0
2009-11-16,933.0
2009-11-23,753.0
2009-11-30,871.0
2009-12-07,939.0
2009-12-14,999.0
2009-12-21,883.0
2009-12-28,686.0
2010-01-04,713.0
2010-01-11,955.0
2010-01-18,1038.0
2010-01-25,948.0
2010-02-01,1110.0
2010-02-08,1072.0
2010-02-15,1254.0
2010-02-22,1163.0
2010-03-01,1143.0
2010-03-08,1102.0
2010-03-15,1265.0
2010-03-22,1258.0
2010-03-29,1211.0
2010-04-05,987.0
2010-04-12,1047.0
