,pageviews
2007-12-10,12.0
2007-12-17,104.0
2007-12-24,51.0
2007-12-31,62.0
2008-01-07,104.0
2008-01-14,111.0
2008-01-21,136.0
2008-01-28,123.0
2008-02-04,98.0
2008-02-11,120.0
2008-02-18,121.0
2008-02-25,135.0
2008-03-03,81.0
2008-03-10,103.0
2008-03-17,115.0
2008-03-24,71.0
2008-03-31,89.0
2008-04-07,155.0
2008-04-14,153.0
2008-04-21,99.0
2008-04-28,165.0
2008-05-05,176.0
2008-05-12,102.0
2008-05-19,98.0
2008-05-26,97.0
2008-06-02,66.0
2008-06-09,114.0
2008-06-16,139.0
2008-06-23,121.0
2008-06-30,113.0
2008-07-07,135.0
2008-07-14,129.0
2008-07-21,
2008-07-28,
2008-08-04,70.0
2008-08-11,135.0
2008-08-18,99.0
2008-08-25,87.0
2008-09-01,194.0
2008-09-08,129.0
2008-09-15,112.0
2008-09-22,115.0
2008-09-29,213.0
2008-10-06,302.0
2008-10-13,212.0
2008-10-20,224.0
2008-10-27,117.0
2008-11-03,197.0
2008-11-10,298.0
2008-11-17,243.0
2008-11-24,140.0
2008-12-01,97.0
2008-12-08,226.0
2008-12-15,281.0
2008-12-22,89.0
2008-12-29,71.0
2009-01-05,193.0
2009-01-12,119.0
2009-01-19,137.0
2009-01-26,143.0
2009-02-02,124.0
2009-02-09,115.0
2009-02-16,101.0
2009-02-23,133.0
2009-03-02,182.0
2009-03-09,382.0
2009-03-16,278.0
2009-03-23,129.0
2009-03-30,235.0
2009-04-06,339.0
2009-04-13,283.0
2009-04-20,197.0
2009-04-27,205.0
2009-05-04,137.0
2009-05-11,103.0
2009-05-18,128.0
2009-05-25,103.0
2009-06-01,115.0
2009-06-08,125.0
2009-06-15,201.0
2009-06-22,108.0
2009-06-29,94.0
2009-07-06,177.0
2009-07-13,201.0
2009-07-20,214.0
2009-07-27,212.0
2009-08-03,254.0
2009-08-10,269.0
2009-08-17,269.0
2009-08-24,232.0
2009-08-31,281.0
2009-09-07,302.0
2009-09-14,371.0
2009-09-21,388.0
2009-09-28,189.0
2009-10-05,444.0
2009-10-12,465.0
2009-10-19,306.0
2009-10-26,492.0
2009-11-02,477.0
2009-11-09,512.0
2009-11-16,417.0
2009-11-23,256.0
2009-11-30,334.0
2009-12-07,306.0
2009-12-14,347.0
2009-12-21,288.0
2009-12-28,246.0
2010-01-04,203.0
2010-01-11,262.0
2010-01-18,292.0
2010-01-25,300.0
2010-02-01,389.0
2010-02-08,314.0
2010-02-15,335.0
2010-02-22,367.0
2010-03-01,383.0
2010-03-08,364.0
2010-03-15,395.0
2010-03-22,378.0
2010-03-29,371.0
2010-04-05,374.0
2010-04-12,294.0
2010-04-19,395.0
2010-04-26,405.0
2010-05-03,396.0
2010-05-10,440.0
2010-05-17,311.0
2010-05-24,345.0
2010-05-31,311.0
2010-06-07,321.0
2010-06-14,167.0
2010-06-21,269.0
2010-06-28,210.0
2010-07-05,199.0
2010-07-12,82.0
2010-07-19,191.0
2010-07-26,271.0
2010-08-02,280.0
2010-08-09,327.0
2010-08-16,312.0
2010-08-23,318.0
2010-08-30,328.0
2010-09-06,488.0
2010-09-13,494.0
2010-09-20,532.0
2010-09-27,564.0
2010-10-04,543.0
2010-10-11,594.0
2010-10-18,645.0
2010-10-25,617.0
2010-11-01,576.0
2010-11-08,514.0
2010-11-15,488.0
2010-11-22,507.0
2010-11-29,475.0
2010-12-06,534.0
2010-12-13,532.0
2010-12-20,407.0
2010-12-27,275.0
2011-01-03,421.0
2011-01-10,397.0
2011-01-17,457.0
2011-01-24,531.0
2011-01-31,427.0
2011-02-07,397.0
2011-02-14,419.0
2011-02-21,405.0
2011-02-28,406.0
2011-03-07,406.0
2011-03-14,402.0
2011-03-21,393.0
2011-03-28,422.0
2011-04-04,378.0
2011-04-11,428.0
2011-04-18,363.0
2011-04-25,382.0
2011-05-02,380.0
2011-05-09,394.0
2011-05-16,385.0
2011-05-23,372.0
2011-05-30,383.0
2011-06-06,362.0
2011-06-13,342.0
2011-06-20,320.0
2011-06-27,297.0
2011-07-04,278.0
2011-07-11,246.0
2011-07-18,274.0
2011-07-25,249.0
2011-08-01,241.0
2011-08-08,276.0
2011-08-15,272.0
2011-08-22,252.0
2011-08-29,315.0
2011-09-05,269.0
2011-09-12,329.0
2011-09-19,453.0
2011-09-26,418.0
2011-10-03,464.0
2011-10-10,455.0
2011-10-17,538.0
2011-10-24,521.0
2011-10-31,542.0
2011-11-07,496.0
2011-11-14,495.0
2011-11-21,522.0
2011-11-28,413.0
2011-12-05,529.0
2011-12-12,453.0
2011-12-19,375.0
2011-12-26,154.0
2012-01-02,238.0
2012-01-09,362.0
2012-01-16,413.0
2012-01-23,412.0
2012-01-30,428.0
2012-02-06,419.0
2012-02-13,421.0
2012-02-20,441.0
2012-02-27,428.0
2012-03-05,449.0
2012-03-12,370.0
2012-03-19,430.0
2012-03-26,355.0
2012-04-02,396.0
2012-04-09,296.0
2012-04-16,343.0
2012-04-23,403.0
2012-04-30,334.0
2012-05-07,455.0
2012-05-14,423.0
2012-05-21,357.0
2012-05-28,374.0
2012-06-04,366.0
2012-06-11,389.0
2012-06-18,382.0
2012-06-25,351.0
2012-07-02,398.0
2012-07-09,312.0
2012-07-16,309.0
2012-07-23,301.0
2012-07-30,285.0
2012-08-06,306.0
2012-08-13,286.0
2012-08-20,293.0
2012-08-27,291.0
2012-09-03,315.0
2012-09-10,377.0
2012-09-17,396.0
2012-09-24,439.0
2012-10-01,458.0
2012-10-08,460.0
2012-10-15,508.0
2012-10-22,485.0
2012-10-29,485.0
2012-11-05,483.0
2012-11-12,533.0
2012-11-19,450.0
2012-11-26,396.0
2012-12-03,403.0
2012-12-10,410.0
2012-12-17,468.0
2012-12-24,281.0
2012-12-31,236.0
2013-01-07,330.0
2013-01-14,421.0
2013-01-21,499.0
2013-01-28,646.0
2013-02-04,713.0
2013-02-11,706.0
2013-02-18,571.0
2013-02-25,909.0
2013-03-04,675.0
2013-03-11,600.0
2013-03-18,623.0
2013-03-25,639.0
2013-04-01,528.0
2013-04-08,532.0
2013-04-15,580.0
2013-04-22,653.0
2013-04-29,657.0
2013-05-06,624.0
2013-05-13,590.0
2013-05-20,557.0
2013-05-27,587.0
2013-06-03,547.0
2013-06-10,524.0
2013-06-17,513.0
2013-06-24,503.0
2013-07-01,436.0
2013-07-08,392.0
2013-07-15,443.0
2013-07-22,360.0
2013-07-29,268.0
2013-08-05,315.0
2013-08-12,357.0
2013-08-19,325.0
2013-08-26,305.0
2013-09-02,340.0
2013-09-09,422.0
2013-09-16,494.0
2013-09-23,628.0
2013-09-30,602.0
2013-10-07,624.0
2013-10-14,701.0
2013-10-21,679.0
2013-10-28,622.0
2013-11-04,591.0
2013-11-11,603.0
2013-11-18,594.0
2013-11-25,598.0
2013-12-02,487.0
2013-12-09,606.0
2013-12-16,476.0
2013-12-23,320.0
2013-12-30,232.0
2014-01-06,212.0
2014-01-13,439.0
2014-01-20,473.0
2014-01-27,512.0
2014-02-03,493.0
2014-02-10,663.0
2014-02-17,528.0
2014-02-24,538.0
2014-03-03,474.0
2014-03-10,457.0
2014-03-17,896.0
2014-03-24,538.0
2014-03-31,489.0
2014-04-07,509.0
2014-04-14,487.0
2014-04-21,499.0
2014-04-28,474.0
2014-05-05,511.0
2014-05-12,509.0
2014-05-19,469.0
2014-05-26,441.0
2014-06-02,405.0
2014-06-09,359.0
2014-06-16,395.0
2014-06-23,413.0
2014-06-30,352.0
2014-07-07,352.0
2014-07-14,302.0
2014-07-21,371.0
2014-07-28,358.0
2014-08-04,301.0
2014-08-11,307.0
2014-08-18,325.0
2014-08-25,344.0
2014-09-01,352.0
2014-09-08,577.0
2014-09-15,591.0
2014-09-22,578.0
2014-09-29,673.0
2014-10-06,643.0
2014-10-13,659.0
2014-10-20,659.0
2014-10-27,632.0
2014-11-03,597.0
2014-11-10,614.0
2014-11-17,561.0
2014-11-24,600.0
2014-12-01,457.0
2014-12-08,576.0
2014-12-15,995.0
2014-12-22,404.0
2014-12-29,317.0
2015-01-05,374.0
2015-01-12,545.0
2015-01-19,592.0
2015-01-26,609.0
2015-02-02,695.0
2015-02-09,708.0
2015-02-16,655.0
2015-02-23,636.0
2015-03-02,759.0
2015-03-09,761.0
2015-03-16,663.0
2015-03-23,622.0
2015-03-30,273.0
