,pageviews
2007-12-10,11.0
2007-12-17,105.0
2007-12-24,46.0
2007-12-31,42.0
2008-01-07,73.0
2008-01-14,121.0
2008-01-21,117.0
2008-01-28,114.0
2008-02-04,75.0
2008-02-11,87.0
2008-02-18,103.0
2008-02-25,118.0
2008-03-03,81.0
2008-03-10,82.0
2008-03-17,130.0
2008-03-24,107.0
2008-03-31,110.0
2008-04-07,126.0
2008-04-14,91.0
2008-04-21,93.0
2008-04-28,78.0
2008-05-05,102.0
2008-05-12,113.0
2008-05-19,91.0
2008-05-26,97.0
2008-06-02,50.0
2008-06-09,112.0
2008-06-16,93.0
2008-06-23,110.0
2008-06-30,107.0
2008-07-07,48.0
2008-07-14,49.0
2008-07-21,
2008-07-28,
2008-08-04,31.0
2008-08-11,53.0
2008-08-18,62.0
2008-08-25,113.0
2008-09-01,96.0
2008-09-08,82.0
2008-09-15,94.0
2008-09-22,124.0
2008-09-29,107.0
2008-10-06,101.0
2008-10-13,106.0
2008-10-20,130.0
2008-10-27,89.0
2008-11-03,211.0
2008-11-10,143.0
2008-11-17,115.0
2008-11-24,140.0
2008-12-01,301.0
2008-12-08,319.0
2008-12-15,83.0
2008-12-22,73.0
2008-12-29,57.0
2009-01-05,59.0
2009-01-12,70.0
2009-01-19,109.0
2009-01-26,124.0
2009-02-02,113.0
2009-02-09,106.0
2009-02-16,140.0
2009-02-23,103.0
2009-03-02,145.0
2009-03-09,131.0
2009-03-16,147.0
2009-03-23,121.0
2009-03-30,108.0
2009-04-06,122.0
2009-04-13,123.0
2009-04-20,110.0
2009-04-27,149.0
2009-05-04,103.0
2009-05-11,123.0
2009-05-18,113.0
2009-05-25,132.0
2009-06-01,113.0
2009-06-08,79.0
2009-06-15,90.0
2009-06-22,79.0
2009-06-29,88.0
2009-07-06,51.0
2009-07-13,170.0
2009-07-20,446.0
2009-07-27,379.0
2009-08-03,345.0
2009-08-10,353.0
2009-08-17,333.0
2009-08-24,317.0
2009-08-31,371.0
2009-09-07,421.0
2009-09-14,362.0
2009-09-21,464.0
2009-09-28,220.0
2009-10-05,537.0
2009-10-12,587.0
2009-10-19,267.0
2009-10-26,477.0
2009-11-02,522.0
2009-11-09,544.0
2009-11-16,540.0
2009-11-23,419.0
2009-11-30,532.0
2009-12-07,637.0
2009-12-14,433.0
2009-12-21,423.0
2009-12-28,276.0
2010-01-04,323.0
2010-01-11,374.0
2010-01-18,446.0
2010-01-25,400.0
2010-02-01,455.0
