,pageviews
2007-12-10,21.0
2007-12-17,126.0
2007-12-24,129.0
2007-12-31,89.0
2008-01-07,105.0
2008-01-14,122.0
2008-01-21,124.0
2008-01-28,114.0
2008-02-04,100.0
2008-02-11,113.0
2008-02-18,115.0
2008-02-25,98.0
2008-03-03,87.0
2008-03-10,95.0
2008-03-17,109.0
2008-03-24,122.0
2008-03-31,139.0
2008-04-07,118.0
2008-04-14,108.0
2008-04-21,113.0
2008-04-28,131.0
2008-05-05,127.0
2008-05-12,106.0
2008-05-19,121.0
2008-05-26,108.0
2008-06-02,81.0
2008-06-09,97.0
2008-06-16,96.0
2008-06-23,103.0
2008-06-30,113.0
2008-07-07,89.0
2008-07-14,76.0
2008-07-21,
2008-07-28,
2008-08-04,39.0
2008-08-11,79.0
2008-08-18,91.0
2008-08-25,108.0
2008-09-01,94.0
2008-09-08,114.0
2008-09-15,114.0
2008-09-22,106.0
2008-09-29,89.0
2008-10-06,83.0
2008-10-13,106.0
2008-10-20,142.0
2008-10-27,76.0
2008-11-03,97.0
2008-11-10,109.0
2008-11-17,133.0
2008-11-24,126.0
2008-12-01,103.0
2008-12-08,111.0
2008-12-15,108.0
2008-12-22,104.0
2008-12-29,86.0
2009-01-05,74.0
2009-01-12,100.0
2009-01-19,108.0
2009-01-26,112.0
2009-02-02,102.0
2009-02-09,99.0
2009-02-16,109.0
2009-02-23,88.0
2009-03-02,128.0
2009-03-09,113.0
2009-03-16,140.0
2009-03-23,159.0
2009-03-30,132.0
2009-04-06,127.0
2009-04-13,130.0
2009-04-20,109.0
2009-04-27,118.0
2009-05-04,114.0
2009-05-11,106.0
2009-05-18,102.0
2009-05-25,70.0
2009-06-01,110.0
2009-06-08,92.0
2009-06-15,129.0
2009-06-22,104.0
2009-06-29,93.0
2009-07-06,111.0
2009-07-13,115.0
2009-07-20,105.0
2009-07-27,183.0
2009-08-03,120.0
2009-08-10,103.0
2009-08-17,95.0
2009-08-24,107.0
2009-08-31,110.0
2009-09-07,119.0
2009-09-14,138.0
2009-09-21,121.0
2009-09-28,46.0
2009-10-05,139.0
2009-10-12,147.0
2009-10-19,93.0
2009-10-26,136.0
2009-11-02,165.0
2009-11-09,169.0
2009-11-16,152.0
2009-11-23,109.0
2009-11-30,145.0
2009-12-07,124.0
2009-12-14,121.0
2009-12-21,123.0
2009-12-28,130.0
2010-01-04,93.0
2010-01-11,122.0
2010-01-18,127.0
2010-01-25,92.0
2010-02-01,136.0
2010-02-08,103.0
2010-02-15,125.0
