,pageviews
2007-12-20,27
2007-12-21,16
2007-12-22,20
2007-12-23,23
2007-12-24,10
2007-12-25,5
2007-12-26,22
2007-12-27,12
2007-12-28,15
2007-12-29,10
2007-12-19,35
2007-12-18,40
2007-12-31,15
2007-12-30,17
2007-12-15,13
2007-12-14,19
2007-12-17,19
2007-12-16,25
2007-12-11,32
2007-12-10,37
2007-12-13,20
2007-12-12,29
2008-01-30,32
2008-01-16,21
2008-01-17,27
2008-01-14,26
2008-01-15,34
2008-01-12,12
2008-01-13,16
2008-01-10,25
2008-01-11,39
2008-01-18,26
2008-01-19,23
2008-01-29,26
2008-01-28,35
2008-01-27,19
2008-01-26,25
2008-01-25,60
2008-01-24,38
2008-01-23,32
2008-01-22,40
2008-01-21,23
2008-01-20,22
2008-01-05,25
2008-01-04,17
2008-01-07,37
2008-01-06,24
2008-01-01,19
2008-01-03,27
2008-01-02,26
2008-01-09,29
2008-01-08,52
2008-02-28,0
2008-02-26,23
2008-02-29,25
2008-02-01,38
2008-02-02,37
2008-02-03,21
2008-02-04,30
2008-02-05,35
2008-02-06,51
2008-02-07,31
2008-02-08,23
2008-02-09,22
2008-02-24,25
2008-02-25,29
2008-02-22,34
2008-02-23,27
2008-02-20,38
2008-02-21,43
2008-02-27,29
2008-02-17,22
2008-02-16,19
2008-02-15,22
2008-02-14,33
2008-02-13,26
2008-02-12,29
2008-02-11,33
2008-02-10,21
2008-02-19,29
2008-02-18,35
2008-03-14,25
2008-03-15,30
2008-03-16,17
2008-03-17,27
2008-03-10,18
2008-03-11,23
2008-03-12,38
2008-03-13,41
2008-03-18,49
2008-03-19,37
2008-03-30,21
2008-03-09,34
2008-03-31,32
2008-03-03,0
2008-03-02,24
2008-03-01,0
2008-03-07,22
2008-03-06,29
2008-03-05,32
2008-03-04,0
2008-03-21,20
2008-03-20,31
2008-03-23,22
2008-03-22,19
2008-03-25,45
2008-03-24,24
2008-03-27,36
2008-03-26,36
2008-03-29,21
2008-03-28,46
2008-03-08,15
2008-04-30,41
2008-04-15,25
2008-04-14,24
2008-04-17,48
2008-04-16,24
2008-04-11,30
2008-04-10,41
2008-04-13,16
2008-04-12,23
2008-04-19,24
2008-04-18,51
2008-04-28,26
2008-04-29,38
2008-04-20,20
2008-04-21,37
2008-04-22,32
2008-04-23,40
2008-04-24,52
2008-04-25,21
2008-04-26,31
2008-04-27,33
2008-04-06,28
2008-04-07,33
2008-04-04,22
2008-04-05,29
2008-04-02,34
2008-04-03,39
2008-04-01,22
2008-04-08,28
2008-04-09,36
2008-05-12,31
2008-05-13,35
