,pageviews
2007-12-10,6.0
2007-12-17,45.0
2007-12-24,29.0
2007-12-31,30.0
2008-01-07,43.0
2008-01-14,54.0
2008-01-21,35.0
2008-01-28,62.0
2008-02-04,55.0
2008-02-11,121.0
2008-02-18,125.0
2008-02-25,99.0
2008-03-03,63.0
2008-03-10,78.0
2008-03-17,97.0
2008-03-24,79.0
2008-03-31,98.0
2008-04-07,113.0
2008-04-14,111.0
2008-04-21,106.0
2008-04-28,91.0
2008-05-05,98.0
2008-05-12,97.0
2008-05-19,130.0
2008-05-26,120.0
2008-06-02,158.0
2008-06-09,94.0
2008-06-16,88.0
2008-06-23,98.0
2008-06-30,137.0
2008-07-07,61.0
2008-07-14,69.0
2008-07-21,
2008-07-28,
2008-08-04,34.0
2008-08-11,67.0
2008-08-18,64.0
2008-08-25,68.0
2008-09-01,75.0
2008-09-08,98.0
2008-09-15,109.0
2008-09-22,150.0
2008-09-29,219.0
2008-10-06,236.0
2008-10-13,171.0
2008-10-20,192.0
2008-10-27,112.0
2008-11-03,223.0
2008-11-10,269.0
2008-11-17,336.0
2008-11-24,347.0
2008-12-01,230.0
2008-12-08,188.0
2008-12-15,277.0
2008-12-22,234.0
2008-12-29,136.0
2009-01-05,187.0
2009-01-12,923.0
2009-01-19,583.0
2009-01-26,247.0
2009-02-02,324.0
2009-02-09,258.0
2009-02-16,258.0
2009-02-23,307.0
2009-03-02,394.0
2009-03-09,325.0
2009-03-16,310.0
2009-03-23,308.0
2009-03-30,340.0
2009-04-06,357.0
2009-04-13,299.0
2009-04-20,285.0
2009-04-27,324.0
2009-05-04,296.0
2009-05-11,325.0
2009-05-18,273.0
2009-05-25,291.0
2009-06-01,662.0
2009-06-08,335.0
2009-06-15,303.0
2009-06-22,252.0
2009-06-29,309.0
2009-07-06,289.0
2009-07-13,274.0
2009-07-20,221.0
2009-07-27,232.0
2009-08-03,205.0
2009-08-10,221.0
2009-08-17,193.0
2009-08-24,175.0
2009-08-31,255.0
2009-09-07,186.0
2009-09-14,237.0
2009-09-21,246.0
2009-09-28,157.0
2009-10-05,300.0
2009-10-12,285.0
2009-10-19,186.0
2009-10-26,370.0
2009-11-02,301.0
2009-11-09,289.0
2009-11-16,255.0
2009-11-23,271.0
2009-11-30,261.0
2009-12-07,291.0
2009-12-14,298.0
2009-12-21,235.0
2009-12-28,202.0
2010-01-04,306.0
2010-01-11,267.0
2010-01-18,286.0
2010-01-25,286.0
2010-02-01,341.0
2010-02-08,269.0
2010-02-15,309.0
2010-02-22,331.0
2010-03-01,357.0
2010-03-08,387.0
2010-03-15,373.0
2010-03-22,341.0
2010-03-29,363.0
2010-04-05,411.0
2010-04-12,453.0
2010-04-19,449.0
2010-04-26,385.0
2010-05-03,396.0
2010-05-10,371.0
2010-05-17,337.0
2010-05-24,345.0
2010-05-31,338.0
2010-06-07,354.0
2010-06-14,182.0
2010-06-21,242.0
2010-06-28,151.0
2010-07-05,212.0
2010-07-12,95.0
2010-07-19,253.0
2010-07-26,360.0
2010-08-02,348.0
2010-08-09,390.0
2010-08-16,284.0
2010-08-23,338.0
2010-08-30,312.0
2010-09-06,330.0
2010-09-13,349.0
2010-09-20,444.0
2010-09-27,373.0
2010-10-04,409.0
2010-10-11,445.0
2010-10-18,390.0
2010-10-25,441.0
2010-11-01,421.0
2010-11-08,375.0
2010-11-15,405.0
2010-11-22,403.0
2010-11-29,385.0
2010-12-06,398.0
2010-12-13,364.0
2010-12-20,340.0
2010-12-27,258.0
2011-01-03,280.0
2011-01-10,354.0
2011-01-17,386.0
2011-01-24,386.0
2011-01-31,437.0
2011-02-07,412.0
2011-02-14,414.0
2011-02-21,401.0
2011-02-28,412.0
2011-03-07,425.0
2011-03-14,352.0
2011-03-21,345.0
2011-03-28,376.0
2011-04-04,418.0
2011-04-11,402.0
2011-04-18,405.0
2011-04-25,375.0
2011-05-02,320.0
2011-05-09,351.0
2011-05-16,292.0
2011-05-23,353.0
2011-05-30,376.0
2011-06-06,339.0
2011-06-13,309.0
2011-06-20,307.0
2011-06-27,308.0
2011-07-04,369.0
2011-07-11,260.0
2011-07-18,267.0
2011-07-25,312.0
2011-08-01,263.0
2011-08-08,301.0
2011-08-15,239.0
2011-08-22,232.0
2011-08-29,289.0
2011-09-05,217.0
2011-09-12,317.0
2011-09-19,589.0
2011-09-26,422.0
2011-10-03,375.0
2011-10-10,390.0
2011-10-17,374.0
2011-10-24,278.0
2011-10-31,385.0
2011-11-07,442.0
2011-11-14,435.0
2011-11-21,370.0
2011-11-28,365.0
2011-12-05,916.0
2011-12-12,401.0
2011-12-19,432.0
2011-12-26,206.0
2012-01-02,329.0
2012-01-09,328.0
2012-01-16,420.0
2012-01-23,367.0
2012-01-30,345.0
2012-02-06,460.0
2012-02-13,557.0
2012-02-20,407.0
2012-02-27,438.0
2012-03-05,423.0
2012-03-12,374.0
2012-03-19,447.0
2012-03-26,397.0
2012-04-02,370.0
2012-04-09,335.0
2012-04-16,380.0
2012-04-23,426.0
2012-04-30,331.0
2012-05-07,412.0
2012-05-14,438.0
2012-05-21,406.0
2012-05-28,359.0
2012-06-04,354.0
2012-06-11,361.0
2012-06-18,370.0
2012-06-25,352.0
2012-07-02,317.0
2012-07-09,332.0
2012-07-16,270.0
2012-07-23,359.0
2012-07-30,309.0
2012-08-06,319.0
2012-08-13,320.0
2012-08-20,344.0
2012-08-27,344.0
2012-09-03,368.0
2012-09-10,426.0
2012-09-17,342.0
2012-09-24,404.0
2012-10-01,471.0
2012-10-08,488.0
2012-10-15,595.0
2012-10-22,507.0
2012-10-29,542.0
2012-11-05,457.0
2012-11-12,522.0
