,pageviews
2007-12-10,337.0
2007-12-17,1950.0
2007-12-24,1076.0
2007-12-31,459.0
2008-01-07,1327.0
2008-01-14,2341.0
2008-01-21,2191.0
2008-01-28,2795.0
2008-02-04,1929.0
2008-02-11,2524.0
2008-02-18,2434.0
2008-02-25,2399.0
2008-03-03,1419.0
2008-03-10,1957.0
2008-03-17,2022.0
2008-03-24,1607.0
2008-03-31,2087.0
2008-04-07,2331.0
2008-04-14,2019.0
2008-04-21,1988.0
2008-04-28,1873.0
2008-05-05,1993.0
2008-05-12,1839.0
2008-05-19,1790.0
2008-05-26,1591.0
2008-06-02,1284.0
2008-06-09,1484.0
2008-06-16,1258.0
2008-06-23,1230.0
2008-06-30,1015.0
2008-07-07,687.0
2008-07-14,575.0
2008-07-21,
2008-07-28,
2008-08-04,354.0
2008-08-11,704.0
2008-08-18,719.0
2008-08-25,941.0
2008-09-01,1133.0
2008-09-08,1633.0
2008-09-15,1823.0
2008-09-22,1769.0
2008-09-29,1647.0
2008-10-06,1680.0
2008-10-13,2125.0
2008-10-20,2086.0
2008-10-27,1286.0
2008-11-03,1927.0
2008-11-10,1889.0
2008-11-17,2087.0
2008-11-24,2133.0
2008-12-01,1473.0
2008-12-08,1949.0
2008-12-15,1834.0
2008-12-22,1708.0
2008-12-29,481.0
2009-01-05,1198.0
2009-01-12,2233.0
2009-01-19,1996.0
2009-01-26,2203.0
2009-02-02,2157.0
2009-02-09,2350.0
2009-02-16,2164.0
2009-02-23,2309.0
2009-03-02,2776.0
2009-03-09,2551.0
2009-03-16,2362.0
2009-03-23,2022.0
2009-03-30,2124.0
2009-04-06,2230.0
2009-04-13,1866.0
2009-04-20,2039.0
2009-04-27,2029.0
2009-05-04,1906.0
2009-05-11,1731.0
2009-05-18,1910.0
2009-05-25,1674.0
2009-06-01,1672.0
2009-06-08,1470.0
2009-06-15,1440.0
2009-06-22,1198.0
2009-06-29,943.0
2009-07-06,944.0
2009-07-13,971.0
2009-07-20,982.0
2009-07-27,928.0
2009-08-03,1010.0
2009-08-10,890.0
2009-08-17,1006.0
2009-08-24,1091.0
2009-08-31,1569.0
2009-09-07,1453.0
2009-09-14,1936.0
2009-09-21,1806.0
2009-09-28,916.0
2009-10-05,2171.0
2009-10-12,2213.0
2009-10-19,1201.0
2009-10-26,2430.0
2009-11-02,2205.0
2009-11-09,2530.0
2009-11-16,2196.0
2009-11-23,2064.0
2009-11-30,1480.0
2009-12-07,2358.0
2009-12-14,2498.0
2009-12-21,1915.0
2009-12-28,780.0
2010-01-04,1298.0
2010-01-11,2925.0
2010-01-18,2797.0
2010-01-25,2432.0
2010-02-01,2832.0
2010-02-08,2580.0
2010-02-15,2884.0
2010-02-22,2813.0
2010-03-01,3104.0
2010-03-08,3007.0
2010-03-15,2763.0
2010-03-22,2403.0
2010-03-29,2557.0
2010-04-05,1921.0
2010-04-12,2180.0
2010-04-19,2737.0
2010-04-26,2522.0
2010-05-03,2426.0
2010-05-10,2470.0
2010-05-17,2044.0
2010-05-24,2137.0
2010-05-31,1747.0
2010-06-07,1813.0
2010-06-14,1060.0
2010-06-21,1146.0
2010-06-28,650.0
2010-07-05,729.0
2010-07-12,398.0
2010-07-19,781.0
2010-07-26,1018.0
2010-08-02,1063.0
2010-08-09,1083.0
2010-08-16,1066.0
2010-08-23,1124.0
2010-08-30,1324.0
2010-09-06,1312.0
2010-09-13,1810.0
2010-09-20,1899.0
2010-09-27,1851.0
2010-10-04,2180.0
2010-10-11,2309.0
2010-10-18,2906.0
2010-10-25,2679.0
2010-11-01,2318.0
2010-11-08,2383.0
2010-11-15,2372.0
2010-11-22,2404.0
2010-11-29,1816.0
2010-12-06,2619.0
2010-12-13,2957.0
2010-12-20,2328.0
2010-12-27,987.0
2011-01-03,1300.0
2011-01-10,3131.0
2011-01-17,3060.0
2011-01-24,3186.0
2011-01-31,2680.0
2011-02-07,2402.0
2011-02-14,2531.0
2011-02-21,2334.0
2011-02-28,2794.0
2011-03-07,2837.0
2011-03-14,2713.0
2011-03-21,2314.0
2011-03-28,2436.0
2011-04-04,2146.0
2011-04-11,2038.0
2011-04-18,2055.0
2011-04-25,1664.0
2011-05-02,1901.0
2011-05-09,2084.0
2011-05-16,2045.0
2011-05-23,2140.0
2011-05-30,1682.0
2011-06-06,1673.0
2011-06-13,1607.0
2011-06-20,1278.0
2011-06-27,1334.0
2011-07-04,1056.0
2011-07-11,1115.0
2011-07-18,1160.0
2011-07-25,1129.0
2011-08-01,1139.0
2011-08-08,1201.0
2011-08-15,997.0
2011-08-22,969.0
2011-08-29,1234.0
2011-09-05,1137.0
2011-09-12,1731.0
2011-09-19,1736.0
2011-09-26,1869.0
2011-10-03,1951.0
2011-10-10,2471.0
2011-10-17,2781.0
2011-10-24,2035.0
2011-10-31,2857.0
2011-11-07,2773.0
2011-11-14,2735.0
2011-11-21,2695.0
2011-11-28,2018.0
2011-12-05,2925.0
2011-12-12,3177.0
2011-12-19,2685.0
2011-12-26,785.0
2012-01-02,1210.0
2012-01-09,3012.0
2012-01-16,3498.0
2012-01-23,3163.0
2012-01-30,3457.0
2012-02-06,3268.0
2012-02-13,3156.0
2012-02-20,2901.0
2012-02-27,3417.0
2012-03-05,3518.0
2012-03-12,3187.0
2012-03-19,2562.0
2012-03-26,2294.0
2012-04-02,2134.0
2012-04-09,1670.0
2012-04-16,2214.0
2012-04-23,2275.0
2012-04-30,1881.0
2012-05-07,2409.0
2012-05-14,2219.0
2012-05-21,2354.0
2012-05-28,1865.0
2012-06-04,1850.0
2012-06-11,1898.0
2012-06-18,1501.0
2012-06-25,1367.0
2012-07-02,1050.0
2012-07-09,1211.0
2012-07-16,1218.0
2012-07-23,1272.0
2012-07-30,1127.0
2012-08-06,1145.0
2012-08-13,1076.0
2012-08-20,1098.0
2012-08-27,1277.0
2012-09-03,1397.0
2012-09-10,1918.0
2012-09-17,2112.0
2012-09-24,1924.0
2012-10-01,2170.0
2012-10-08,2549.0
2012-10-15,2842.0
2012-10-22,2901.0
2012-10-29,2650.0
2012-11-05,2510.0
2012-11-12,2711.0
2012-11-19,2720.0
2012-11-26,2166.0
2012-12-03,3158.0
2012-12-10,3162.0
2012-12-17,2738.0
2012-12-24,1578.0
2012-12-31,886.0
2013-01-07,1985.0
2013-01-14,3553.0
2013-01-21,3463.0
2013-01-28,3432.0
2013-02-04,3500.0
2013-02-11,3735.0
2013-02-18,3299.0
2013-02-25,3276.0
2013-03-04,3487.0
2013-03-11,3045.0
2013-03-18,2769.0
2013-03-25,2992.0
2013-04-01,2307.0
2013-04-08,2658.0
2013-04-15,2981.0
2013-04-22,2978.0
2013-04-29,2619.0
2013-05-06,2602.0
2013-05-13,2601.0
2013-05-20,2741.0
2013-05-27,2144.0
2013-06-03,2026.0
2013-06-10,1817.0
2013-06-17,1545.0
2013-06-24,1414.0
2013-07-01,1352.0
2013-07-08,1233.0
2013-07-15,1328.0
2013-07-22,1340.0
2013-07-29,854.0
2013-08-05,1093.0
2013-08-12,1118.0
2013-08-19,1079.0
2013-08-26,1056.0
2013-09-02,1147.0
2013-09-09,1399.0
2013-09-16,1400.0
2013-09-23,1477.0
2013-09-30,1661.0
2013-10-07,2057.0
2013-10-14,2270.0
2013-10-21,2195.0
2013-10-28,2101.0
2013-11-04,2138.0
2013-11-11,2093.0
2013-11-18,2232.0
2013-11-25,2336.0
2013-12-02,1523.0
2013-12-09,2338.0
2013-12-16,1839.0
2013-12-23,1007.0
2013-12-30,471.0
2014-01-06,539.0
2014-01-13,1685.0
2014-01-20,1706.0
2014-01-27,1722.0
2014-02-03,1632.0
2014-02-10,1755.0
2014-02-17,1531.0
2014-02-24,1756.0
2014-03-03,1817.0
2014-03-10,1863.0
2014-03-17,2166.0
2014-03-24,1607.0
2014-03-31,1628.0
2014-04-07,1465.0
