,pageviews
2007-12-10,112.0
2007-12-17,736.0
2007-12-24,467.0
2007-12-31,360.0
2008-01-07,521.0
2008-01-14,751.0
2008-01-21,738.0
2008-01-28,692.0
2008-02-04,681.0
2008-02-11,730.0
2008-02-18,705.0
2008-02-25,801.0
2008-03-03,481.0
2008-03-10,732.0
2008-03-17,922.0
2008-03-24,573.0
2008-03-31,719.0
2008-04-07,656.0
2008-04-14,806.0
2008-04-21,710.0
2008-04-28,798.0
2008-05-05,796.0
2008-05-12,798.0
2008-05-19,754.0
2008-05-26,628.0
2008-06-02,481.0
2008-06-09,629.0
2008-06-16,621.0
2008-06-23,687.0
2008-06-30,703.0
2008-07-07,432.0
2008-07-14,412.0
2008-07-21,
2008-07-28,
2008-08-04,214.0
2008-08-11,395.0
2008-08-18,474.0
2008-08-25,602.0
2008-09-01,669.0
2008-09-08,813.0
2008-09-15,1027.0
2008-09-22,1009.0
2008-09-29,923.0
2008-10-06,1045.0
2008-10-13,1146.0
2008-10-20,1136.0
2008-10-27,662.0
2008-11-03,780.0
2008-11-10,684.0
2008-11-17,802.0
2008-11-24,670.0
2008-12-01,502.0
2008-12-08,717.0
2008-12-15,551.0
2008-12-22,579.0
2008-12-29,278.0
2009-01-05,488.0
2009-01-12,732.0
2009-01-19,796.0
2009-01-26,1103.0
2009-02-02,1154.0
2009-02-09,938.0
2009-02-16,772.0
2009-02-23,863.0
2009-03-02,854.0
2009-03-09,746.0
2009-03-16,715.0
2009-03-23,703.0
2009-03-30,755.0
2009-04-06,797.0
2009-04-13,644.0
2009-04-20,741.0
2009-04-27,666.0
2009-05-04,664.0
2009-05-11,702.0
2009-05-18,706.0
2009-05-25,672.0
2009-06-01,673.0
2009-06-08,837.0
2009-06-15,754.0
2009-06-22,699.0
2009-06-29,663.0
2009-07-06,843.0
2009-07-13,703.0
2009-07-20,633.0
2009-07-27,633.0
2009-08-03,706.0
2009-08-10,558.0
2009-08-17,742.0
2009-08-24,863.0
2009-08-31,1051.0
2009-09-07,1137.0
2009-09-14,1202.0
2009-09-21,1483.0
2009-09-28,808.0
2009-10-05,1255.0
2009-10-12,1188.0
