,pageviews
2007-12-10,56.0
2007-12-17,416.0
2007-12-24,272.0
2007-12-31,241.0
2008-01-07,307.0
2008-01-14,364.0
2008-01-21,403.0
2008-01-28,413.0
2008-02-04,397.0
2008-02-11,395.0
2008-02-18,459.0
2008-02-25,395.0
2008-03-03,274.0
2008-03-10,375.0
2008-03-17,358.0
2008-03-24,404.0
2008-03-31,445.0
2008-04-07,443.0
2008-04-14,417.0
2008-04-21,447.0
2008-04-28,409.0
2008-05-05,403.0
2008-05-12,427.0
2008-05-19,475.0
2008-05-26,459.0
2008-06-02,304.0
2008-06-09,402.0
2008-06-16,368.0
2008-06-23,428.0
2008-06-30,395.0
2008-07-07,301.0
2008-07-14,234.0
2008-07-21,
2008-07-28,
2008-08-04,179.0
2008-08-11,530.0
2008-08-18,440.0
2008-08-25,477.0
2008-09-01,424.0
2008-09-08,466.0
2008-09-15,509.0
2008-09-22,394.0
2008-09-29,421.0
2008-10-06,425.0
2008-10-13,458.0
2008-10-20,521.0
2008-10-27,257.0
2008-11-03,441.0
2008-11-10,464.0
2008-11-17,552.0
2008-11-24,465.0
2008-12-01,400.0
2008-12-08,527.0
2008-12-15,458.0
2008-12-22,427.0
2008-12-29,268.0
2009-01-05,342.0
2009-01-12,451.0
2009-01-19,427.0
2009-01-26,360.0
2009-02-02,429.0
2009-02-09,517.0
2009-02-16,526.0
2009-02-23,613.0
2009-03-02,597.0
2009-03-09,654.0
2009-03-16,620.0
2009-03-23,496.0
2009-03-30,491.0
2009-04-06,449.0
2009-04-13,440.0
2009-04-20,534.0
2009-04-27,500.0
2009-05-04,520.0
2009-05-11,526.0
2009-05-18,512.0
2009-05-25,490.0
2009-06-01,495.0
2009-06-08,441.0
2009-06-15,488.0
2009-06-22,481.0
2009-06-29,427.0
2009-07-06,468.0
2009-07-13,407.0
2009-07-20,515.0
2009-07-27,436.0
2009-08-03,455.0
2009-08-10,427.0
2009-08-17,599.0
2009-08-24,475.0
2009-08-31,612.0
2009-09-07,500.0
2009-09-14,578.0
2009-09-21,547.0
2009-09-28,295.0
2009-10-05,638.0
2009-10-12,699.0
2009-10-19,318.0
2009-10-26,579.0
2009-11-02,547.0
2009-11-09,615.0
2009-11-16,618.0
2009-11-23,528.0
2009-11-30,503.0
2009-12-07,685.0
2009-12-14,590.0
2009-12-21,426.0
2009-12-28,442.0
2010-01-04,445.0
2010-01-11,624.0
2010-01-18,532.0
2010-01-25,455.0
2010-02-01,530.0
2010-02-08,440.0
2010-02-15,518.0
2010-02-22,508.0
2010-03-01,426.0
2010-03-08,495.0
2010-03-15,612.0
2010-03-22,537.0
2010-03-29,603.0
2010-04-05,493.0
2010-04-12,496.0
2010-04-19,584.0
2010-04-26,533.0
2010-05-03,548.0
2010-05-10,566.0
2010-05-17,476.0
2010-05-24,443.0
2010-05-31,413.0
2010-06-07,540.0
2010-06-14,250.0
2010-06-21,349.0
2010-06-28,212.0
2010-07-05,294.0
2010-07-12,119.0
2010-07-19,265.0
2010-07-26,430.0
2010-08-02,456.0
2010-08-09,561.0
2010-08-16,1958.0
2010-08-23,1114.0
2010-08-30,626.0
2010-09-06,660.0
2010-09-13,621.0
2010-09-20,564.0
2010-09-27,620.0
2010-10-04,567.0
2010-10-11,577.0
2010-10-18,644.0
2010-10-25,626.0
2010-11-01,574.0
2010-11-08,678.0
2010-11-15,683.0
