,pageviews
2007-12-10,40.0
2007-12-17,216.0
2007-12-24,144.0
2007-12-31,130.0
2008-01-07,175.0
2008-01-14,242.0
2008-01-21,206.0
2008-01-28,251.0
2008-02-04,244.0
2008-02-11,236.0
2008-02-18,234.0
2008-02-25,212.0
2008-03-03,127.0
2008-03-10,174.0
2008-03-17,212.0
2008-03-24,177.0
2008-03-31,189.0
2008-04-07,175.0
2008-04-14,188.0
2008-04-21,220.0
2008-04-28,207.0
2008-05-05,206.0
2008-05-12,203.0
2008-05-19,216.0
2008-05-26,201.0
2008-06-02,166.0
2008-06-09,199.0
2008-06-16,201.0
2008-06-23,199.0
2008-06-30,204.0
2008-07-07,158.0
2008-07-14,131.0
2008-07-21,
2008-07-28,
2008-08-04,87.0
2008-08-11,222.0
2008-08-18,172.0
2008-08-25,227.0
2008-09-01,181.0
2008-09-08,259.0
2008-09-15,218.0
2008-09-22,224.0
2008-09-29,230.0
2008-10-06,216.0
2008-10-13,205.0
2008-10-20,163.0
2008-10-27,139.0
2008-11-03,151.0
2008-11-10,214.0
2008-11-17,168.0
2008-11-24,167.0
2008-12-01,129.0
2008-12-08,257.0
2008-12-15,234.0
2008-12-22,181.0
2008-12-29,135.0
2009-01-05,153.0
2009-01-12,168.0
2009-01-19,139.0
2009-01-26,198.0
2009-02-02,205.0
2009-02-09,221.0
2009-02-16,255.0
2009-02-23,229.0
2009-03-02,296.0
2009-03-09,259.0
2009-03-16,242.0
2009-03-23,226.0
2009-03-30,214.0
2009-04-06,180.0
2009-04-13,213.0
2009-04-20,206.0
2009-04-27,190.0
2009-05-04,200.0
2009-05-11,175.0
2009-05-18,209.0
2009-05-25,225.0
2009-06-01,211.0
2009-06-08,202.0
2009-06-15,198.0
2009-06-22,196.0
2009-06-29,180.0
2009-07-06,183.0
2009-07-13,185.0
2009-07-20,195.0
2009-07-27,219.0
2009-08-03,182.0
2009-08-10,195.0
2009-08-17,177.0
2009-08-24,207.0
2009-08-31,208.0
2009-09-07,206.0
2009-09-14,267.0
2009-09-21,221.0
2009-09-28,111.0
2009-10-05,235.0
2009-10-12,281.0
2009-10-19,130.0
2009-10-26,262.0
2009-11-02,246.0
2009-11-09,266.0
2009-11-16,212.0
2009-11-23,201.0
2009-11-30,221.0
2009-12-07,210.0
2009-12-14,242.0
2009-12-21,233.0
2009-12-28,213.0
2010-01-04,160.0
2010-01-11,372.0
2010-01-18,264.0
2010-01-25,205.0
2010-02-01,317.0
2010-02-08,224.0
2010-02-15,337.0
2010-02-22,377.0
2010-03-01,250.0
2010-03-08,271.0
2010-03-15,350.0
2010-03-22,333.0
2010-03-29,306.0
2010-04-05,309.0
2010-04-12,364.0
2010-04-19,302.0
2010-04-26,328.0
2010-05-03,324.0
2010-05-10,351.0
2010-05-17,301.0
2010-05-24,299.0
2010-05-31,271.0
2010-06-07,303.0
2010-06-14,157.0
2010-06-21,287.0
2010-06-28,156.0
2010-07-05,203.0
2010-07-12,156.0
2010-07-19,235.0
2010-07-26,297.0
2010-08-02,459.0
2010-08-09,342.0
2010-08-16,336.0
2010-08-23,352.0
2010-08-30,342.0
2010-09-06,350.0
2010-09-13,342.0
2010-09-20,339.0
2010-09-27,352.0
2010-10-04,388.0
2010-10-11,384.0
2010-10-18,366.0
2010-10-25,411.0
2010-11-01,335.0
2010-11-08,335.0
2010-11-15,447.0
2010-11-22,356.0
2010-11-29,395.0
2010-12-06,423.0
2010-12-13,406.0
2010-12-20,389.0
2010-12-27,279.0
2011-01-03,290.0
2011-01-10,332.0
2011-01-17,392.0
2011-01-24,468.0
2011-01-31,457.0
2011-02-07,402.0
2011-02-14,471.0
2011-02-21,395.0
2011-02-28,367.0
2011-03-07,461.0
2011-03-14,400.0
2011-03-21,383.0
2011-03-28,392.0
2011-04-04,337.0
2011-04-11,366.0
2011-04-18,340.0
2011-04-25,348.0
2011-05-02,343.0
2011-05-09,429.0
2011-05-16,381.0
2011-05-23,333.0
2011-05-30,346.0
2011-06-06,308.0
2011-06-13,321.0
2011-06-20,315.0
2011-06-27,352.0
2011-07-04,264.0
2011-07-11,266.0
2011-07-18,246.0
2011-07-25,283.0
2011-08-01,338.0
2011-08-08,328.0
2011-08-15,318.0
2011-08-22,268.0
2011-08-29,264.0
2011-09-05,220.0
2011-09-12,283.0
2011-09-19,230.0
2011-09-26,278.0
2011-10-03,298.0
2011-10-10,438.0
2011-10-17,383.0
2011-10-24,273.0
2011-10-31,321.0
2011-11-07,399.0
2011-11-14,397.0
2011-11-21,426.0
2011-11-28,429.0
2011-12-05,328.0
2011-12-12,355.0
2011-12-19,315.0
2011-12-26,157.0
2012-01-02,292.0
2012-01-09,470.0
2012-01-16,522.0
2012-01-23,341.0
2012-01-30,396.0
2012-02-06,369.0
2012-02-13,434.0
2012-02-20,371.0
2012-02-27,395.0
2012-03-05,525.0
2012-03-12,491.0
2012-03-19,519.0
2012-03-26,759.0
2012-04-02,494.0
2012-04-09,354.0
2012-04-16,394.0
2012-04-23,408.0
2012-04-30,315.0
2012-05-07,370.0
2012-05-14,375.0
2012-05-21,609.0
2012-05-28,349.0
2012-06-04,325.0
2012-06-11,294.0
2012-06-18,325.0
2012-06-25,319.0
2012-07-02,297.0
2012-07-09,333.0
2012-07-16,250.0
2012-07-23,344.0
2012-07-30,289.0
2012-08-06,272.0
2012-08-13,276.0
2012-08-20,296.0
2012-08-27,347.0
2012-09-03,361.0
2012-09-10,304.0
2012-09-17,387.0
2012-09-24,396.0
2012-10-01,427.0
2012-10-08,405.0
2012-10-15,367.0
2012-10-22,407.0
2012-10-29,442.0
2012-11-05,469.0
2012-11-12,422.0
2012-11-19,401.0
2012-11-26,368.0
2012-12-03,453.0
2012-12-10,437.0
2012-12-17,382.0
2012-12-24,308.0
2012-12-31,278.0
2013-01-07,420.0
2013-01-14,376.0
2013-01-21,358.0
2013-01-28,383.0
2013-02-04,465.0
2013-02-11,441.0
2013-02-18,525.0
2013-02-25,449.0
2013-03-04,430.0
2013-03-11,397.0
2013-03-18,312.0
2013-03-25,375.0
2013-04-01,277.0
2013-04-08,396.0
2013-04-15,423.0
2013-04-22,399.0
2013-04-29,575.0
2013-05-06,379.0
2013-05-13,364.0
2013-05-20,343.0
2013-05-27,358.0
2013-06-03,351.0
2013-06-10,329.0
2013-06-17,446.0
2013-06-24,443.0
2013-07-01,344.0
2013-07-08,356.0
2013-07-15,383.0
2013-07-22,410.0
2013-07-29,215.0
2013-08-05,274.0
2013-08-12,281.0
2013-08-19,283.0
2013-08-26,263.0
2013-09-02,235.0
2013-09-09,265.0
2013-09-16,300.0
2013-09-23,329.0
2013-09-30,307.0
2013-10-07,327.0
2013-10-14,342.0
2013-10-21,295.0
2013-10-28,297.0
2013-11-04,298.0
2013-11-11,351.0
2013-11-18,309.0
2013-11-25,293.0
2013-12-02,343.0
2013-12-09,326.0
2013-12-16,343.0
2013-12-23,454.0
2013-12-30,294.0
2014-01-06,264.0
2014-01-13,368.0
2014-01-20,421.0
2014-01-27,356.0
2014-02-03,415.0
2014-02-10,402.0
2014-02-17,298.0
2014-02-24,350.0
2014-03-03,322.0
2014-03-10,341.0
2014-03-17,334.0
2014-03-24,359.0
2014-03-31,316.0
2014-04-07,334.0
2014-04-14,450.0
2014-04-21,395.0
2014-04-28,426.0
2014-05-05,339.0
2014-05-12,387.0
2014-05-19,329.0
2014-05-26,332.0
2014-06-02,277.0
2014-06-09,317.0
2014-06-16,328.0
2014-06-23,311.0
2014-06-30,357.0
2014-07-07,299.0
2014-07-14,274.0
2014-07-21,308.0
2014-07-28,296.0
2014-08-04,257.0
2014-08-11,321.0
2014-08-18,430.0
2014-08-25,308.0
2014-09-01,263.0
2014-09-08,362.0
2014-09-15,344.0
2014-09-22,471.0
2014-09-29,375.0
2014-10-06,325.0
2014-10-13,351.0
2014-10-20,348.0
2014-10-27,315.0
2014-11-03,383.0
2014-11-10,378.0
2014-11-17,375.0
2014-11-24,327.0
2014-12-01,330.0
2014-12-08,389.0
2014-12-15,351.0
2014-12-22,294.0
2014-12-29,246.0
2015-01-05,255.0
2015-01-12,279.0
2015-01-19,299.0
2015-01-26,340.0
2015-02-02,319.0
2015-02-09,303.0
2015-02-16,302.0
2015-02-23,289.0
2015-03-02,318.0
2015-03-09,338.0
2015-03-16,334.0
2015-03-23,321.0
2015-03-30,119.0
