,pageviews
2007-12-10,210.0
2007-12-17,1329.0
2007-12-24,650.0
2007-12-31,330.0
2008-01-07,809.0
2008-01-14,1349.0
2008-01-21,1179.0
2008-01-28,1121.0
2008-02-04,1117.0
2008-02-11,1205.0
2008-02-18,1399.0
2008-02-25,1521.0
2008-03-03,1031.0
2008-03-10,1553.0
2008-03-17,1396.0
2008-03-24,1146.0
2008-03-31,1396.0
2008-04-07,1556.0
2008-04-14,1447.0
2008-04-21,1232.0
2008-04-28,1492.0
2008-05-05,1456.0
2008-05-12,1272.0
2008-05-19,1472.0
2008-05-26,1199.0
2008-06-02,938.0
2008-06-09,1045.0
2008-06-16,821.0
2008-06-23,702.0
2008-06-30,715.0
2008-07-07,522.0
2008-07-14,483.0
2008-07-21,
2008-07-28,
2008-08-04,329.0
2008-08-11,528.0
2008-08-18,554.0
2008-08-25,754.0
2008-09-01,818.0
2008-09-08,1244.0
2008-09-15,1795.0
2008-09-22,2042.0
2008-09-29,1658.0
2008-10-06,1559.0
2008-10-13,1271.0
2008-10-20,962.0
2008-10-27,468.0
2008-11-03,752.0
2008-11-10,859.0
2008-11-17,1576.0
2008-11-24,1632.0
2008-12-01,1191.0
2008-12-08,1637.0
2008-12-15,1472.0
2008-12-22,1103.0
2008-12-29,451.0
2009-01-05,859.0
2009-01-12,1746.0
2009-01-19,1568.0
2009-01-26,1710.0
2009-02-02,2021.0
2009-02-09,1900.0
2009-02-16,1653.0
2009-02-23,1795.0
2009-03-02,2096.0
2009-03-09,1997.0
2009-03-16,1982.0
2009-03-23,1812.0
2009-03-30,1846.0
2009-04-06,1648.0
2009-04-13,1348.0
2009-04-20,1322.0
2009-04-27,1499.0
2009-05-04,1509.0
2009-05-11,1500.0
2009-05-18,1748.0
2009-05-25,2210.0
2009-06-01,1655.0
2009-06-08,1413.0
2009-06-15,1221.0
2009-06-22,916.0
2009-06-29,825.0
2009-07-06,706.0
2009-07-13,796.0
2009-07-20,774.0
2009-07-27,805.0
2009-08-03,741.0
2009-08-10,736.0
2009-08-17,810.0
2009-08-24,827.0
2009-08-31,1070.0
2009-09-07,1463.0
2009-09-14,1842.0
2009-09-21,2042.0
2009-09-28,1024.0
2009-10-05,2071.0
2009-10-12,2207.0
2009-10-19,1284.0
2009-10-26,1920.0
2009-11-02,1952.0
2009-11-09,2486.0
2009-11-16,1742.0
2009-11-23,1745.0
2009-11-30,1552.0
2009-12-07,2295.0
2009-12-14,2395.0
2009-12-21,1568.0
2009-12-28,782.0
2010-01-04,1071.0
2010-01-11,2597.0
2010-01-18,2591.0
2010-01-25,2171.0
2010-02-01,2815.0
2010-02-08,2225.0
2010-02-15,2084.0
2010-02-22,2359.0
2010-03-01,2070.0
2010-03-08,2613.0
2010-03-15,2548.0
2010-03-22,2159.0
2010-03-29,2154.0
2010-04-05,1684.0
2010-04-12,1681.0
2010-04-19,2004.0
2010-04-26,2119.0
2010-05-03,2111.0
2010-05-10,1894.0
2010-05-17,1699.0
2010-05-24,1724.0
2010-05-31,1536.0
2010-06-07,1489.0
2010-06-14,828.0
2010-06-21,920.0
2010-06-28,610.0
2010-07-05,625.0
2010-07-12,312.0
2010-07-19,658.0
2010-07-26,919.0
2010-08-02,959.0
2010-08-09,984.0
2010-08-16,1004.0
2010-08-23,1106.0
2010-08-30,1330.0
2010-09-06,1629.0
2010-09-13,2061.0
2010-09-20,2383.0
2010-09-27,2398.0
2010-10-04,2454.0
2010-10-11,2644.0
2010-10-18,2719.0
2010-10-25,2171.0
2010-11-01,2000.0
2010-11-08,2352.0
2010-11-15,2334.0
2010-11-22,2450.0
2010-11-29,1953.0
2010-12-06,2388.0
2010-12-13,2652.0
2010-12-20,1868.0
2010-12-27,941.0
2011-01-03,1128.0
2011-01-10,2661.0
2011-01-17,2998.0
2011-01-24,3153.0
2011-01-31,2846.0
2011-02-07,2699.0
2011-02-14,2788.0
2011-02-21,2613.0
2011-02-28,2739.0
2011-03-07,3138.0
2011-03-14,2843.0
2011-03-21,2570.0
2011-03-28,2692.0
2011-04-04,2281.0
2011-04-11,1964.0
2011-04-18,1841.0
2011-04-25,1650.0
2011-05-02,2062.0
2011-05-09,2252.0
2011-05-16,2121.0
2011-05-23,2381.0
2011-05-30,2067.0
2011-06-06,1816.0
2011-06-13,1582.0
2011-06-20,1301.0
2011-06-27,1271.0
2011-07-04,1064.0
2011-07-11,1115.0
2011-07-18,1050.0
2011-07-25,1119.0
2011-08-01,1231.0
2011-08-08,1260.0
2011-08-15,1202.0
2011-08-22,1190.0
2011-08-29,1481.0
2011-09-05,1437.0
2011-09-12,2118.0
2011-09-19,2761.0
2011-09-26,2196.0
2011-10-03,2329.0
2011-10-10,2858.0
2011-10-17,2833.0
2011-10-24,2053.0
2011-10-31,2566.0
