,pageviews
2007-12-10,6.0
2007-12-17,44.0
2007-12-24,42.0
2007-12-31,50.0
2008-01-07,40.0
2008-01-14,46.0
2008-01-21,42.0
2008-01-28,56.0
2008-02-04,55.0
2008-02-11,49.0
2008-02-18,56.0
2008-02-25,48.0
2008-03-03,26.0
2008-03-10,51.0
2008-03-17,58.0
2008-03-24,64.0
2008-03-31,66.0
2008-04-07,63.0
2008-04-14,41.0
2008-04-21,49.0
2008-04-28,53.0
2008-05-05,53.0
2008-05-12,48.0
2008-05-19,69.0
2008-05-26,46.0
2008-06-02,28.0
2008-06-09,40.0
2008-06-16,58.0
2008-06-23,59.0
2008-06-30,43.0
2008-07-07,36.0
2008-07-14,27.0
2008-07-21,
2008-07-28,
2008-08-04,31.0
2008-08-11,31.0
2008-08-18,34.0
2008-08-25,44.0
2008-09-01,50.0
2008-09-08,50.0
2008-09-15,54.0
2008-09-22,53.0
2008-09-29,54.0
2008-10-06,55.0
2008-10-13,57.0
2008-10-20,60.0
2008-10-27,41.0
2008-11-03,39.0
2008-11-10,58.0
2008-11-17,62.0
2008-11-24,68.0
2008-12-01,62.0
2008-12-08,58.0
2008-12-15,53.0
2008-12-22,44.0
2008-12-29,43.0
2009-01-05,37.0
2009-01-12,38.0
2009-01-19,55.0
2009-01-26,39.0
2009-02-02,51.0
2009-02-09,44.0
2009-02-16,48.0
2009-02-23,65.0
2009-03-02,61.0
2009-03-09,60.0
2009-03-16,58.0
2009-03-23,51.0
2009-03-30,54.0
2009-04-06,43.0
2009-04-13,60.0
2009-04-20,57.0
2009-04-27,59.0
2009-05-04,70.0
2009-05-11,70.0
2009-05-18,63.0
2009-05-25,45.0
2009-06-01,47.0
2009-06-08,38.0
2009-06-15,29.0
2009-06-22,53.0
2009-06-29,34.0
2009-07-06,66.0
2009-07-13,59.0
2009-07-20,48.0
2009-07-27,44.0
2009-08-03,48.0
2009-08-10,44.0
2009-08-17,50.0
2009-08-24,55.0
2009-08-31,39.0
2009-09-07,44.0
2009-09-14,53.0
2009-09-21,60.0
2009-09-28,13.0
2009-10-05,63.0
2009-10-12,98.0
2009-10-19,39.0
2009-10-26,81.0
2009-11-02,67.0
2009-11-09,85.0
2009-11-16,89.0
2009-11-23,53.0
2009-11-30,73.0
2009-12-07,63.0
2009-12-14,46.0
2009-12-21,55.0
2009-12-28,40.0
2010-01-04,46.0
2010-01-11,62.0
2010-01-18,67.0
2010-01-25,50.0
2010-02-01,51.0
2010-02-08,62.0
2010-02-15,87.0
2010-02-22,55.0
2010-03-01,46.0
2010-03-08,79.0
2010-03-15,70.0
2010-03-22,77.0
2010-03-29,83.0
2010-04-05,64.0
2010-04-12,63.0
2010-04-19,81.0
2010-04-26,87.0
2010-05-03,61.0
2010-05-10,74.0
2010-05-17,118.0
2010-05-24,70.0
2010-05-31,74.0
2010-06-07,72.0
2010-06-14,39.0
2010-06-21,94.0
2010-06-28,38.0
2010-07-05,50.0
2010-07-12,34.0
2010-07-19,37.0
2010-07-26,68.0
2010-08-02,73.0
2010-08-09,76.0
2010-08-16,68.0
2010-08-23,67.0
2010-08-30,75.0
2010-09-06,66.0
2010-09-13,70.0
2010-09-20,71.0
2010-09-27,90.0
2010-10-04,69.0
2010-10-11,80.0
2010-10-18,119.0
2010-10-25,83.0
2010-11-01,80.0
2010-11-08,81.0
2010-11-15,81.0
2010-11-22,84.0
2010-11-29,104.0
2010-12-06,89.0
2010-12-13,89.0
2010-12-20,71.0
2010-12-27,62.0
2011-01-03,61.0
2011-01-10,69.0
2011-01-17,62.0
2011-01-24,83.0
2011-01-31,90.0
2011-02-07,101.0
2011-02-14,94.0
2011-02-21,81.0
2011-02-28,80.0
2011-03-07,80.0
2011-03-14,67.0
2011-03-21,65.0
2011-03-28,70.0
2011-04-04,65.0
2011-04-11,76.0
2011-04-18,1532.0
2011-04-25,241.0
2011-05-02,182.0
2011-05-09,176.0
2011-05-16,127.0
2011-05-23,113.0
2011-05-30,91.0
2011-06-06,123.0
2011-06-13,102.0
2011-06-20,86.0
2011-06-27,87.0
2011-07-04,104.0
2011-07-11,87.0
2011-07-18,84.0
2011-07-25,106.0
2011-08-01,83.0
2011-08-08,89.0
2011-08-15,74.0
2011-08-22,117.0
2011-08-29,106.0
2011-09-05,71.0
2011-09-12,70.0
2011-09-19,95.0
2011-09-26,104.0
2011-10-03,97.0
2011-10-10,111.0
2011-10-17,99.0
2011-10-24,74.0
2011-10-31,75.0
2011-11-07,93.0
2011-11-14,141.0
2011-11-21,123.0
2011-11-28,121.0
2011-12-05,127.0
2011-12-12,108.0
2011-12-19,105.0
2011-12-26,40.0
2012-01-02,99.0
2012-01-09,83.0
2012-01-16,77.0
2012-01-23,66.0
2012-01-30,111.0
2012-02-06,80.0
2012-02-13,78.0
2012-02-20,86.0
2012-02-27,113.0
2012-03-05,92.0
2012-03-12,86.0
2012-03-19,98.0
2012-03-26,83.0
2012-04-02,96.0
2012-04-09,99.0
2012-04-16,99.0
2012-04-23,74.0
2012-04-30,103.0
2012-05-07,102.0
2012-05-14,103.0
2012-05-21,87.0
2012-05-28,89.0
2012-06-04,95.0
2012-06-11,84.0
2012-06-18,111.0
2012-06-25,101.0
2012-07-02,104.0
2012-07-09,102.0
2012-07-16,94.0
2012-07-23,118.0
2012-07-30,78.0
2012-08-06,73.0
2012-08-13,88.0
2012-08-20,99.0
2012-08-27,96.0
2012-09-03,99.0
2012-09-10,79.0
2012-09-17,114.0
2012-09-24,90.0
2012-10-01,88.0
2012-10-08,94.0
2012-10-15,85.0
2012-10-22,89.0
2012-10-29,107.0
2012-11-05,86.0
2012-11-12,130.0
2012-11-19,118.0
2012-11-26,141.0
2012-12-03,113.0
2012-12-10,114.0
2012-12-17,118.0
2012-12-24,88.0
