,pageviews
2007-12-31,29
2008-01-31,47
2008-02-29,65
2008-03-31,43
2008-04-30,82
2008-05-31,99
2008-06-30,185
2008-07-31,49
2008-08-31,137
2008-09-30,2135
2008-10-31,4999
2008-11-30,5914
2008-12-31,4594
2009-01-31,8338
2009-02-28,6378
2009-03-31,8307
2009-04-30,5304
2009-05-31,5315
2009-06-30,10290
2009-07-31,11337
2009-08-31,15445
2009-09-30,19153
2009-10-31,17599
2009-11-30,17616
2009-12-31,13876
2010-01-31,20433
2010-02-28,19042
2010-03-31,19947
2010-04-30,18193
2010-05-31,16694
2010-06-30,27683
2010-07-31,14259
2010-08-31,24456
2010-09-30,32262
2010-10-31,27184
2010-11-30,25498
2010-12-31,20934
2011-01-31,29390
2011-02-28,24107
2011-03-31,23850
2011-04-30,18161
2011-05-31,19486
2011-06-30,43120
2011-07-31,19243
2011-08-31,23946
2011-09-30,26828
2011-10-31,24516
2011-11-30,25090
2011-12-31,17592
2012-01-31,25550
2012-02-29,24740
2012-03-31,21291
2012-04-30,16969
2012-05-31,18950
2012-06-30,50828
2012-07-31,21684
2012-08-31,22596
2012-09-30,27240
2012-10-31,24756
2012-11-30,24539
2012-12-31,18859
2013-01-31,28448
2013-02-28,28989
2013-03-31,26061
2013-04-30,23008
2013-05-31,22728
2013-06-30,54458
2013-07-31,22041
2013-08-31,18539
2013-09-30,20752
2013-10-31,23738
2013-11-30,23113
2013-12-31,15665
2014-01-31,18088
2014-02-28,16897
2014-03-31,15941
2014-04-30,12494
2014-05-31,12787
2014-06-30,16071
2014-07-31,12720
2014-08-31,14124
2014-09-30,16800
2014-10-31,13950
2014-11-30,15015
2014-12-31,11482
2015-01-31,15547
2015-02-28,12681
2015-03-31,17195
