,pageviews
2007-12-10,5.0
2007-12-17,8.0
2007-12-24,14.0
2007-12-31,2.0
2008-01-07,9.0
2008-01-14,11.0
2008-01-21,7.0
2008-01-28,14.0
2008-02-04,10.0
2008-02-11,17.0
2008-02-18,20.0
2008-02-25,16.0
2008-03-03,9.0
2008-03-10,9.0
2008-03-17,13.0
2008-03-24,12.0
2008-03-31,8.0
2008-04-07,16.0
2008-04-14,13.0
2008-04-21,12.0
2008-04-28,33.0
2008-05-05,21.0
2008-05-12,19.0
2008-05-19,23.0
2008-05-26,26.0
2008-06-02,18.0
2008-06-09,35.0
2008-06-16,67.0
2008-06-23,53.0
2008-06-30,30.0
2008-07-07,33.0
2008-07-14,16.0
2008-07-21,
2008-07-28,
2008-08-04,20.0
2008-08-11,41.0
2008-08-18,18.0
2008-08-25,35.0
2008-09-01,28.0
2008-09-08,34.0
2008-09-15,35.0
2008-09-22,700.0
2008-09-29,1204.0
2008-10-06,1157.0
2008-10-13,1145.0
2008-10-20,1190.0
2008-10-27,803.0
2008-11-03,1329.0
2008-11-10,1297.0
2008-11-17,1310.0
2008-11-24,1649.0
2008-12-01,1457.0
2008-12-08,1322.0
2008-12-15,1238.0
2008-12-22,987.0
2008-12-29,583.0
2009-01-05,782.0
2009-01-12,1409.0
2009-01-19,1354.0
2009-01-26,3128.0
2009-02-02,2296.0
2009-02-09,1557.0
2009-02-16,1643.0
2009-02-23,1564.0
2009-03-02,1593.0
2009-03-09,1597.0
2009-03-16,2228.0
2009-03-23,2254.0
2009-03-30,1581.0
2009-04-06,1380.0
2009-04-13,1127.0
2009-04-20,1218.0
2009-04-27,1244.0
2009-05-04,1188.0
2009-05-11,1235.0
2009-05-18,1364.0
2009-05-25,1129.0
2009-06-01,1303.0
2009-06-08,3728.0
2009-06-15,3057.0
2009-06-22,1883.0
2009-06-29,1114.0
2009-07-06,1261.0
2009-07-13,2878.0
2009-07-20,2733.0
2009-07-27,2926.0
2009-08-03,2840.0
2009-08-10,2908.0
2009-08-17,3294.0
2009-08-24,3594.0
2009-08-31,4521.0
2009-09-07,4622.0
2009-09-14,5578.0
2009-09-21,4914.0
2009-09-28,2448.0
2009-10-05,4577.0
2009-10-12,4425.0
2009-10-19,2376.0
2009-10-26,4508.0
2009-11-02,4290.0
2009-11-09,4836.0
2009-11-16,4524.0
2009-11-23,4012.0
2009-11-30,3258.0
2009-12-07,4022.0
2009-12-14,3954.0
2009-12-21,3128.0
2009-12-28,1861.0
2010-01-04,2475.0
2010-01-11,4631.0
2010-01-18,5476.0
2010-01-25,4071.0
2010-02-01,5561.0
2010-02-08,5039.0
2010-02-15,4646.0
2010-02-22,5102.0
2010-03-01,4038.0
2010-03-08,4962.0
2010-03-15,4679.0
2010-03-22,4288.0
2010-03-29,4160.0
2010-04-05,3605.0
2010-04-12,4031.0
2010-04-19,4513.0
2010-04-26,4462.0
2010-05-03,4327.0
2010-05-10,4086.0
2010-05-17,3703.0
2010-05-24,3858.0
2010-05-31,3507.0
2010-06-07,3580.0
2010-06-14,2747.0
2010-06-21,14904.0
2010-06-28,5052.0
2010-07-05,3431.0
2010-07-12,1501.0
2010-07-19,3162.0
2010-07-26,4363.0
2010-08-02,4546.0
2010-08-09,5115.0
2010-08-16,5065.0
2010-08-23,5275.0
2010-08-30,6470.0
2010-09-06,6956.0
2010-09-13,8250.0
2010-09-20,7763.0
2010-09-27,6952.0
2010-10-04,6953.0
2010-10-11,6287.0
2010-10-18,6412.0
2010-10-25,6167.0
2010-11-01,5764.0
2010-11-08,6092.0
2010-11-15,5977.0
2010-11-22,6190.0
2010-11-29,5297.0
2010-12-06,5859.0
2010-12-13,6143.0
2010-12-20,4955.0
2010-12-27,3133.0
2011-01-03,3707.0
2011-01-10,6688.0
2011-01-17,6613.0
2011-01-24,7617.0
2011-01-31,6680.0
2011-02-07,6158.0
2011-02-14,6193.0
2011-02-21,5871.0
2011-02-28,5885.0
2011-03-07,5962.0
2011-03-14,5626.0
2011-03-21,5083.0
2011-03-28,4776.0
2011-04-04,4319.0
2011-04-11,4685.0
2011-04-18,4396.0
2011-04-25,4020.0
2011-05-02,4315.0
2011-05-09,4476.0
2011-05-16,4497.0
2011-05-23,4654.0
2011-05-30,4018.0
2011-06-06,5951.0
2011-06-13,18300.0
2011-06-20,10151.0
2011-06-27,6745.0
2011-07-04,5005.0
2011-07-11,4618.0
2011-07-18,4289.0
2011-07-25,4436.0
2011-08-01,4214.0
2011-08-08,4652.0
2011-08-15,4419.0
2011-08-22,5097.0
2011-08-29,6832.0
2011-09-05,5149.0
2011-09-12,7357.0
2011-09-19,6754.0
2011-09-26,6326.0
2011-10-03,5828.0
2011-10-10,5421.0
2011-10-17,6553.0
2011-10-24,4557.0
2011-10-31,5669.0
2011-11-07,5845.0
2011-11-14,5802.0
2011-11-21,6267.0
2011-11-28,5251.0
2011-12-05,5676.0
2011-12-12,5424.0
2011-12-19,4888.0
2011-12-26,1657.0
2012-01-02,2757.0
2012-01-09,5717.0
2012-01-16,5666.0
2012-01-23,5690.0
2012-01-30,6588.0
2012-02-06,6235.0
2012-02-13,6302.0
2012-02-20,5400.0
2012-02-27,5625.0
2012-03-05,5965.0
2012-03-12,5480.0
2012-03-19,4949.0
2012-03-26,4148.0
2012-04-02,3939.0
2012-04-09,3549.0
2012-04-16,4188.0
2012-04-23,4477.0
2012-04-30,3747.0
2012-05-07,4201.0
2012-05-14,4124.0
2012-05-21,4311.0
2012-05-28,4327.0
2012-06-04,8260.0
2012-06-11,20526.0
2012-06-18,11239.0
2012-06-25,8423.0
2012-07-02,6135.0
2012-07-09,5031.0
2012-07-16,4735.0
2012-07-23,4745.0
2012-07-30,4695.0
2012-08-06,4189.0
2012-08-13,4236.0
2012-08-20,4687.0
2012-08-27,5916.0
2012-09-03,6337.0
2012-09-10,7084.0
2012-09-17,6641.0
2012-09-24,6473.0
2012-10-01,5878.0
2012-10-08,5975.0
2012-10-15,5768.0
2012-10-22,5583.0
2012-10-29,5063.0
2012-11-05,5156.0
2012-11-12,6054.0
2012-11-19,6089.0
2012-11-26,5227.0
2012-12-03,5555.0
2012-12-10,5486.0
2012-12-17,5029.0
2012-12-24,3486.0
2012-12-31,2788.0
2013-01-07,4733.0
2013-01-14,6554.0
2013-01-21,7272.0
2013-01-28,6519.0
2013-02-04,6967.0
2013-02-11,6936.0
2013-02-18,7087.0
2013-02-25,7486.0
2013-03-04,7510.0
2013-03-11,6580.0
2013-03-18,5933.0
2013-03-25,5745.0
2013-04-01,4842.0
2013-04-08,5486.0
2013-04-15,5322.0
2013-04-22,5133.0
2013-04-29,5537.0
2013-05-06,5120.0
2013-05-13,5046.0
2013-05-20,5215.0
2013-05-27,5036.0
2013-06-03,9323.0
2013-06-10,21322.0
2013-06-17,11615.0
2013-06-24,9206.0
2013-07-01,7165.0
2013-07-08,6170.0
2013-07-15,5337.0
2013-07-22,5069.0
2013-07-29,3245.0
2013-08-05,4189.0
2013-08-12,3832.0
2013-08-19,4269.0
2013-08-26,4105.0
2013-09-02,4544.0
2013-09-09,4994.0
2013-09-16,5114.0
2013-09-23,4797.0
2013-09-30,4669.0
2013-10-07,5301.0
2013-10-14,5008.0
2013-10-21,5421.0
2013-10-28,5635.0
2013-11-04,5142.0
2013-11-11,5620.0
2013-11-18,5732.0
2013-11-25,5421.0
2013-12-02,5204.0
2013-12-09,5508.0
2013-12-16,3954.0
2013-12-23,2462.0
2013-12-30,1829.0
2014-01-06,1713.0
2014-01-13,4471.0
2014-01-20,4974.0
2014-01-27,4820.0
2014-02-03,4083.0
2014-02-10,4226.0
2014-02-17,4095.0
2014-02-24,4142.0
2014-03-03,4355.0
2014-03-10,4242.0
2014-03-17,3691.0
2014-03-24,3261.0
2014-03-31,3132.0
2014-04-07,3159.0
2014-04-14,2891.0
2014-04-21,2584.0
2014-04-28,2974.0
2014-05-05,2772.0
2014-05-12,2754.0
2014-05-19,3116.0
2014-05-26,2854.0
2014-06-02,3160.0
2014-06-09,3938.0
2014-06-16,4011.0
2014-06-23,3765.0
2014-06-30,3374.0
2014-07-07,3085.0
2014-07-14,2829.0
2014-07-21,2884.0
2014-07-28,2708.0
2014-08-04,2712.0
2014-08-11,3150.0
2014-08-18,3315.0
2014-08-25,3627.0
2014-09-01,3090.0
2014-09-08,4356.0
2014-09-15,4101.0
2014-09-22,3689.0
2014-09-29,3505.0
2014-10-06,3231.0
2014-10-13,3571.0
2014-10-20,3113.0
2014-10-27,2750.0
2014-11-03,3298.0
2014-11-10,3894.0
2014-11-17,3986.0
2014-11-24,3169.0
2014-12-01,3162.0
2014-12-08,3198.0
2014-12-15,2968.0
2014-12-22,2580.0
2014-12-29,1682.0
2015-01-05,2147.0
2015-01-12,3715.0
2015-01-19,3598.0
2015-01-26,3960.0
2015-02-02,3491.0
2015-02-09,3379.0
2015-02-16,3031.0
2015-02-23,3063.0
2015-03-02,3309.0
2015-03-09,9708.0
2015-03-16,2744.0
2015-03-23,2812.0
2015-03-30,904.0
