,pageviews
2007-12-20,10
2007-12-21,4
2007-12-22,5
2007-12-23,9
2007-12-24,7
2007-12-25,4
2007-12-26,8
2007-12-27,4
2007-12-28,3
2007-12-29,6
2007-12-19,10
2007-12-18,13
2007-12-31,4
2007-12-30,10
2007-12-15,6
2007-12-14,15
2007-12-17,14
2007-12-16,9
2007-12-11,10
2007-12-10,6
2007-12-13,7
2007-12-12,12
2008-01-30,14
2008-01-16,15
2008-01-17,10
2008-01-14,11
2008-01-15,14
2008-01-12,8
2008-01-13,7
2008-01-10,12
2008-01-11,9
2008-01-18,14
2008-01-19,20
2008-01-29,22
2008-01-28,18
2008-01-27,11
2008-01-26,12
2008-01-25,6
2008-01-24,11
2008-01-23,23
2008-01-22,8
2008-01-21,13
2008-01-20,4
2008-01-05,8
2008-01-04,16
2008-01-07,8
2008-01-06,5
2008-01-01,9
2008-01-03,19
2008-01-02,13
2008-01-09,8
2008-01-08,11
2008-02-28,0
2008-02-26,30
2008-02-29,14
2008-02-01,17
2008-02-02,13
2008-02-03,6
2008-02-04,11
2008-02-05,36
2008-02-06,12
2008-02-07,14
2008-02-08,10
2008-02-09,14
2008-02-24,14
2008-02-25,15
2008-02-22,14
2008-02-23,7
2008-02-20,9
2008-02-21,12
2008-02-27,13
2008-02-17,17
2008-02-16,4
2008-02-15,14
2008-02-14,17
2008-02-13,19
2008-02-12,18
2008-02-11,13
2008-02-10,11
2008-02-19,18
2008-02-18,9
2008-03-14,15
2008-03-15,6
2008-03-16,8
2008-03-17,16
2008-03-10,21
2008-03-11,30
2008-03-12,16
2008-03-13,11
2008-03-18,15
2008-03-19,15
2008-03-30,9
2008-03-09,11
2008-03-31,22
2008-03-03,0
2008-03-02,40
2008-03-01,0
2008-03-07,15
2008-03-06,12
2008-03-05,21
2008-03-04,0
2008-03-21,5
2008-03-20,15
2008-03-23,7
2008-03-22,13
2008-03-25,19
2008-03-24,7
2008-03-27,24
2008-03-26,22
2008-03-29,14
2008-03-28,20
2008-03-08,30
2008-04-30,18
2008-04-15,23
2008-04-14,15
2008-04-17,17
2008-04-16,19
2008-04-11,11
2008-04-10,12
2008-04-13,7
2008-04-12,24
2008-04-19,19
2008-04-18,26
2008-04-28,30
2008-04-29,18
2008-04-20,18
2008-04-21,12
2008-04-22,10
2008-04-23,15
2008-04-24,26
2008-04-25,8
2008-04-26,27
2008-04-27,19
2008-04-06,23
2008-04-07,8
2008-04-04,16
