,pageviews
2007-12-10,1.0
2007-12-17,487.0
2007-12-24,516.0
2007-12-31,526.0
2008-01-07,682.0
2008-01-14,958.0
2008-01-21,855.0
2008-01-28,963.0
2008-02-04,758.0
2008-02-11,1004.0
2008-02-18,898.0
2008-02-25,1074.0
2008-03-03,619.0
2008-03-10,741.0
2008-03-17,972.0
2008-03-24,869.0
2008-03-31,839.0
2008-04-07,781.0
2008-04-14,855.0
2008-04-21,763.0
2008-04-28,837.0
2008-05-05,799.0
2008-05-12,800.0
2008-05-19,815.0
2008-05-26,1025.0
2008-06-02,571.0
2008-06-09,800.0
2008-06-16,835.0
2008-06-23,836.0
2008-06-30,894.0
2008-07-07,623.0
2008-07-14,460.0
2008-07-21,
2008-07-28,
2008-08-04,349.0
2008-08-11,572.0
2008-08-18,744.0
2008-08-25,602.0
2008-09-01,723.0
2008-09-08,896.0
2008-09-15,820.0
2008-09-22,870.0
2008-09-29,894.0
2008-10-06,754.0
2008-10-13,841.0
2008-10-20,988.0
2008-10-27,516.0
2008-11-03,787.0
2008-11-10,779.0
2008-11-17,961.0
2008-11-24,682.0
2008-12-01,803.0
2008-12-08,749.0
2008-12-15,506.0
2008-12-22,479.0
2008-12-29,267.0
2009-01-05,371.0
2009-01-12,606.0
2009-01-19,612.0
2009-01-26,572.0
2009-02-02,802.0
2009-02-09,590.0
2009-02-16,622.0
2009-02-23,643.0
2009-03-02,687.0
2009-03-09,608.0
2009-03-16,537.0
2009-03-23,545.0
2009-03-30,623.0
2009-04-06,592.0
2009-04-13,516.0
2009-04-20,406.0
2009-04-27,500.0
2009-05-04,536.0
2009-05-11,510.0
2009-05-18,585.0
2009-05-25,510.0
2009-06-01,463.0
2009-06-08,429.0
2009-06-15,494.0
2009-06-22,512.0
2009-06-29,416.0
2009-07-06,377.0
2009-07-13,393.0
2009-07-20,375.0
2009-07-27,457.0
2009-08-03,412.0
2009-08-10,568.0
2009-08-17,384.0
2009-08-24,432.0
2009-08-31,565.0
2009-09-07,461.0
2009-09-14,572.0
2009-09-21,624.0
2009-09-28,273.0
2009-10-05,690.0
2009-10-12,695.0
2009-10-19,287.0
2009-10-26,567.0
2009-11-02,499.0
2009-11-09,722.0
2009-11-16,579.0
2009-11-23,483.0
2009-11-30,429.0
2009-12-07,495.0
2009-12-14,596.0
2009-12-21,468.0
2009-12-28,301.0
2010-01-04,497.0
2010-01-11,477.0
2010-01-18,509.0
2010-01-25,681.0
2010-02-01,651.0
2010-02-08,362.0
2010-02-15,356.0
2010-02-22,403.0
2010-03-01,493.0
2010-03-08,511.0
2010-03-15,477.0
2010-03-22,448.0
2010-03-29,328.0
2010-04-05,347.0
2010-04-12,364.0
2010-04-19,419.0
2010-04-26,458.0
2010-05-03,360.0
2010-05-10,429.0
2010-05-17,333.0
2010-05-24,453.0
2010-05-31,344.0
2010-06-07,332.0
2010-06-14,279.0
2010-06-21,309.0
2010-06-28,193.0
2010-07-05,336.0
2010-07-12,63.0
2010-07-19,265.0
2010-07-26,295.0
2010-08-02,370.0
2010-08-09,307.0
2010-08-16,315.0
2010-08-23,466.0
2010-08-30,455.0
2010-09-06,370.0
2010-09-13,545.0
2010-09-20,331.0
2010-09-27,376.0
2010-10-04,363.0
2010-10-11,409.0
2010-10-18,477.0
2010-10-25,410.0
2010-11-01,370.0
2010-11-08,407.0
2010-11-15,453.0
2010-11-22,393.0
2010-11-29,361.0
2010-12-06,370.0
2010-12-13,482.0
2010-12-20,360.0
2010-12-27,220.0
2011-01-03,245.0
2011-01-10,388.0
2011-01-17,347.0
2011-01-24,483.0
2011-01-31,373.0
2011-02-07,430.0
2011-02-14,387.0
2011-02-21,446.0
2011-02-28,458.0
2011-03-07,430.0
2011-03-14,403.0
2011-03-21,318.0
2011-03-28,409.0
2011-04-04,342.0
2011-04-11,362.0
2011-04-18,387.0
2011-04-25,304.0
2011-05-02,317.0
2011-05-09,345.0
2011-05-16,325.0
2011-05-23,325.0
2011-05-30,410.0
2011-06-06,388.0
2011-06-13,291.0
2011-06-20,435.0
2011-06-27,340.0
2011-07-04,361.0
2011-07-11,286.0
2011-07-18,263.0
2011-07-25,264.0
2011-08-01,330.0
2011-08-08,287.0
2011-08-15,266.0
2011-08-22,293.0
2011-08-29,527.0
2011-09-05,236.0
2011-09-12,236.0
2011-09-19,253.0
2011-09-26,277.0
2011-10-03,304.0
2011-10-10,415.0
2011-10-17,296.0
2011-10-24,228.0
2011-10-31,259.0
2011-11-07,378.0
2011-11-14,330.0
2011-11-21,395.0
2011-11-28,312.0
2011-12-05,314.0
2011-12-12,394.0
2011-12-19,357.0
2011-12-26,123.0
2012-01-02,260.0
2012-01-09,307.0
2012-01-16,316.0
2012-01-23,288.0
2012-01-30,366.0
2012-02-06,338.0
2012-02-13,355.0
2012-02-20,407.0
2012-02-27,375.0
2012-03-05,379.0
2012-03-12,278.0
2012-03-19,324.0
2012-03-26,309.0
2012-04-02,412.0
2012-04-09,280.0
2012-04-16,271.0
2012-04-23,273.0
2012-04-30,251.0
2012-05-07,272.0
2012-05-14,334.0
2012-05-21,266.0
2012-05-28,297.0
2012-06-04,308.0
2012-06-11,285.0
2012-06-18,290.0
2012-06-25,266.0
2012-07-02,318.0
2012-07-09,236.0
2012-07-16,250.0
2012-07-23,222.0
2012-07-30,190.0
2012-08-06,221.0
2012-08-13,416.0
2012-08-20,251.0
2012-08-27,277.0
2012-09-03,209.0
2012-09-10,296.0
2012-09-17,288.0
2012-09-24,269.0
2012-10-01,209.0
2012-10-08,332.0
2012-10-15,340.0
2012-10-22,318.0
2012-10-29,295.0
2012-11-05,275.0
2012-11-12,253.0
2012-11-19,252.0
2012-11-26,367.0
2012-12-03,276.0
2012-12-10,261.0
2012-12-17,234.0
2012-12-24,205.0
2012-12-31,179.0
2013-01-07,185.0
2013-01-14,225.0
2013-01-21,250.0
2013-01-28,316.0
2013-02-04,304.0
2013-02-11,265.0
2013-02-18,247.0
2013-02-25,266.0
2013-03-04,268.0
2013-03-11,251.0
2013-03-18,202.0
2013-03-25,223.0
2013-04-01,245.0
2013-04-08,187.0
2013-04-15,329.0
2013-04-22,279.0
2013-04-29,411.0
2013-05-06,313.0
2013-05-13,345.0
