,pageviews
2007-12-20,22
2007-12-21,34
2007-12-22,23
2007-12-23,13
2007-12-24,35
2007-12-25,21
2007-12-26,22
2007-12-27,17
2007-12-28,24
2007-12-29,22
2007-12-19,61
2007-12-18,34
2007-12-31,21
2007-12-30,14
2007-12-15,20
2007-12-14,38
2007-12-17,44
2007-12-16,19
2007-12-11,48
2007-12-10,55
2007-12-13,40
2007-12-12,53
2008-01-30,51
2008-01-16,66
2008-01-17,52
2008-01-14,34
2008-01-15,51
2008-01-12,23
2008-01-13,33
2008-01-10,34
2008-01-11,42
2008-01-18,35
2008-01-19,38
2008-01-29,44
2008-01-28,37
2008-01-27,36
2008-01-26,28
2008-01-25,38
2008-01-24,41
2008-01-23,37
2008-01-22,32
2008-01-21,65
2008-01-20,30
2008-01-05,24
2008-01-04,22
2008-01-07,26
2008-01-06,21
2008-01-01,26
2008-01-03,52
2008-01-02,37
2008-01-09,34
2008-01-08,41
2008-02-28,0
2008-02-26,50
2008-02-29,38
2008-02-01,40
2008-02-02,27
2008-02-03,29
2008-02-04,28
2008-02-05,42
2008-02-06,57
2008-02-07,59
2008-02-08,38
2008-02-09,27
2008-02-24,27
2008-02-25,29
2008-02-22,45
2008-02-23,21
2008-02-20,33
2008-02-21,47
2008-02-27,34
2008-02-17,24
2008-02-16,28
2008-02-15,32
2008-02-14,66
2008-02-13,59
2008-02-12,50
2008-02-11,52
2008-02-10,20
2008-02-19,45
2008-02-18,46
2008-03-14,44
2008-03-15,26
2008-03-16,32
2008-03-17,46
2008-03-10,56
2008-03-11,48
2008-03-12,61
2008-03-13,53
2008-03-18,31
2008-03-19,42
2008-03-30,30
2008-03-09,28
2008-03-31,40
2008-03-03,0
2008-03-02,39
2008-03-01,0
2008-03-07,35
2008-03-06,40
2008-03-05,42
2008-03-04,0
2008-03-21,29
2008-03-20,47
2008-03-23,22
2008-03-22,31
2008-03-25,53
2008-03-24,37
2008-03-27,38
2008-03-26,34
2008-03-29,36
2008-03-28,53
2008-03-08,26
2008-04-30,68
2008-04-15,75
2008-04-14,63
2008-04-17,46
2008-04-16,50
2008-04-11,57
2008-04-10,65
2008-04-13,42
2008-04-12,35
2008-04-19,36
2008-04-18,39
2008-04-28,46
2008-04-29,57
2008-04-20,39
2008-04-21,53
2008-04-22,51
2008-04-23,66
2008-04-24,67
2008-04-25,49
2008-04-26,28
2008-04-27,48
2008-04-06,25
2008-04-07,64
2008-04-04,31
2008-04-05,27
2008-04-02,41
2008-04-03,37
2008-04-01,54
2008-04-08,56
2008-04-09,41
2008-05-12,29
2008-05-13,27
2008-05-10,43
2008-05-11,21
2008-05-16,40
2008-05-31,19
2008-05-14,34
2008-05-15,30
2008-05-18,30
2008-05-19,40
2008-05-29,43
2008-05-28,33
2008-05-23,34
2008-05-22,27
2008-05-21,18
2008-05-20,37
2008-05-27,20
2008-05-26,28
2008-05-25,18
2008-05-24,32
2008-05-01,45
2008-05-03,34
2008-05-02,57
2008-05-05,54
2008-05-04,30
2008-05-07,60
2008-05-06,41
2008-05-09,24
2008-05-08,53
2008-05-17,16
2008-05-30,26
2008-06-21,25
2008-06-27,47
2008-06-24,39
2008-06-25,67
2008-06-13,35
2008-06-12,41
2008-06-11,41
2008-06-10,65
2008-06-17,49
2008-06-16,23
2008-06-15,20
2008-06-14,26
2008-06-30,27
2008-06-19,27
2008-06-18,31
2008-06-28,34
2008-06-29,21
2008-06-08,13
2008-06-09,21
2008-06-04,37
2008-06-05,32
2008-06-06,44
2008-06-07,27
2008-06-26,40
2008-06-01,0
2008-06-02,0
2008-06-03,26
2008-06-22,20
2008-06-23,19
2008-06-20,28
2008-07-10,55
2008-07-11,32
2008-07-12,23
2008-07-07,70
2008-07-06,31
2008-07-05,15
2008-07-04,34
2008-07-03,28
2008-07-02,36
2008-07-09,51
2008-07-08,43
2008-08-04,28
2008-08-31,23
2008-08-30,22
2008-08-11,37
2008-08-10,19
2008-08-13,34
2008-08-12,29
2008-08-15,45
2008-08-14,29
2008-08-17,17
2008-08-16,17
2008-08-19,47
2008-08-18,24
2008-08-05,42
2008-08-02,22
2008-08-03,39
2008-08-26,23
2008-08-01,38
2008-08-06,35
2008-08-21,41
2008-08-22,24
2008-08-23,17
