,pageviews
2007-12-31,680
2008-01-31,1130
2008-02-29,1093
2008-03-31,1099
2008-04-30,1456
2008-05-31,1043
2008-06-30,925
2008-07-31,418
2008-08-31,902
2008-09-30,1157
2008-10-31,1615
2008-11-30,1773
2008-12-31,1227
2009-01-31,1269
2009-02-28,1291
2009-03-31,1218
2009-04-30,1159
2009-05-31,1174
2009-06-30,1033
2009-07-31,2049
2009-08-31,1999
2009-09-30,2011
2009-10-31,2263
2009-11-30,2662
2009-12-31,2404
2010-01-31,2365
2010-02-28,2273
2010-03-31,3009
2010-04-30,3479
2010-05-31,3100
2010-06-30,2264
2010-07-31,1994
2010-08-31,3283
2010-09-30,3490
2010-10-31,3787
2010-11-30,4079
2010-12-31,3928
2011-01-31,3901
2011-02-28,4081
2011-03-31,4582
2011-04-30,4384
2011-05-31,4347
2011-06-30,3735
2011-07-31,3163
2011-08-31,2958
2011-09-30,2838
2011-10-31,4362
2011-11-30,5089
2011-12-31,4306
2012-01-31,4734
2012-02-29,4372
2012-03-31,4483
2012-04-30,4102
2012-05-31,4459
2012-06-30,3496
2012-07-31,3273
2012-08-31,2999
2012-09-30,3576
2012-10-31,5085
2012-11-30,5079
2012-12-31,4702
2013-01-31,5039
2013-02-28,5472
2013-03-31,5925
2013-04-30,6436
2013-05-31,5939
2013-06-30,4766
2013-07-31,3617
2013-08-31,3414
2013-09-30,4078
2013-10-31,4268
2013-11-30,3860
2013-12-31,3308
2014-01-31,3254
2014-02-28,3323
2014-03-31,4560
2014-04-30,4299
2014-05-31,4587
2014-06-30,3353
2014-07-31,3121
2014-08-31,2869
2014-09-30,3341
2014-10-31,3999
2014-11-30,4343
2014-12-31,4195
2015-01-31,4186
2015-02-28,3631
2015-03-31,3641
