,pageviews
2007-12-20,11
2007-12-21,23
2007-12-22,8
2007-12-23,6
2007-12-24,14
2007-12-25,9
2007-12-26,17
2007-12-27,17
2007-12-28,13
2007-12-29,15
2007-12-19,22
2007-12-18,19
2007-12-31,11
2007-12-30,11
2007-12-15,11
2007-12-14,10
2007-12-17,16
2007-12-16,15
2007-12-11,32
2007-12-10,16
2007-12-13,10
2007-12-12,6
2008-01-30,34
2008-01-16,22
2008-01-17,17
2008-01-14,32
2008-01-15,31
2008-01-12,12
2008-01-13,12
2008-01-10,22
2008-01-11,22
2008-01-18,33
2008-01-19,9
2008-01-29,19
2008-01-28,16
2008-01-27,21
2008-01-26,37
2008-01-25,21
2008-01-24,17
2008-01-23,24
2008-01-22,16
2008-01-21,12
2008-01-20,20
2008-01-05,12
2008-01-04,18
2008-01-07,18
2008-01-06,12
2008-01-01,14
2008-01-03,17
2008-01-02,12
2008-01-09,38
2008-01-08,23
2008-02-28,0
2008-02-26,24
2008-02-29,20
2008-02-01,20
2008-02-02,11
2008-02-03,19
2008-02-04,15
2008-02-05,13
2008-02-06,35
2008-02-07,26
2008-02-08,12
2008-02-09,14
2008-02-24,15
2008-02-25,21
2008-02-22,30
2008-02-23,9
2008-02-20,19
2008-02-21,22
2008-02-27,28
2008-02-17,19
2008-02-16,8
2008-02-15,13
2008-02-14,18
2008-02-13,10
2008-02-12,15
2008-02-11,12
2008-02-10,17
2008-02-19,11
2008-02-18,36
2008-03-14,13
2008-03-15,13
2008-03-16,12
2008-03-17,15
2008-03-10,22
2008-03-11,24
2008-03-12,24
2008-03-13,22
2008-03-18,18
2008-03-19,23
2008-03-30,13
2008-03-09,18
2008-03-31,21
2008-03-03,0
2008-03-02,10
2008-03-01,0
2008-03-07,22
2008-03-06,20
2008-03-05,20
2008-03-04,0
2008-03-21,17
2008-03-20,21
2008-03-23,14
2008-03-22,16
2008-03-25,20
2008-03-24,22
2008-03-27,16
2008-03-26,27
2008-03-29,18
2008-03-28,7
2008-03-08,17
2008-04-30,24
2008-04-15,20
2008-04-14,23
2008-04-17,24
2008-04-16,16
2008-04-11,22
2008-04-10,16
2008-04-13,29
2008-04-12,9
2008-04-19,17
2008-04-18,26
2008-04-28,31
2008-04-29,32
2008-04-20,17
2008-04-21,27
2008-04-22,17
2008-04-23,17
2008-04-24,33
2008-04-25,21
2008-04-26,19
2008-04-27,16
2008-04-06,17
2008-04-07,21
2008-04-04,12
2008-04-05,12
2008-04-02,16
2008-04-03,17
2008-04-01,21
2008-04-08,19
2008-04-09,24
2008-05-12,16
2008-05-13,22
2008-05-10,13
2008-05-11,14
2008-05-16,23
2008-05-31,9
2008-05-14,24
2008-05-15,20
2008-05-18,24
2008-05-19,17
2008-05-29,8
2008-05-28,16
2008-05-23,12
2008-05-22,18
2008-05-21,15
2008-05-20,15
2008-05-27,11
2008-05-26,15
2008-05-25,21
2008-05-24,15
2008-05-01,26
2008-05-03,9
2008-05-02,45
2008-05-05,15
2008-05-04,28
2008-05-07,18
2008-05-06,28
2008-05-09,20
2008-05-08,25
2008-05-17,10
2008-05-30,21
2008-06-21,13
2008-06-27,12
2008-06-24,18
2008-06-25,13
2008-06-13,17
2008-06-12,21
2008-06-11,20
2008-06-10,19
2008-06-17,21
2008-06-16,14
2008-06-15,20
2008-06-14,9
2008-06-30,12
2008-06-19,18
2008-06-18,20
2008-06-28,18
2008-06-29,15
2008-06-08,13
2008-06-09,5
2008-06-04,18
2008-06-05,11
2008-06-06,35
2008-06-07,17
2008-06-26,15
2008-06-01,0
2008-06-02,0
2008-06-03,11
2008-06-22,10
2008-06-23,11
2008-06-20,13
2008-07-10,13
2008-07-11,13
2008-07-12,10
2008-07-07,15
2008-07-06,13
2008-07-05,15
2008-07-04,33
2008-07-03,11
2008-07-02,12
2008-07-09,32
2008-07-08,15
2008-08-04,27
2008-08-31,14
2008-08-30,18
2008-08-11,15
2008-08-10,30
2008-08-13,16
2008-08-12,23
2008-08-15,24
2008-08-14,20
2008-08-17,27
2008-08-16,11
2008-08-19,18
2008-08-18,17
2008-08-05,24
2008-08-02,18
2008-08-03,19
2008-08-26,16
2008-08-01,29
2008-08-06,29
2008-08-21,21
2008-08-22,16
2008-08-23,13
2008-08-08,30
2008-08-09,12
2008-08-28,21
2008-08-29,27
2008-08-24,16
2008-08-25,15
2008-08-27,24
2008-08-20,12
2008-08-07,29
2008-09-02,23
2008-09-27,16
2008-09-26,13
2008-09-25,27
2008-09-24,26
2008-09-09,18
2008-09-22,22
2008-09-21,18
2008-09-20,15
2008-09-05,30
2008-09-23,28
2008-09-07,19
2008-09-06,11
2008-09-01,18
2008-09-03,18
2008-09-28,21
2008-09-08,20
2008-09-04,51
2008-09-30,29
2008-09-29,20
2008-09-18,30
2008-09-19,26
2008-09-16,23
2008-09-17,17
2008-09-14,16
2008-09-15,16
2008-09-12,13
2008-09-13,15
2008-09-10,20
2008-09-11,29
2008-10-09,20
2008-10-08,18
2008-10-03,22
2008-10-02,18
2008-10-01,29
2008-10-07,15
2008-10-06,28
2008-10-05,29
2008-10-04,18
2008-10-21,0
2008-10-20,23
2008-10-23,22
2008-10-22,0
2008-10-25,23
2008-10-24,13
2008-10-27,27
2008-10-26,14
2008-10-29,19
2008-10-28,19
2008-10-30,19
2008-10-31,22
2008-10-14,29
2008-10-15,18
2008-10-16,21
2008-10-17,11
2008-10-10,26
2008-10-11,18
2008-10-12,16
2008-10-13,29
2008-10-18,10
2008-10-19,39
2008-11-28,26
2008-11-07,22
2008-11-17,34
2008-11-16,26
2008-11-15,21
2008-11-14,34
2008-11-13,23
2008-11-12,26
2008-11-11,24
2008-11-10,23
2008-11-30,28
2008-11-19,25
2008-11-18,29
2008-11-26,24
2008-11-01,15
2008-11-02,16
2008-11-03,23
2008-11-04,21
2008-11-05,17
2008-11-06,29
2008-11-29,23
2008-11-08,28
2008-11-27,31
2008-11-24,38
2008-11-25,24
2008-11-22,16
2008-11-23,19
2008-11-20,43
2008-11-21,20
2008-11-09,23
2008-12-29,16
2008-12-28,11
2008-12-27,11
2008-12-26,18
2008-12-25,14
2008-12-24,26
2008-12-23,13
2008-12-22,39
2008-12-21,15
2008-12-20,11
2008-12-05,13
2008-12-04,39
2008-12-07,24
2008-12-06,10
2008-12-01,29
2008-12-03,36
2008-12-02,18
2008-12-09,24
2008-12-08,17
2008-12-30,14
2008-12-31,25
2008-12-16,21
2008-12-17,20
2008-12-14,17
2008-12-15,15
2008-12-12,17
2008-12-13,15
2008-12-10,15
2008-12-11,16
2008-12-18,17
2008-12-19,22
2009-01-29,19
2009-01-19,30
2009-01-18,26
2009-01-13,29
2009-01-12,28
2009-01-11,21
2009-01-10,22
2009-01-17,20
2009-01-16,19
2009-01-15,24
2009-01-14,22
2009-01-31,27
2009-01-30,19
2009-01-24,18
2009-01-22,28
2009-01-23,14
2009-01-20,14
2009-01-21,24
2009-01-27,22
2009-01-04,24
2009-01-05,15
2009-01-06,29
2009-01-07,27
2009-01-26,15
2009-01-01,7
2009-01-02,13
2009-01-25,23
2009-01-28,22
2009-01-03,26
2009-01-08,22
2009-01-09,15
2009-02-23,38
2009-02-08,17
2009-02-09,30
2009-02-22,25
2009-02-21,20
2009-02-20,29
2009-02-27,33
2009-02-26,31
2009-02-25,22
2009-02-24,27
2009-02-01,23
2009-02-03,19
2009-02-02,23
2009-02-05,25
2009-02-04,23
2009-02-07,18
2009-02-06,18
2009-02-28,26
2009-02-18,9
2009-02-19,21
2009-02-12,34
2009-02-13,20
2009-02-10,22
2009-02-11,30
2009-02-16,17
2009-02-17,36
2009-02-14,15
2009-02-15,18
2009-03-19,14
2009-03-18,24
2009-03-31,16
2009-03-30,16
2009-03-15,26
2009-03-14,21
2009-03-17,23
2009-03-16,24
2009-03-11,20
2009-03-10,34
2009-03-13,15
2009-03-12,24
2009-03-26,15
2009-03-27,14
2009-03-28,14
2009-03-29,15
2009-03-20,23
2009-03-21,18
2009-03-22,30
2009-03-23,26
2009-03-24,42
2009-03-25,22
2009-03-08,21
2009-03-09,22
2009-03-06,20
2009-03-07,13
2009-03-04,39
2009-03-05,29
2009-03-02,40
2009-03-03,44
2009-03-01,36
2009-04-09,22
2009-04-18,10
2009-04-19,16
2009-04-14,22
2009-04-15,27
2009-04-30,13
2009-04-17,11
2009-04-10,34
2009-04-11,44
2009-04-12,13
2009-04-13,25
2009-04-16,22
2009-04-03,14
2009-04-02,18
2009-04-01,19
2009-04-07,8
2009-04-06,32
2009-04-05,26
2009-04-04,15
2009-04-21,22
2009-04-20,8
2009-04-23,11
2009-04-22,18
2009-04-25,19
2009-04-24,16
2009-04-27,20
2009-04-26,31
2009-04-29,24
2009-04-28,33
2009-04-08,30
2009-05-08,13
2009-05-09,10
2009-05-01,25
2009-05-02,20
2009-05-03,33
2009-05-04,19
2009-05-05,28
2009-05-06,45
2009-05-07,23
2009-05-26,14
2009-05-27,22
2009-05-24,13
2009-05-25,25
2009-05-22,17
2009-05-23,17
2009-05-20,19
2009-05-21,17
2009-05-28,27
2009-05-29,34
2009-05-19,17
2009-05-18,16
2009-05-17,32
2009-05-16,19
2009-05-15,35
2009-05-14,16
2009-05-13,24
2009-05-12,29
2009-05-11,24
2009-05-10,11
2009-05-31,24
2009-05-30,19
2009-06-29,17
2009-06-28,15
2009-06-30,21
2009-06-18,13
2009-06-19,32
2009-06-16,34
2009-06-17,10
2009-06-14,11
