,pageviews
2007-12-10,15.0
2007-12-17,91.0
2007-12-24,61.0
2007-12-31,38.0
2008-01-07,53.0
2008-01-14,63.0
2008-01-21,61.0
2008-01-28,81.0
2008-02-04,81.0
2008-02-11,101.0
2008-02-18,68.0
2008-02-25,77.0
2008-03-03,43.0
2008-03-10,63.0
2008-03-17,84.0
2008-03-24,61.0
2008-03-31,62.0
2008-04-07,93.0
2008-04-14,68.0
2008-04-21,93.0
2008-04-28,68.0
2008-05-05,90.0
2008-05-12,91.0
2008-05-19,72.0
2008-05-26,100.0
2008-06-02,52.0
2008-06-09,64.0
2008-06-16,67.0
2008-06-23,82.0
2008-06-30,78.0
2008-07-07,87.0
2008-07-14,56.0
2008-07-21,
2008-07-28,
2008-08-04,25.0
2008-08-11,69.0
2008-08-18,69.0
2008-08-25,54.0
2008-09-01,76.0
2008-09-08,66.0
2008-09-15,94.0
2008-09-22,94.0
2008-09-29,76.0
2008-10-06,95.0
2008-10-13,97.0
2008-10-20,94.0
2008-10-27,77.0
2008-11-03,96.0
2008-11-10,87.0
2008-11-17,105.0
2008-11-24,79.0
2008-12-01,99.0
2008-12-08,82.0
2008-12-15,99.0
2008-12-22,82.0
2008-12-29,55.0
2009-01-05,56.0
2009-01-12,66.0
2009-01-19,85.0
2009-01-26,101.0
2009-02-02,128.0
2009-02-09,98.0
2009-02-16,85.0
2009-02-23,72.0
2009-03-02,90.0
2009-03-09,82.0
2009-03-16,88.0
2009-03-23,108.0
2009-03-30,71.0
2009-04-06,90.0
2009-04-13,75.0
2009-04-20,72.0
2009-04-27,68.0
2009-05-04,75.0
2009-05-11,183.0
2009-05-18,85.0
2009-05-25,101.0
2009-06-01,88.0
2009-06-08,72.0
2009-06-15,73.0
2009-06-22,73.0
2009-06-29,62.0
2009-07-06,48.0
2009-07-13,72.0
2009-07-20,62.0
2009-07-27,69.0
2009-08-03,87.0
2009-08-10,62.0
2009-08-17,68.0
2009-08-24,76.0
2009-08-31,91.0
2009-09-07,77.0
2009-09-14,70.0
2009-09-21,83.0
2009-09-28,32.0
2009-10-05,71.0
2009-10-12,101.0
2009-10-19,71.0
2009-10-26,82.0
2009-11-02,71.0
2009-11-09,93.0
2009-11-16,79.0
2009-11-23,67.0
2009-11-30,61.0
2009-12-07,79.0
2009-12-14,75.0
2009-12-21,64.0
2009-12-28,81.0
2010-01-04,108.0
2010-01-11,62.0
2010-01-18,97.0
2010-01-25,61.0
2010-02-01,92.0
2010-02-08,82.0
2010-02-15,71.0
2010-02-22,71.0
2010-03-01,98.0
2010-03-08,87.0
2010-03-15,102.0
2010-03-22,78.0
2010-03-29,69.0
2010-04-05,83.0
2010-04-12,81.0
2010-04-19,107.0
2010-04-26,86.0
2010-05-03,52.0
2010-05-10,86.0
2010-05-17,73.0
2010-05-24,84.0
2010-05-31,68.0
2010-06-07,67.0
2010-06-14,61.0
2010-06-21,47.0
2010-06-28,40.0
2010-07-05,65.0
2010-07-12,16.0
2010-07-19,44.0
2010-07-26,72.0
2010-08-02,71.0
2010-08-09,76.0
2010-08-16,75.0
2010-08-23,100.0
2010-08-30,132.0
2010-09-06,107.0
2010-09-13,101.0
2010-09-20,82.0
2010-09-27,92.0
2010-10-04,84.0
2010-10-11,101.0
2010-10-18,112.0
2010-10-25,114.0
2010-11-01,97.0
2010-11-08,72.0
2010-11-15,153.0
2010-11-22,136.0
2010-11-29,93.0
2010-12-06,138.0
2010-12-13,101.0
2010-12-20,100.0
2010-12-27,98.0
2011-01-03,73.0
2011-01-10,88.0
2011-01-17,83.0
2011-01-24,126.0
2011-01-31,129.0
2011-02-07,90.0
2011-02-14,81.0
2011-02-21,78.0
2011-02-28,116.0
2011-03-07,108.0
2011-03-14,90.0
2011-03-21,107.0
2011-03-28,77.0
2011-04-04,109.0
2011-04-11,110.0
2011-04-18,113.0
2011-04-25,92.0
2011-05-02,87.0
2011-05-09,89.0
2011-05-16,106.0
2011-05-23,208.0
2011-05-30,96.0
2011-06-06,110.0
2011-06-13,89.0
2011-06-20,84.0
2011-06-27,69.0
2011-07-04,78.0
2011-07-11,60.0
2011-07-18,58.0
2011-07-25,65.0
2011-08-01,77.0
2011-08-08,92.0
2011-08-15,43.0
2011-08-22,66.0
2011-08-29,62.0
2011-09-05,53.0
2011-09-12,77.0
2011-09-19,55.0
2011-09-26,81.0
2011-10-03,104.0
2011-10-10,121.0
2011-10-17,153.0
2011-10-24,76.0
2011-10-31,98.0
2011-11-07,257.0
2011-11-14,129.0
2011-11-21,129.0
2011-11-28,125.0
2011-12-05,104.0
2011-12-12,107.0
2011-12-19,123.0
2011-12-26,46.0
2012-01-02,97.0
2012-01-09,129.0
2012-01-16,117.0
2012-01-23,101.0
2012-01-30,129.0
2012-02-06,101.0
2012-02-13,123.0
