,pageviews
2007-12-10,197.0
2007-12-17,915.0
2007-12-24,705.0
2007-12-31,356.0
2008-01-07,614.0
2008-01-14,836.0
2008-01-21,900.0
2008-01-28,894.0
2008-02-04,678.0
2008-02-11,980.0
2008-02-18,894.0
2008-02-25,1024.0
2008-03-03,598.0
2008-03-10,870.0
2008-03-17,977.0
2008-03-24,654.0
2008-03-31,783.0
2008-04-07,781.0
2008-04-14,899.0
2008-04-21,880.0
2008-04-28,1032.0
2008-05-05,1157.0
2008-05-12,991.0
2008-05-19,845.0
2008-05-26,742.0
2008-06-02,636.0
2008-06-09,772.0
2008-06-16,810.0
2008-06-23,743.0
2008-06-30,585.0
2008-07-07,503.0
2008-07-14,420.0
2008-07-21,
2008-07-28,
2008-08-04,327.0
2008-08-11,582.0
2008-08-18,670.0
2008-08-25,657.0
2008-09-01,625.0
2008-09-08,619.0
2008-09-15,554.0
2008-09-22,815.0
2008-09-29,908.0
2008-10-06,924.0
2008-10-13,972.0
2008-10-20,1072.0
2008-10-27,789.0
2008-11-03,991.0
2008-11-10,964.0
2008-11-17,924.0
2008-11-24,1047.0
2008-12-01,848.0
2008-12-08,885.0
2008-12-15,919.0
2008-12-22,659.0
2008-12-29,502.0
2009-01-05,642.0
2009-01-12,571.0
2009-01-19,730.0
2009-01-26,807.0
2009-02-02,879.0
2009-02-09,1026.0
2009-02-16,991.0
2009-02-23,1072.0
2009-03-02,1091.0
2009-03-09,1214.0
2009-03-16,1301.0
2009-03-23,1060.0
2009-03-30,1101.0
2009-04-06,993.0
2009-04-13,985.0
2009-04-20,977.0
2009-04-27,943.0
2009-05-04,981.0
2009-05-11,1127.0
2009-05-18,1108.0
2009-05-25,1097.0
2009-06-01,983.0
2009-06-08,911.0
2009-06-15,796.0
2009-06-22,761.0
2009-06-29,645.0
2009-07-06,692.0
2009-07-13,641.0
2009-07-20,708.0
2009-07-27,619.0
2009-08-03,650.0
2009-08-10,718.0
2009-08-17,1122.0
2009-08-24,763.0
2009-08-31,853.0
2009-09-07,899.0
2009-09-14,983.0
2009-09-21,884.0
2009-09-28,524.0
2009-10-05,1055.0
2009-10-12,1240.0
2009-10-19,710.0
2009-10-26,1327.0
2009-11-02,1235.0
2009-11-09,1199.0
2009-11-16,968.0
2009-11-23,934.0
2009-11-30,962.0
2009-12-07,1136.0
2009-12-14,1061.0
2009-12-21,1218.0
2009-12-28,711.0
2010-01-04,648.0
2010-01-11,859.0
2010-01-18,997.0
2010-01-25,741.0
2010-02-01,1144.0
2010-02-08,1107.0
2010-02-15,1151.0
2010-02-22,1315.0
2010-03-01,1007.0
2010-03-08,1191.0
2010-03-15,1259.0
2010-03-22,1252.0
2010-03-29,1143.0
2010-04-05,1152.0
2010-04-12,1198.0
2010-04-19,1259.0
2010-04-26,1241.0
2010-05-03,1392.0
2010-05-10,1422.0
2010-05-17,1184.0
2010-05-24,1061.0
2010-05-31,887.0
2010-06-07,956.0
2010-06-14,630.0
2010-06-21,736.0
2010-06-28,474.0
2010-07-05,594.0
2010-07-12,244.0
2010-07-19,695.0
2010-07-26,885.0
2010-08-02,976.0
2010-08-09,978.0
2010-08-16,972.0
2010-08-23,932.0
2010-08-30,970.0
2010-09-06,947.0
2010-09-13,1141.0
2010-09-20,1067.0
2010-09-27,1419.0
2010-10-04,1237.0
2010-10-11,1337.0
2010-10-18,1499.0
2010-10-25,1347.0
2010-11-01,1243.0
2010-11-08,1384.0
2010-11-15,1390.0
2010-11-22,1522.0
2010-11-29,1284.0
2010-12-06,1447.0
2010-12-13,1698.0
2010-12-20,1291.0
2010-12-27,799.0
2011-01-03,724.0
2011-01-10,1066.0
2011-01-17,1272.0
2011-01-24,1252.0
2011-01-31,1388.0
2011-02-07,1382.0
2011-02-14,1493.0
2011-02-21,1414.0
2011-02-28,1395.0
2011-03-07,1387.0
2011-03-14,1322.0
2011-03-21,1312.0
2011-03-28,1295.0
2011-04-04,1385.0
2011-04-11,1455.0
2011-04-18,1429.0
2011-04-25,1164.0
2011-05-02,1447.0
2011-05-09,1518.0
2011-05-16,1706.0
2011-05-23,1551.0
2011-05-30,1043.0
2011-06-06,1124.0
2011-06-13,1067.0
2011-06-20,1065.0
2011-06-27,977.0
2011-07-04,888.0
2011-07-11,906.0
2011-07-18,811.0
2011-07-25,839.0
2011-08-01,817.0
2011-08-08,913.0
2011-08-15,801.0
2011-08-22,916.0
2011-08-29,832.0
2011-09-05,652.0
2011-09-12,882.0
2011-09-19,923.0
2011-09-26,969.0
2011-10-03,1139.0
2011-10-10,1229.0
2011-10-17,1273.0
2011-10-24,1058.0
2011-10-31,1368.0
2011-11-07,1621.0
2011-11-14,1483.0
2011-11-21,1704.0
2011-11-28,1466.0
2011-12-05,1853.0
2011-12-12,1602.0
2011-12-19,1416.0
2011-12-26,526.0
2012-01-02,814.0
2012-01-09,1269.0
2012-01-16,1383.0
2012-01-23,1244.0
2012-01-30,1462.0
2012-02-06,1491.0
2012-02-13,1639.0
2012-02-20,1572.0
2012-02-27,1565.0
2012-03-05,1525.0
2012-03-12,1650.0
2012-03-19,1468.0
2012-03-26,1362.0
2012-04-02,1116.0
2012-04-09,1184.0
2012-04-16,1297.0
2012-04-23,1388.0
2012-04-30,1258.0
2012-05-07,1670.0
2012-05-14,1436.0
2012-05-21,1235.0
2012-05-28,1198.0
2012-06-04,1129.0
2012-06-11,1145.0
2012-06-18,1092.0
2012-06-25,923.0
2012-07-02,849.0
2012-07-09,854.0
2012-07-16,906.0
2012-07-23,904.0
2012-07-30,885.0
2012-08-06,813.0
2012-08-13,852.0
2012-08-20,852.0
2012-08-27,900.0
2012-09-03,1072.0
2012-09-10,1001.0
2012-09-17,1201.0
2012-09-24,1290.0
2012-10-01,1315.0
2012-10-08,1258.0
2012-10-15,1380.0
2012-10-22,1466.0
2012-10-29,1388.0
2012-11-05,1404.0
2012-11-12,1354.0
2012-11-19,1322.0
2012-11-26,1438.0
2012-12-03,1511.0
2012-12-10,1426.0
2012-12-17,1366.0
2012-12-24,1018.0
2012-12-31,1778.0
2013-01-07,1004.0
2013-01-14,1163.0
2013-01-21,1348.0
2013-01-28,1393.0
2013-02-04,1481.0
2013-02-11,1526.0
2013-02-18,1724.0
2013-02-25,1592.0
2013-03-04,1852.0
2013-03-11,1786.0
2013-03-18,1666.0
2013-03-25,1543.0
2013-04-01,1529.0
2013-04-08,1689.0
2013-04-15,1730.0
2013-04-22,1988.0
2013-04-29,1890.0
2013-05-06,1985.0
2013-05-13,1808.0
