,pageviews
2007-12-10,131.0
2007-12-17,681.0
2007-12-24,477.0
2007-12-31,253.0
2008-01-07,488.0
2008-01-14,554.0
2008-01-21,416.0
2008-01-28,526.0
2008-02-04,428.0
2008-02-11,613.0
2008-02-18,879.0
2008-02-25,749.0
2008-03-03,402.0
2008-03-10,483.0
2008-03-17,626.0
2008-03-24,548.0
2008-03-31,634.0
2008-04-07,705.0
2008-04-14,536.0
2008-04-21,563.0
2008-04-28,360.0
2008-05-05,582.0
2008-05-12,627.0
2008-05-19,658.0
2008-05-26,559.0
2008-06-02,363.0
2008-06-09,410.0
2008-06-16,347.0
2008-06-23,426.0
2008-06-30,426.0
2008-07-07,337.0
2008-07-14,264.0
2008-07-21,
2008-07-28,
2008-08-04,158.0
2008-08-11,301.0
2008-08-18,258.0
2008-08-25,336.0
2008-09-01,354.0
2008-09-08,311.0
2008-09-15,312.0
2008-09-22,425.0
2008-09-29,553.0
2008-10-06,639.0
2008-10-13,664.0
2008-10-20,456.0
2008-10-27,374.0
2008-11-03,700.0
2008-11-10,452.0
2008-11-17,690.0
2008-11-24,930.0
2008-12-01,792.0
2008-12-08,1165.0
2008-12-15,992.0
2008-12-22,708.0
2008-12-29,379.0
2009-01-05,568.0
2009-01-12,518.0
2009-01-19,561.0
2009-01-26,400.0
2009-02-02,336.0
2009-02-09,544.0
2009-02-16,706.0
2009-02-23,684.0
2009-03-02,804.0
2009-03-09,375.0
2009-03-16,538.0
2009-03-23,923.0
2009-03-30,584.0
2009-04-06,573.0
2009-04-13,524.0
2009-04-20,328.0
2009-04-27,311.0
2009-05-04,633.0
2009-05-11,467.0
2009-05-18,759.0
2009-05-25,656.0
2009-06-01,651.0
2009-06-08,499.0
2009-06-15,479.0
2009-06-22,539.0
2009-06-29,454.0
2009-07-06,419.0
2009-07-13,449.0
2009-07-20,440.0
2009-07-27,433.0
2009-08-03,367.0
2009-08-10,496.0
2009-08-17,426.0
2009-08-24,439.0
2009-08-31,440.0
2009-09-07,434.0
2009-09-14,534.0
2009-09-21,542.0
2009-09-28,323.0
2009-10-05,659.0
2009-10-12,627.0
2009-10-19,336.0
2009-10-26,954.0
2009-11-02,775.0
2009-11-09,835.0
2009-11-16,919.0
2009-11-23,888.0
2009-11-30,881.0
2009-12-07,1252.0
2009-12-14,946.0
2009-12-21,674.0
2009-12-28,437.0
2010-01-04,500.0
2010-01-11,818.0
2010-01-18,663.0
2010-01-25,3056.0
2010-02-01,708.0
2010-02-08,572.0
2010-02-15,622.0
2010-02-22,600.0
2010-03-01,656.0
2010-03-08,722.0
2010-03-15,766.0
2010-03-22,996.0
2010-03-29,612.0
2010-04-05,635.0
2010-04-12,644.0
2010-04-19,617.0
2010-04-26,722.0
2010-05-03,626.0
2010-05-10,725.0
2010-05-17,771.0
2010-05-24,684.0
2010-05-31,600.0
2010-06-07,598.0
2010-06-14,293.0
2010-06-21,423.0
2010-06-28,273.0
2010-07-05,367.0
2010-07-12,156.0
2010-07-19,384.0
2010-07-26,491.0
2010-08-02,524.0
2010-08-09,625.0
2010-08-16,568.0
2010-08-23,570.0
2010-08-30,506.0
2010-09-06,578.0
2010-09-13,569.0
2010-09-20,697.0
2010-09-27,617.0
2010-10-04,671.0
2010-10-11,701.0
2010-10-18,817.0
2010-10-25,839.0
2010-11-01,795.0
2010-11-08,782.0
2010-11-15,949.0
2010-11-22,1328.0
2010-11-29,962.0
2010-12-06,1527.0
2010-12-13,1271.0
2010-12-20,1110.0
2010-12-27,826.0
2011-01-03,759.0
2011-01-10,1051.0
2011-01-17,974.0
2011-01-24,767.0
2011-01-31,726.0
2011-02-07,933.0
2011-02-14,924.0
2011-02-21,1022.0
2011-02-28,786.0
2011-03-07,748.0
2011-03-14,698.0
2011-03-21,1048.0
2011-03-28,691.0
2011-04-04,701.0
2011-04-11,733.0
2011-04-18,697.0
2011-04-25,701.0
2011-05-02,898.0
2011-05-09,687.0
2011-05-16,649.0
2011-05-23,616.0
2011-05-30,586.0
2011-06-06,554.0
2011-06-13,553.0
2011-06-20,607.0
2011-06-27,621.0
2011-07-04,500.0
2011-07-11,494.0
2011-07-18,496.0
2011-07-25,461.0
2011-08-01,515.0
2011-08-08,553.0
2011-08-15,489.0
2011-08-22,463.0
2011-08-29,524.0
2011-09-05,429.0
2011-09-12,579.0
2011-09-19,492.0
2011-09-26,491.0
2011-10-03,590.0
2011-10-10,699.0
2011-10-17,731.0
2011-10-24,781.0
2011-10-31,973.0
2011-11-07,1569.0
