,pageviews
2007-12-31,0
2008-01-31,2
2008-02-29,2
2008-03-31,1
2008-04-30,1
2008-05-31,1
2008-06-30,1
2008-07-31,1
2008-08-31,0
2008-09-30,1
2008-10-31,0
2008-11-30,0
2008-12-31,1
2009-01-31,1
2009-02-28,1
2009-03-31,3
2009-04-30,4
2009-05-31,1
2009-06-30,1
2009-07-31,2
2009-08-31,0
2009-09-30,1323
2009-10-31,5594
2009-11-30,5843
2009-12-31,5286
2010-01-31,5596
2010-02-28,5377
2010-03-31,6655
2010-04-30,6813
2010-05-31,6590
2010-06-30,4805
2010-07-31,4781
2010-08-31,6875
2010-09-30,7810
2010-10-31,8545
2010-11-30,8297
2010-12-31,7692
2011-01-31,8153
2011-02-28,7194
2011-03-31,7533
2011-04-30,6607
2011-05-31,7515
2011-06-30,6589
2011-07-31,5785
2011-08-31,6655
2011-09-30,6102
2011-10-31,7721
2011-11-30,8595
2011-12-31,7331
2012-01-31,16112
2012-02-29,8685
2012-03-31,8156
2012-04-30,7143
2012-05-31,8923
2012-06-30,7409
2012-07-31,7071
2012-08-31,6635
2012-09-30,7831
2012-10-31,9168
2012-11-30,9687
2012-12-31,8209
2013-01-31,10057
2013-02-28,10421
2013-03-31,12190
2013-04-30,12105
2013-05-31,11684
2013-06-30,10092
2013-07-31,8188
2013-08-31,7308
2013-09-30,7870
2013-10-31,9926
2013-11-30,9996
2013-12-31,7906
2014-01-31,7687
2014-02-28,7879
2014-03-31,8142
2014-04-30,8036
2014-05-31,8084
2014-06-30,6751
2014-07-31,6821
2014-08-31,5864
2014-09-30,8192
2014-10-31,8235
2014-11-30,7850
2014-12-31,7430
2015-01-31,7788
2015-02-28,7414
2015-03-31,6969
