,pageviews
2007-12-31,8
2008-01-31,12
2008-02-29,9
2008-03-31,9
2008-04-30,9
2008-05-31,10
2008-06-30,9
2008-07-31,4
2008-08-31,7
2008-09-30,8
2008-10-31,5
2008-11-30,8
2008-12-31,8
2009-01-31,8
2009-02-28,9
2009-03-31,27
2009-04-30,21
2009-05-31,56
2009-06-30,116
2009-07-31,105
2009-08-31,88
2009-09-30,87
2009-10-31,102
2009-11-30,100
2009-12-31,110
2010-01-31,92
2010-02-28,103
2010-03-31,174
2010-04-30,182
2010-05-31,191
2010-06-30,110
2010-07-31,102
2010-08-31,161
2010-09-30,174
2010-10-31,164
2010-11-30,121
2010-12-31,127
2011-01-31,148
2011-02-28,157
2011-03-31,134
2011-04-30,112
2011-05-31,129
2011-06-30,136
2011-07-31,77
2011-08-31,107
2011-09-30,98
2011-10-31,101
2011-11-30,150
2011-12-31,879
2012-01-31,9560
2012-02-29,10658
2012-03-31,10272
2012-04-30,9293
2012-05-31,9702
2012-06-30,7767
2012-07-31,6349
2012-08-31,7248
2012-09-30,9856
2012-10-31,12337
2012-11-30,11677
2012-12-31,9593
2013-01-31,11353
2013-02-28,12566
2013-03-31,13370
2013-04-30,14476
2013-05-31,14796
2013-06-30,11154
2013-07-31,8456
2013-08-31,7751
2013-09-30,10090
2013-10-31,11678
2013-11-30,10110
2013-12-31,9379
2014-01-31,8150
2014-02-28,8870
2014-03-31,9481
2014-04-30,9598
2014-05-31,8548
2014-06-30,7124
2014-07-31,6583
2014-08-31,6065
2014-09-30,9368
2014-10-31,11950
2014-11-30,9479
2014-12-31,7560
2015-01-31,8132
2015-02-28,8208
2015-03-31,7408
