,pageviews
2007-12-10,12.0
2007-12-17,115.0
2007-12-24,64.0
2007-12-31,74.0
2008-01-07,79.0
2008-01-14,111.0
2008-01-21,113.0
2008-01-28,119.0
2008-02-04,110.0
2008-02-11,94.0
2008-02-18,99.0
2008-02-25,84.0
2008-03-03,68.0
2008-03-10,93.0
2008-03-17,124.0
2008-03-24,94.0
2008-03-31,106.0
2008-04-07,93.0
2008-04-14,90.0
2008-04-21,86.0
2008-04-28,75.0
2008-05-05,115.0
2008-05-12,90.0
2008-05-19,85.0
2008-05-26,103.0
2008-06-02,69.0
2008-06-09,98.0
2008-06-16,171.0
2008-06-23,212.0
2008-06-30,134.0
2008-07-07,88.0
2008-07-14,63.0
2008-07-21,
2008-07-28,
2008-08-04,42.0
2008-08-11,75.0
2008-08-18,86.0
2008-08-25,100.0
2008-09-01,129.0
2008-09-08,127.0
2008-09-15,117.0
2008-09-22,144.0
2008-09-29,96.0
2008-10-06,90.0
2008-10-13,105.0
2008-10-20,100.0
2008-10-27,74.0
2008-11-03,75.0
2008-11-10,77.0
2008-11-17,79.0
2008-11-24,83.0
2008-12-01,68.0
2008-12-08,87.0
2008-12-15,76.0
2008-12-22,75.0
2008-12-29,68.0
2009-01-05,74.0
2009-01-12,101.0
2009-01-19,85.0
2009-01-26,94.0
2009-02-02,90.0
2009-02-09,73.0
2009-02-16,83.0
2009-02-23,102.0
2009-03-02,168.0
2009-03-09,139.0
2009-03-16,108.0
2009-03-23,115.0
2009-03-30,100.0
2009-04-06,100.0
2009-04-13,72.0
2009-04-20,70.0
2009-04-27,80.0
2009-05-04,92.0
2009-05-11,76.0
2009-05-18,91.0
2009-05-25,85.0
2009-06-01,103.0
2009-06-08,120.0
2009-06-15,121.0
2009-06-22,83.0
2009-06-29,118.0
2009-07-06,91.0
2009-07-13,75.0
2009-07-20,78.0
2009-07-27,76.0
2009-08-03,92.0
2009-08-10,74.0
2009-08-17,87.0
2009-08-24,105.0
2009-08-31,91.0
2009-09-07,107.0
2009-09-14,80.0
2009-09-21,122.0
2009-09-28,40.0
2009-10-05,113.0
2009-10-12,134.0
2009-10-19,69.0
2009-10-26,112.0
2009-11-02,107.0
2009-11-09,109.0
2009-11-16,90.0
2009-11-23,107.0
2009-11-30,96.0
2009-12-07,105.0
2009-12-14,110.0
2009-12-21,86.0
2009-12-28,98.0
2010-01-04,98.0
2010-01-11,89.0
2010-01-18,113.0
2010-01-25,65.0
2010-02-01,122.0
2010-02-08,97.0
2010-02-15,92.0
2010-02-22,126.0
2010-03-01,133.0
2010-03-08,141.0
2010-03-15,170.0
2010-03-22,147.0
2010-03-29,151.0
2010-04-05,172.0
2010-04-12,149.0
2010-04-19,154.0
2010-04-26,123.0
2010-05-03,101.0
2010-05-10,144.0
2010-05-17,131.0
2010-05-24,86.0
2010-05-31,113.0
2010-06-07,148.0
2010-06-14,74.0
2010-06-21,131.0
2010-06-28,77.0
2010-07-05,96.0
2010-07-12,38.0
2010-07-19,89.0
2010-07-26,148.0
2010-08-02,119.0
2010-08-09,166.0
2010-08-16,140.0
2010-08-23,156.0
2010-08-30,174.0
2010-09-06,159.0
2010-09-13,138.0
2010-09-20,145.0
2010-09-27,147.0
2010-10-04,170.0
2010-10-11,108.0
2010-10-18,135.0
2010-10-25,144.0
2010-11-01,115.0
2010-11-08,119.0
2010-11-15,96.0
2010-11-22,133.0
2010-11-29,133.0
2010-12-06,133.0
2010-12-13,112.0
2010-12-20,124.0
2010-12-27,110.0
2011-01-03,85.0
2011-01-10,121.0
2011-01-17,108.0
2011-01-24,141.0
2011-01-31,139.0
2011-02-07,125.0
2011-02-14,139.0
2011-02-21,125.0
2011-02-28,113.0
2011-03-07,99.0
2011-03-14,114.0
2011-03-21,88.0
2011-03-28,112.0
2011-04-04,129.0
2011-04-11,72.0
2011-04-18,116.0
2011-04-25,92.0
2011-05-02,91.0
2011-05-09,86.0
2011-05-16,96.0
2011-05-23,69.0
2011-05-30,103.0
2011-06-06,101.0
2011-06-13,126.0
2011-06-20,142.0
2011-06-27,119.0
2011-07-04,122.0
2011-07-11,95.0
2011-07-18,75.0
2011-07-25,94.0
2011-08-01,104.0
2011-08-08,99.0
2011-08-15,117.0
2011-08-22,131.0
2011-08-29,137.0
2011-09-05,106.0
2011-09-12,156.0
2011-09-19,149.0
2011-09-26,168.0
2011-10-03,129.0
2011-10-10,122.0
2011-10-17,118.0
2011-10-24,65.0
2011-10-31,145.0
2011-11-07,158.0
2011-11-14,136.0
2011-11-21,198.0
2011-11-28,151.0
2011-12-05,109.0
2011-12-12,124.0
2011-12-19,102.0
2011-12-26,38.0
2012-01-02,85.0
2012-01-09,103.0
2012-01-16,91.0
2012-01-23,97.0
2012-01-30,104.0
2012-02-06,78.0
2012-02-13,86.0
2012-02-20,77.0
2012-02-27,91.0
2012-03-05,90.0
2012-03-12,114.0
2012-03-19,85.0
2012-03-26,89.0
2012-04-02,103.0
2012-04-09,76.0
2012-04-16,86.0
2012-04-23,70.0
2012-04-30,68.0
2012-05-07,92.0
2012-05-14,79.0
2012-05-21,90.0
2012-05-28,91.0
2012-06-04,63.0
2012-06-11,115.0
2012-06-18,117.0
2012-06-25,119.0
2012-07-02,82.0
2012-07-09,79.0
2012-07-16,82.0
2012-07-23,93.0
2012-07-30,58.0
2012-08-06,71.0
2012-08-13,76.0
2012-08-20,83.0
2012-08-27,90.0
2012-09-03,108.0
2012-09-10,90.0
2012-09-17,130.0
2012-09-24,115.0
2012-10-01,93.0
2012-10-08,86.0
2012-10-15,75.0
2012-10-22,93.0
2012-10-29,94.0
2012-11-05,112.0
2012-11-12,153.0
2012-11-19,86.0
2012-11-26,74.0
2012-12-03,85.0
2012-12-10,71.0
2012-12-17,89.0
2012-12-24,85.0
2012-12-31,102.0
2013-01-07,94.0
2013-01-14,84.0
2013-01-21,94.0
2013-01-28,105.0
2013-02-04,134.0
2013-02-11,83.0
2013-02-18,69.0
2013-02-25,70.0
2013-03-04,92.0
2013-03-11,76.0
2013-03-18,74.0
2013-03-25,81.0
2013-04-01,57.0
2013-04-08,69.0
2013-04-15,85.0
2013-04-22,60.0
2013-04-29,95.0
2013-05-06,66.0
2013-05-13,56.0
2013-05-20,80.0
2013-05-27,66.0
2013-06-03,73.0
2013-06-10,130.0
2013-06-17,120.0
2013-06-24,98.0
2013-07-01,69.0
2013-07-08,48.0
2013-07-15,61.0
2013-07-22,78.0
2013-07-29,34.0
2013-08-05,55.0
2013-08-12,63.0
2013-08-19,103.0
2013-08-26,72.0
2013-09-02,81.0
2013-09-09,86.0
2013-09-16,91.0
2013-09-23,98.0
2013-09-30,85.0
2013-10-07,55.0
2013-10-14,63.0
2013-10-21,71.0
2013-10-28,66.0
2013-11-04,56.0
2013-11-11,61.0
2013-11-18,90.0
2013-11-25,66.0
2013-12-02,70.0
2013-12-09,72.0
2013-12-16,71.0
2013-12-23,54.0
2013-12-30,42.0
2014-01-06,47.0
2014-01-13,76.0
2014-01-20,44.0
2014-01-27,62.0
2014-02-03,78.0
2014-02-10,101.0
2014-02-17,69.0
2014-02-24,72.0
2014-03-03,84.0
2014-03-10,67.0
2014-03-17,197.0
2014-03-24,116.0
2014-03-31,82.0
2014-04-07,78.0
2014-04-14,71.0
2014-04-21,75.0
2014-04-28,82.0
2014-05-05,71.0
2014-05-12,75.0
2014-05-19,92.0
2014-05-26,78.0
2014-06-02,79.0
2014-06-09,80.0
2014-06-16,79.0
2014-06-23,113.0
2014-06-30,61.0
