,pageviews
2007-12-10,20.0
2007-12-17,155.0
2007-12-24,99.0
2007-12-31,76.0
2008-01-07,89.0
2008-01-14,134.0
2008-01-21,141.0
2008-01-28,120.0
2008-02-04,103.0
2008-02-11,115.0
2008-02-18,141.0
2008-02-25,149.0
2008-03-03,68.0
2008-03-10,83.0
2008-03-17,127.0
2008-03-24,128.0
2008-03-31,108.0
2008-04-07,121.0
2008-04-14,90.0
2008-04-21,118.0
2008-04-28,81.0
2008-05-05,160.0
2008-05-12,118.0
2008-05-19,104.0
2008-05-26,119.0
2008-06-02,52.0
2008-06-09,172.0
2008-06-16,90.0
2008-06-23,105.0
2008-06-30,81.0
2008-07-07,78.0
2008-07-14,56.0
2008-07-21,
2008-07-28,
2008-08-04,40.0
2008-08-11,60.0
2008-08-18,58.0
2008-08-25,66.0
2008-09-01,85.0
2008-09-08,83.0
2008-09-15,104.0
2008-09-22,118.0
2008-09-29,111.0
2008-10-06,84.0
2008-10-13,106.0
2008-10-20,122.0
2008-10-27,98.0
2008-11-03,102.0
2008-11-10,87.0
2008-11-17,130.0
2008-11-24,128.0
2008-12-01,90.0
2008-12-08,139.0
2008-12-15,149.0
2008-12-22,81.0
2008-12-29,80.0
2009-01-05,102.0
2009-01-12,92.0
2009-01-19,104.0
2009-01-26,88.0
2009-02-02,84.0
2009-02-09,88.0
2009-02-16,104.0
2009-02-23,81.0
2009-03-02,97.0
2009-03-09,94.0
2009-03-16,106.0
2009-03-23,96.0
2009-03-30,113.0
2009-04-06,107.0
2009-04-13,109.0
2009-04-20,91.0
2009-04-27,106.0
2009-05-04,74.0
2009-05-11,73.0
2009-05-18,85.0
2009-05-25,87.0
2009-06-01,70.0
2009-06-08,69.0
2009-06-15,78.0
2009-06-22,57.0
2009-06-29,74.0
2009-07-06,68.0
2009-07-13,74.0
2009-07-20,74.0
2009-07-27,70.0
2009-08-03,121.0
2009-08-10,106.0
2009-08-17,86.0
2009-08-24,89.0
2009-08-31,90.0
2009-09-07,86.0
2009-09-14,81.0
2009-09-21,98.0
2009-09-28,40.0
2009-10-05,106.0
2009-10-12,105.0
2009-10-19,47.0
2009-10-26,116.0
2009-11-02,174.0
2009-11-09,140.0
2009-11-16,145.0
2009-11-23,127.0
2009-11-30,118.0
2009-12-07,149.0
2009-12-14,123.0
2009-12-21,105.0
2009-12-28,81.0
2010-01-04,93.0
2010-01-11,129.0
2010-01-18,106.0
2010-01-25,72.0
2010-02-01,93.0
2010-02-08,83.0
2010-02-15,82.0
2010-02-22,113.0
2010-03-01,86.0
2010-03-08,112.0
2010-03-15,158.0
2010-03-22,142.0
2010-03-29,171.0
2010-04-05,225.0
2010-04-12,234.0
2010-04-19,130.0
2010-04-26,147.0
2010-05-03,151.0
2010-05-10,158.0
2010-05-17,174.0
2010-05-24,202.0
2010-05-31,119.0
2010-06-07,83.0
2010-06-14,66.0
2010-06-21,93.0
2010-06-28,84.0
2010-07-05,78.0
2010-07-12,41.0
2010-07-19,67.0
2010-07-26,114.0
2010-08-02,122.0
2010-08-09,277.0
2010-08-16,185.0
2010-08-23,116.0
2010-08-30,117.0
2010-09-06,104.0
2010-09-13,131.0
2010-09-20,111.0
2010-09-27,137.0
2010-10-04,162.0
2010-10-11,147.0
2010-10-18,200.0
2010-10-25,206.0
2010-11-01,129.0
2010-11-08,122.0
2010-11-15,177.0
2010-11-22,135.0
2010-11-29,86.0
2010-12-06,131.0
2010-12-13,129.0
2010-12-20,113.0
2010-12-27,116.0
2011-01-03,88.0
2011-01-10,108.0
2011-01-17,130.0
2011-01-24,62.0
2011-01-31,127.0
2011-02-07,79.0
2011-02-14,80.0
2011-02-21,108.0
2011-02-28,96.0
2011-03-07,102.0
2011-03-14,120.0
2011-03-21,78.0
2011-03-28,73.0
2011-04-04,80.0
2011-04-11,78.0
2011-04-18,90.0
2011-04-25,75.0
2011-05-02,64.0
2011-05-09,79.0
2011-05-16,94.0
2011-05-23,122.0
2011-05-30,81.0
2011-06-06,84.0
2011-06-13,85.0
2011-06-20,78.0
2011-06-27,86.0
2011-07-04,63.0
2011-07-11,59.0
2011-07-18,50.0
2011-07-25,66.0
2011-08-01,79.0
2011-08-08,101.0
2011-08-15,87.0
2011-08-22,73.0
2011-08-29,76.0
2011-09-05,65.0
2011-09-12,68.0
2011-09-19,73.0
2011-09-26,73.0
2011-10-03,109.0
2011-10-10,96.0
2011-10-17,107.0
2011-10-24,115.0
2011-10-31,131.0
2011-11-07,145.0
2011-11-14,159.0
2011-11-21,144.0
2011-11-28,118.0
2011-12-05,155.0
2011-12-12,128.0
2011-12-19,114.0
2011-12-26,55.0
2012-01-02,107.0
2012-01-09,146.0
2012-01-16,129.0
2012-01-23,107.0
2012-01-30,113.0
2012-02-06,95.0
2012-02-13,89.0
2012-02-20,87.0
2012-02-27,117.0
2012-03-05,117.0
2012-03-12,103.0
2012-03-19,95.0
2012-03-26,69.0
2012-04-02,76.0
2012-04-09,163.0
2012-04-16,127.0
2012-04-23,79.0
2012-04-30,104.0
2012-05-07,91.0
2012-05-14,88.0
2012-05-21,81.0
2012-05-28,80.0
2012-06-04,93.0
2012-06-11,157.0
2012-06-18,88.0
2012-06-25,77.0
2012-07-02,93.0
2012-07-09,97.0
2012-07-16,81.0
2012-07-23,100.0
2012-07-30,90.0
2012-08-06,92.0
2012-08-13,89.0
2012-08-20,62.0
2012-08-27,91.0
2012-09-03,76.0
2012-09-10,87.0
2012-09-17,116.0
2012-09-24,84.0
2012-10-01,96.0
2012-10-08,97.0
2012-10-15,106.0
2012-10-22,97.0
2012-10-29,94.0
2012-11-05,103.0
2012-11-12,99.0
2012-11-19,126.0
2012-11-26,143.0
2012-12-03,160.0
2012-12-10,121.0
2012-12-17,109.0
2012-12-24,87.0
2012-12-31,82.0
2013-01-07,79.0
2013-01-14,93.0
2013-01-21,80.0
2013-01-28,88.0
2013-02-04,107.0
2013-02-11,98.0
2013-02-18,70.0
2013-02-25,98.0
2013-03-04,93.0
2013-03-11,108.0
2013-03-18,100.0
2013-03-25,84.0
2013-04-01,65.0
2013-04-08,89.0
