,pageviews
2007-12-20,13
2007-12-21,10
2007-12-22,17
2007-12-23,37
2007-12-24,19
2007-12-25,6
2007-12-26,11
2007-12-27,10
2007-12-28,13
2007-12-29,5
2007-12-19,12
2007-12-18,14
2007-12-31,15
2007-12-30,6
2007-12-15,16
2007-12-14,20
2007-12-17,22
2007-12-16,15
2007-12-11,23
2007-12-10,22
2007-12-13,22
2007-12-12,18
2008-01-30,18
2008-01-16,25
2008-01-17,19
2008-01-14,29
2008-01-15,19
2008-01-12,12
2008-01-13,11
2008-01-10,26
2008-01-11,24
2008-01-18,30
2008-01-19,12
2008-01-29,30
2008-01-28,17
2008-01-27,17
2008-01-26,12
2008-01-25,17
2008-01-24,15
2008-01-23,14
2008-01-22,22
2008-01-21,9
2008-01-20,17
2008-01-05,17
2008-01-04,14
2008-01-07,23
2008-01-06,14
2008-01-01,12
2008-01-03,16
2008-01-02,23
2008-01-09,11
2008-01-08,17
2008-02-28,0
2008-02-26,21
2008-02-29,12
2008-02-01,21
2008-02-02,14
2008-02-03,21
2008-02-04,15
2008-02-05,28
2008-02-06,15
2008-02-07,22
2008-02-08,16
2008-02-09,13
2008-02-24,10
2008-02-25,20
2008-02-22,8
2008-02-23,17
2008-02-20,18
2008-02-21,25
2008-02-27,6
2008-02-17,16
2008-02-16,26
2008-02-15,11
2008-02-14,28
2008-02-13,27
2008-02-12,14
2008-02-11,18
2008-02-10,19
2008-02-19,11
2008-02-18,28
2008-03-14,29
2008-03-15,10
2008-03-16,19
2008-03-17,17
2008-03-10,22
2008-03-11,13
2008-03-12,23
2008-03-13,12
2008-03-18,13
2008-03-19,20
2008-03-30,20
2008-03-09,23
2008-03-31,15
2008-03-03,0
2008-03-02,17
2008-03-01,0
2008-03-07,23
2008-03-06,23
2008-03-05,28
2008-03-04,0
2008-03-21,18
2008-03-20,17
2008-03-23,12
2008-03-22,9
2008-03-25,15
2008-03-24,18
2008-03-27,14
2008-03-26,13
2008-03-29,14
2008-03-28,12
2008-03-08,16
2008-04-30,23
2008-04-15,25
2008-04-14,18
2008-04-17,24
2008-04-16,14
2008-04-11,19
2008-04-10,23
2008-04-13,7
2008-04-12,14
2008-04-19,12
2008-04-18,19
2008-04-28,26
2008-04-29,33
2008-04-20,21
2008-04-21,23
2008-04-22,23
2008-04-23,31
2008-04-24,21
2008-04-25,9
2008-04-26,5
2008-04-27,13
2008-04-06,22
2008-04-07,18
2008-04-04,15
2008-04-05,25
2008-04-02,24
2008-04-03,26
2008-04-01,23
2008-04-08,27
2008-04-09,33
2008-05-12,23
2008-05-13,28
2008-05-10,13
2008-05-11,17
2008-05-16,19
2008-05-31,12
2008-05-14,35
2008-05-15,32
2008-05-18,40
2008-05-19,33
2008-05-29,24
2008-05-28,29
2008-05-23,33
2008-05-22,34
2008-05-21,32
2008-05-20,30
2008-05-27,24
2008-05-26,21
2008-05-25,26
2008-05-24,14
2008-05-01,34
2008-05-03,30
2008-05-02,22
2008-05-05,25
2008-05-04,28
2008-05-07,19
2008-05-06,21
2008-05-09,24
2008-05-08,38
2008-05-17,13
2008-05-30,23
2008-06-21,13
2008-06-27,38
2008-06-24,23
2008-06-25,22
2008-06-13,20
2008-06-12,30
2008-06-11,17
2008-06-10,21
2008-06-17,24
2008-06-16,14
2008-06-15,8
2008-06-14,15
2008-06-30,19
2008-06-19,24
2008-06-18,29
2008-06-28,23
2008-06-29,23
2008-06-08,5
2008-06-09,12
2008-06-04,23
2008-06-05,19
2008-06-06,20
2008-06-07,15
2008-06-26,24
2008-06-01,0
2008-06-02,0
2008-06-03,34
2008-06-22,17
2008-06-23,17
2008-06-20,21
2008-07-10,16
2008-07-11,14
2008-07-12,17
2008-07-07,13
2008-07-06,32
2008-07-05,7
2008-07-04,12
2008-07-03,25
2008-07-02,25
2008-07-09,14
2008-07-08,15
2008-08-04,13
2008-08-31,14
2008-08-30,21
2008-08-11,16
2008-08-10,9
2008-08-13,16
2008-08-12,31
2008-08-15,8
2008-08-14,11
2008-08-17,18
2008-08-16,8
2008-08-19,33
2008-08-18,11
2008-08-05,8
2008-08-02,7
2008-08-03,12
2008-08-26,25
2008-08-01,8
2008-08-06,10
2008-08-21,13
