,pageviews
2007-12-20,1017
2007-12-21,806
2007-12-22,422
2007-12-23,346
2007-12-24,474
2007-12-25,390
2007-12-26,434
2007-12-27,633
2007-12-28,638
2007-12-29,473
2007-12-19,1126
2007-12-18,1138
2007-12-31,600
2007-12-30,553
2007-12-15,713
2007-12-14,1085
2007-12-17,1152
2007-12-16,868
2007-12-11,1478
2007-12-10,1536
2007-12-13,1300
2007-12-12,1448
2008-01-30,1777
2008-01-16,1431
2008-01-17,1310
2008-01-14,1370
2008-01-15,1383
2008-01-12,713
2008-01-13,938
2008-01-10,1322
2008-01-11,1139
2008-01-18,1240
2008-01-19,743
2008-01-29,1687
2008-01-28,1683
2008-01-27,1113
2008-01-26,843
2008-01-25,1317
2008-01-24,1462
2008-01-23,1509
2008-01-22,1535
2008-01-21,1225
2008-01-20,937
2008-01-05,762
2008-01-04,929
2008-01-07,1254
2008-01-06,831
2008-01-01,572
2008-01-03,1241
2008-01-02,945
2008-01-09,1356
2008-01-08,1317
2008-02-28,0
2008-02-26,1771
2008-02-29,1509
2008-02-01,2486
2008-02-02,1265
2008-02-03,1203
2008-02-04,1412
2008-02-05,1472
2008-02-06,1489
2008-02-07,1525
2008-02-08,1374
2008-02-09,993
2008-02-24,1200
2008-02-25,1855
2008-02-22,1678
2008-02-23,979
2008-02-20,1906
2008-02-21,1767
2008-02-27,1888
2008-02-17,992
2008-02-16,889
2008-02-15,1409
2008-02-14,1741
2008-02-13,1749
2008-02-12,1919
2008-02-11,1806
2008-02-10,1231
2008-02-19,1810
2008-02-18,1555
2008-03-14,1705
2008-03-15,1003
2008-03-16,1256
2008-03-17,1710
2008-03-10,1885
2008-03-11,2172
2008-03-12,1951
2008-03-13,1923
2008-03-18,1627
2008-03-19,1712
2008-03-30,1362
2008-03-09,1328
2008-03-31,2067
2008-03-03,0
2008-03-02,1363
2008-03-01,0
2008-03-07,1677
2008-03-06,1896
2008-03-05,1941
2008-03-04,0
2008-03-21,1014
2008-03-20,1533
2008-03-23,975
2008-03-22,847
2008-03-25,1743
2008-03-24,1586
2008-03-27,1809
2008-03-26,1630
2008-03-29,933
2008-03-28,1459
2008-03-08,981
2008-04-30,2046
2008-04-15,1987
2008-04-14,1353
2008-04-17,2027
2008-04-16,2068
2008-04-11,579
2008-04-10,805
2008-04-13,667
2008-04-12,708
2008-04-19,1037
2008-04-18,1813
2008-04-28,2314
2008-04-29,2277
2008-04-20,1298
2008-04-21,2145
2008-04-22,2390
2008-04-23,2273
2008-04-24,1987
2008-04-25,1651
2008-04-26,1061
2008-04-27,1458
2008-04-06,1343
2008-04-07,2166
2008-04-04,1658
2008-04-05,1093
2008-04-02,2051
2008-04-03,2098
2008-04-01,1892
2008-04-08,2020
2008-04-09,2077
2008-05-12,2289
2008-05-13,2396
2008-05-10,1166
2008-05-11,1481
2008-05-16,1993
2008-05-31,1147
2008-05-14,2328
2008-05-15,2606
2008-05-18,1724
2008-05-19,2556
2008-05-29,2262
2008-05-28,2437
2008-05-23,1731
2008-05-22,2124
2008-05-21,2367
2008-05-20,2335
2008-05-27,2544
2008-05-26,1992
2008-05-25,1292
2008-05-24,939
2008-05-01,2028
2008-05-03,1056
2008-05-02,1788
2008-05-05,2215
2008-05-04,1470
2008-05-07,2201
2008-05-06,2222
2008-05-09,1945
2008-05-08,2328
2008-05-17,1126
2008-05-30,1789
2008-06-21,1244
2008-06-27,1442
2008-06-24,1421
2008-06-25,1437
2008-06-13,1867
2008-06-12,2042
2008-06-11,2279
2008-06-10,1994
2008-06-17,1863
2008-06-16,1262
2008-06-15,957
2008-06-14,1580
2008-06-30,982
2008-06-19,1621
2008-06-18,2009
2008-06-28,1203
2008-06-29,817
2008-06-08,1070
2008-06-09,1243
2008-06-04,2338
2008-06-05,2178
2008-06-06,1962
2008-06-07,1734
2008-06-26,1497
2008-06-01,0
2008-06-02,0
2008-06-03,2212
2008-06-22,806
2008-06-23,994
2008-06-20,1742
2008-07-10,1265
2008-07-11,1136
2008-07-12,842
2008-07-07,1246
2008-07-06,845
2008-07-05,738
2008-07-04,951
2008-07-03,1261
2008-07-02,1399
2008-07-09,1256
2008-07-08,1281
2008-08-04,1348
2008-08-31,1176
2008-08-30,829
2008-08-11,1239
2008-08-10,869
2008-08-13,1200
2008-08-12,1223
2008-08-15,1005
2008-08-14,1156
2008-08-17,936
2008-08-16,736
2008-08-19,1320
2008-08-18,1266
2008-08-05,1444
2008-08-02,809
2008-08-03,880
2008-08-26,1556
2008-08-01,1089
2008-08-06,1270
2008-08-21,1373
2008-08-22,1244
2008-08-23,800
2008-08-08,1069
2008-08-09,724
2008-08-28,1739
2008-08-29,1410
2008-08-24,1039
2008-08-25,1602
2008-08-27,1848
2008-08-20,1457
2008-08-07,1349
2008-09-02,1812
2008-09-27,945
2008-09-26,1469
2008-09-25,2006
2008-09-24,1988
2008-09-09,2199
2008-09-22,1866
2008-09-21,1410
2008-09-20,1072
2008-09-05,1673
2008-09-23,2082
2008-09-07,1600
2008-09-06,1256
2008-09-01,1588
2008-09-03,2004
2008-09-28,1385
2008-09-08,1941
2008-09-04,2107
2008-09-30,1741
2008-09-29,1946
2008-09-18,2014
2008-09-19,1667
2008-09-16,2118
2008-09-17,2158
2008-09-14,1520
2008-09-15,1956
2008-09-12,1739
2008-09-13,1130
2008-09-10,1904
2008-09-11,1990
2008-10-09,1938
2008-10-08,1890
2008-10-03,1630
2008-10-02,1882
2008-10-01,2051
2008-10-07,2126
2008-10-06,1872
2008-10-05,1337
2008-10-04,1090
2008-10-21,0
2008-10-20,2158
2008-10-23,1994
2008-10-22,0
2008-10-25,1221
2008-10-24,1700
2008-10-27,2063
2008-10-26,1375
2008-10-29,2120
2008-10-28,2104
2008-10-30,1944
2008-10-31,1600
2008-10-14,2266
2008-10-15,2046
2008-10-16,1940
2008-10-17,1644
2008-10-10,1672
2008-10-11,1231
2008-10-12,1445
2008-10-13,2121
2008-10-18,1156
2008-10-19,1433
2008-11-28,1181
2008-11-07,1887
2008-11-17,2446
2008-11-16,1615
2008-11-15,1297
2008-11-14,2002
2008-11-13,2313
2008-11-12,2116
2008-11-11,2158
2008-11-10,2060
2008-11-30,1429
2008-11-19,1977
2008-11-18,2226
2008-11-26,1618
2008-11-01,1158
2008-11-02,1488
2008-11-03,2097
2008-11-04,2020
2008-11-05,1820
2008-11-06,2005
2008-11-29,1162
2008-11-08,1130
2008-11-27,1155
2008-11-24,1856
2008-11-25,1867
2008-11-22,1333
2008-11-23,1519
2008-11-20,2040
2008-11-21,1597
2008-11-09,1578
2008-12-29,955
2008-12-28,753
2008-12-27,689
2008-12-26,701
2008-12-25,517
2008-12-24,869
2008-12-23,1122
2008-12-22,1070
2008-12-21,883
2008-12-20,792
2008-12-05,1854
2008-12-04,2025
2008-12-07,1384
2008-12-06,1133
2008-12-01,1994
2008-12-03,2330
2008-12-02,2118
2008-12-09,2092
2008-12-08,1885
2008-12-30,979
2008-12-31,904
2008-12-16,1739
2008-12-17,1744
2008-12-14,1465
2008-12-15,1752
2008-12-12,1661
2008-12-13,1099
2008-12-10,2098
2008-12-11,1879
2008-12-18,1739
2008-12-19,1347
2009-01-29,2260
2009-01-19,1840
2009-01-18,1347
2009-01-13,2065
2009-01-12,1887
2009-01-11,1386
2009-01-10,1109
2009-01-17,1128
2009-01-16,1668
2009-01-15,1997
2009-01-14,1891
2009-01-31,1257
2009-01-30,2000
2009-01-24,1169
2009-01-22,2245
2009-01-23,1957
2009-01-20,1800
2009-01-21,1958
2009-01-27,2289
2009-01-04,1261
2009-01-05,1613
2009-01-06,1600
2009-01-07,1740
2009-01-26,2049
2009-01-01,763
2009-01-02,1060
2009-01-25,1542
2009-01-28,2222
2009-01-03,1172
2009-01-08,1744
2009-01-09,1428
2009-02-23,2407
2009-02-08,1661
2009-02-09,2047
2009-02-22,1645
2009-02-21,1335
2009-02-20,2078
2009-02-27,2058
2009-02-26,2445
2009-02-25,2719
2009-02-24,2726
2009-02-01,1397
2009-02-03,2109
2009-02-02,1918
2009-02-05,2093
2009-02-04,2260
2009-02-07,1328
2009-02-06,1780
2009-02-28,1389
2009-02-18,2553
2009-02-19,2298
2009-02-12,2065
2009-02-13,1965
2009-02-10,2224
2009-02-11,2237
2009-02-16,1923
2009-02-17,2163
2009-02-14,1247
2009-02-15,1497
2009-03-19,2250
2009-03-18,2249
2009-03-31,2325
2009-03-30,2254
2009-03-15,1776
2009-03-14,1418
2009-03-17,2303
2009-03-16,2261
2009-03-11,2251
2009-03-10,2179
2009-03-13,1902
2009-03-12,2463
2009-03-26,2282
2009-03-27,1979
2009-03-28,1220
2009-03-29,1615
2009-03-20,1802
2009-03-21,1167
2009-03-22,1640
2009-03-23,2183
2009-03-24,2159
2009-03-25,2168
2009-03-08,1843
2009-03-09,2433
2009-03-06,1911
2009-03-07,1350
2009-03-04,2325
2009-03-05,2377
2009-03-02,2244
2009-03-03,2262
2009-03-01,1719
2009-04-09,2042
2009-04-18,1283
2009-04-19,1623
2009-04-14,2087
2009-04-15,2245
2009-04-30,2218
2009-04-17,1926
2009-04-10,1475
2009-04-11,1181
2009-04-12,1325
2009-04-13,2007
2009-04-16,2114
2009-04-03,1982
2009-04-02,2370
2009-04-01,2274
2009-04-07,2228
2009-04-06,2144
2009-04-05,1432
2009-04-04,1191
2009-04-21,2332
2009-04-20,2355
2009-04-23,2238
2009-04-22,2219
2009-04-25,1368
2009-04-24,1937
2009-04-27,2386
2009-04-26,1893
2009-04-29,2152
2009-04-28,2292
2009-04-08,2172
2009-05-08,1912
2009-05-09,1247
2009-05-01,1996
2009-05-02,1396
2009-05-03,1687
2009-05-04,2318
2009-05-05,2226
2009-05-06,2546
2009-05-07,2359
2009-05-26,2586
2009-05-27,2529
2009-05-24,1300
2009-05-25,1848
2009-05-22,2114
2009-05-23,1163
2009-05-20,2615
2009-05-21,2479
2009-05-28,2470
2009-05-29,1787
2009-05-19,2648
2009-05-18,2786
2009-05-17,1792
2009-05-16,1376
2009-05-15,2685
2009-05-14,2630
2009-05-13,2894
2009-05-12,2631
2009-05-11,2400
2009-05-10,1614
2009-05-31,1565
2009-05-30,1219
2009-06-29,1376
2009-06-28,979
2009-06-30,1467
2009-06-18,1956
2009-06-19,1523
2009-06-16,2076
2009-06-17,1836
2009-06-14,1209
2009-06-15,1872
2009-06-12,1643
2009-06-13,1069
2009-06-10,2270
2009-06-11,1872
2009-06-23,1692
2009-06-22,1644
2009-06-27,787
2009-06-26,1107
2009-06-25,1431
2009-06-24,1477
2009-06-09,2221
2009-06-08,2061
2009-06-21,1328
2009-06-20,902
2009-06-05,1823
2009-06-04,2180
2009-06-07,1499
2009-06-06,1129
2009-06-01,2271
2009-06-03,2312
2009-06-02,2346
2009-07-02,1265
2009-07-03,1081
2009-07-24,1289
2009-07-01,1491
2009-07-06,1456
2009-07-07,1417
2009-07-04,872
2009-07-05,954
2009-07-08,1485
2009-07-09,1437
2009-07-28,1471
2009-07-26,967
2009-07-27,1397
2009-07-20,1452
2009-07-21,1729
2009-07-25,900
2009-07-22,1495
2009-07-23,1517
2009-07-31,1235
2009-07-30,1583
2009-07-11,896
2009-07-10,1138
2009-07-13,1552
2009-07-12,985
2009-07-15,1605
2009-07-14,1628
2009-07-17,1282
2009-07-16,1448
2009-07-19,1017
2009-07-18,892
2009-07-29,1529
2009-08-07,1379
2009-08-06,1452
2009-08-05,1671
2009-08-04,1540
2009-08-03,1491
2009-08-02,1099
2009-08-01,945
2009-08-25,1972
2009-08-24,1506
2009-08-27,1920
2009-08-26,1950
2009-08-21,1406
2009-08-20,1515
2009-08-09,1111
2009-08-08,980
2009-08-29,1196
2009-08-28,1509
2009-08-10,1492
2009-08-11,1541
2009-08-12,1698
2009-08-13,1615
2009-08-14,1297
2009-08-15,906
2009-08-16,1093
2009-08-17,1924
2009-08-18,1819
2009-08-19,1700
2009-08-30,1509
2009-08-31,2004
2009-08-23,1160
2009-08-22,978
2009-09-15,2540
2009-09-04,1785
2009-09-28,2215
2009-09-29,2368
2009-09-08,2120
2009-09-09,2271
2009-09-23,0
2009-09-22,2516
2009-09-05,1204
2009-09-20,1968
2009-09-21,2370
2009-09-26,0
2009-09-27,0
2009-09-02,2123
2009-09-03,2180
2009-09-07,1943
2009-09-01,2111
2009-09-24,2182
2009-09-25,0
2009-09-13,1909
2009-09-12,1451
2009-09-11,2034
2009-09-10,2178
2009-09-17,2355
2009-09-16,2455
2009-09-06,1369
2009-09-14,2276
2009-09-30,2251
2009-09-19,1274
2009-09-18,1978
2009-10-20,2452
2009-10-21,2461
2009-10-22,2385
2009-10-23,1969
2009-10-24,1343
2009-10-25,1696
2009-10-08,2567
2009-10-09,1936
2009-10-06,2170
2009-10-07,2273
2009-10-04,1811
2009-10-05,2100
2009-10-02,1989
2009-10-03,1326
2009-10-01,2110
2009-10-26,2268
2009-10-27,2363
2009-10-28,2516
2009-10-29,2220
2009-10-19,2295
2009-10-18,1669
2009-10-31,1241
2009-10-30,1875
2009-10-15,0
2009-10-14,0
2009-10-17,1412
2009-10-16,0
2009-10-11,1565
2009-10-10,1297
2009-10-13,2440
2009-10-12,2080
2009-11-23,2044
2009-11-08,1722
2009-11-18,2290
2009-11-19,2258
2009-11-12,2571
2009-11-13,2119
2009-11-10,2652
2009-11-11,2542
2009-11-16,2409
2009-11-17,2177
2009-11-14,1494
2009-11-15,0
2009-11-29,1382
2009-11-28,1195
2009-11-30,2047
2009-11-09,2607
2009-11-22,0
2009-11-21,1198
2009-11-20,1961
2009-11-27,1379
2009-11-26,1427
2009-11-25,1754
2009-11-24,1945
2009-11-01,1434
2009-11-03,2599
2009-11-02,2183
2009-11-05,2593
2009-11-04,2787
2009-11-07,1427
2009-11-06,2306
2009-12-04,2289
2009-12-05,1345
2009-12-06,1456
2009-12-07,2317
2009-12-26,724
2009-12-01,2081
2009-12-02,2098
2009-12-03,2348
2009-12-28,1073
2009-12-29,1117
2009-12-08,2163
2009-12-09,2046
2009-12-22,1277
2009-12-23,1192
2009-12-20,1061
2009-12-19,999
2009-12-21,1361
2009-12-13,1513
2009-12-12,1424
2009-12-11,1812
2009-12-10,1915
2009-12-17,1974
2009-12-16,1876
2009-12-15,1862
2009-12-14,1969
2009-12-31,995
2009-12-30,1042
2009-12-24,756
2009-12-25,611
2009-12-18,1480
2009-12-27,827
2010-01-31,1588
2010-01-30,1381
2010-01-11,2008
2010-01-10,1483
2010-01-13,2047
2010-01-12,2136
2010-01-15,1897
2010-01-14,2012
2010-01-17,1440
2010-01-16,1261
2010-01-19,2298
2010-01-18,1885
2010-01-05,1620
2010-01-22,2094
2010-01-02,929
2010-01-25,2225
2010-01-27,2394
2010-01-20,2068
2010-01-21,2126
2010-01-24,0
2010-01-03,1064
2010-01-26,2334
2010-01-01,789
2010-01-06,1942
2010-01-07,1937
2010-01-04,1373
2010-01-23,0
2010-01-08,1623
2010-01-09,1418
2010-01-28,2527
2010-01-29,1863
2010-02-28,1643
2010-02-03,2260
2010-02-02,2491
2010-02-01,2161
2010-02-07,1563
2010-02-06,1398
2010-02-05,2007
2010-02-04,2435
2010-02-21,1881
2010-02-20,1553
2010-02-09,2512
2010-02-08,0
2010-02-25,2163
2010-02-24,2412
2010-02-27,1567
2010-02-26,1945
2010-02-23,0
2010-02-22,2421
2010-02-18,2432
2010-02-19,2002
2010-02-14,1459
2010-02-15,1850
2010-02-16,2091
2010-02-17,2366
2010-02-10,2415
2010-02-11,2240
2010-02-12,2007
2010-02-13,1220
2010-03-19,1977
2010-03-18,2250
2010-03-17,2429
2010-03-16,2343
2010-03-15,2207
2010-03-14,1761
2010-03-13,1635
2010-03-12,2175
2010-03-11,2442
2010-03-10,2465
2010-03-31,2292
2010-03-30,2239
2010-03-08,2450
2010-03-09,2464
2010-03-01,2293
2010-03-02,2344
2010-03-03,2450
2010-03-04,2647
2010-03-05,2188
2010-03-06,1429
2010-03-07,1793
2010-03-26,2243
2010-03-27,1411
2010-03-24,2513
2010-03-25,2410
2010-03-22,2206
2010-03-23,2339
2010-03-20,1451
2010-03-21,1740
2010-03-28,1500
2010-03-29,2029
2010-04-09,2033
2010-04-22,2355
2010-04-21,2396
2010-04-20,2337
2010-04-27,2966
2010-04-26,2720
2010-04-25,1859
2010-04-24,1599
2010-04-01,1973
2010-04-03,1229
2010-04-02,1625
2010-04-05,1805
2010-04-04,1387
2010-04-07,1998
2010-04-06,2003
2010-04-28,2578
2010-04-30,2204
2010-04-18,1679
2010-04-19,2228
2010-04-12,2273
2010-04-13,2456
2010-04-10,1356
2010-04-11,1659
2010-04-16,2394
2010-04-17,1587
2010-04-14,2248
2010-04-15,2509
2010-04-23,2352
2010-04-29,2498
2010-04-08,2131
2010-05-26,2656
2010-05-27,2129
2010-05-28,1705
2010-05-19,2155
2010-05-18,2141
2010-05-31,1655
2010-05-29,1183
2010-05-15,1525
2010-05-14,1995
2010-05-17,2495
2010-05-16,1804
2010-05-11,2717
2010-05-10,2539
2010-05-13,2071
2010-05-12,2639
2010-05-20,2485
2010-05-21,2284
2010-05-22,1638
2010-05-23,1936
2010-05-24,2355
2010-05-25,2581
2010-05-08,1566
2010-05-09,1688
2010-05-06,2621
2010-05-07,2456
2010-05-04,2722
2010-05-05,2622
2010-05-02,1923
2010-05-03,2748
2010-05-01,1484
2010-05-30,1283
2010-06-09,2019
2010-06-08,1993
2010-06-07,2175
2010-06-06,1593
2010-06-05,1517
2010-06-04,2057
2010-06-03,2098
2010-06-02,2506
2010-06-01,2783
2010-06-25,1114
2010-06-24,1379
2010-06-27,438
2010-06-26,0
2010-06-21,1647
2010-06-20,1390
2010-06-23,1657
2010-06-22,1583
2010-06-29,1692
2010-06-28,0
2010-06-18,1520
2010-06-19,1319
2010-06-10,1895
2010-06-11,1115
2010-06-12,276
2010-06-13,210
2010-06-14,336
2010-06-15,886
2010-06-16,1345
2010-06-17,1889
2010-06-30,1559
2010-07-31,1253
2010-07-30,1439
2010-07-23,1601
2010-07-04,958
2010-07-20,1237
2010-07-21,1321
2010-07-01,1366
2010-07-24,1258
2010-07-25,1833
2010-07-22,1619
2010-07-05,0
2010-07-06,1236
2010-07-07,0
2010-07-26,1899
