,pageviews
2007-12-31,18630
2008-01-31,35884
2008-02-29,42873
2008-03-31,43088
2008-04-30,50342
2008-05-31,59877
2008-06-30,43796
2008-07-31,12220
2008-08-31,37005
2008-09-30,52286
2008-10-31,51049
2008-11-30,52150
2008-12-31,43572
2009-01-31,51447
2009-02-28,55567
2009-03-31,62310
2009-04-30,58491
2009-05-31,64818
2009-06-30,49358
2009-07-31,40465
2009-08-31,45378
2009-09-30,53426
2009-10-31,55829
2009-11-30,56502
2009-12-31,47003
2010-01-31,51762
2010-02-28,52494
2010-03-31,66115
2010-04-30,62437
2010-05-31,65801
2010-06-30,41991
2010-07-31,35137
2010-08-31,56615
2010-09-30,70921
2010-10-31,75632
2010-11-30,75807
2010-12-31,68453
2011-01-31,75208
2011-02-28,64309
2011-03-31,70743
2011-04-30,65344
2011-05-31,71443
2011-06-30,53541
2011-07-31,44998
2011-08-31,54766
2011-09-30,54310
2011-10-31,62244
2011-11-30,72568
2011-12-31,53300
2012-01-31,64198
2012-02-29,68709
2012-03-31,68108
2012-04-30,55888
2012-05-31,71176
2012-06-30,53604
2012-07-31,45957
2012-08-31,52530
2012-09-30,66483
2012-10-31,76600
2012-11-30,73011
2012-12-31,57545
2013-01-31,72269
2013-02-28,69680
2013-03-31,71291
2013-04-30,18601
2013-05-31,54463
2013-06-30,67333
2013-07-31,52290
2013-08-31,46535
2013-09-30,52340
2013-10-31,65842
2013-11-30,62455
2013-12-31,44539
2014-01-31,40723
2014-02-28,44581
2014-03-31,45854
2014-04-30,42669
2014-05-31,43584
2014-06-30,32739
2014-07-31,28224
2014-08-31,31446
2014-09-30,41439
2014-10-31,48939
2014-11-30,41932
2014-12-31,29868
2015-01-31,31999
2015-02-28,43021
2015-03-31,26576
